Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.6219,2256.4492,7.5368,0.1007
200,51.7241,2256.7812,9.3959,0.2007
300,57.6923,2249.1289,13.8223,0.3007
400,50.0000,2249.5508,18.4427,0.4007
500,42.3077,2249.2383,21.6276,0.5007
600,48.1481,2248.9258,23.8410,0.6007
700,33.3333,2249.1484,22.9513,0.7007
800,57.1429,2249.0586,23.8891,0.8007
900,53.3333,2248.8477,24.4102,0.9007
1000,40.7407,2249.0859,25.8592,1.0007
1100,40.7407,2248.6641,25.5252,1.1007
1200,42.8571,2249.1953,25.3260,1.2007
1300,39.2857,2248.9336,24.8622,1.3007
1400,66.6667,2248.8789,24.3329,1.4007
1500,36.0000,2248.4570,23.1530,1.5007
1600,43.4783,2248.6641,22.4958,1.6007
1700,50.0000,2248.8906,21.8766,1.7007
1800,32.1429,2248.5977,21.4869,1.8007
1900,21.4286,2248.6523,20.9096,1.9007
2000,40.9091,2249.4141,20.4755,2.0007
2100,34.6154,2249.1328,20.3049,2.1007
2200,28.5714,2249.2539,19.7760,2.2007
2300,34.7826,2249.2930,19.4215,2.3007
2400,36.0000,2248.9727,19.2262,2.4007
2500,43.4783,2248.7773,19.2670,2.5007
2600,50.0000,2248.8164,19.2946,2.6007
2700,37.0370,2249.0352,19.2281,2.7007
2800,40.9091,2248.9219,19.0493,2.8007
2900,50.0000,2248.9805,18.8041,2.9007
3000,32.3529,2248.8438,18.6008,3.0007
3100,31.8182,2248.6445,18.3061,3.1007
3200,60.0000,2248.7617,18.0741,3.2007
3300,40.0000,2249.0586,18.0583,3.3007
3400,44.0000,2248.9453,18.0980,3.4007
3500,45.4545,2249.0039,17.9886,3.5007
3600,24.1379,2248.9375,17.7763,3.6007
3700,35.7143,2248.9883,17.6041,3.7007
3800,44.4444,2248.8281,17.6897,3.8010
3900,47.6190,2248.8516,17.7883,3.9007
4000,45.0000,2248.8398,17.6385,4.0007
4100,47.6190,2248.7148,17.6961,4.1009
4200,34.4828,2248.7656,17.7709,4.2007
4300,40.0000,2249.2812,17.6146,4.3007
4400,50.0000,2248.9609,17.5067,4.4007
4500,44.4444,2248.5547,17.3127,4.5007
4600,41.3793,2248.6758,17.1473,4.6007
4700,41.6667,2248.5664,17.1126,4.7007
4800,40.0000,2248.7852,16.9016,4.8007
