Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.9931,2258.1367,8.8057,0.1007
200,32.2581,2256.2773,13.8359,0.2007
300,31.0345,2250.4297,15.9075,0.3007
400,30.3030,2249.4492,16.2550,0.4007
500,46.4286,2249.7148,17.5511,0.5007
600,35.2941,2249.1953,17.3087,0.6007
700,43.3333,2249.2500,20.8100,0.7007
800,50.0000,2249.1680,23.5169,0.8013
900,48.1481,2249.2031,25.3525,0.9007
1000,45.8333,2248.9922,26.2686,1.0007
1100,37.9310,2249.9492,27.0020,1.1007
1200,42.1053,2249.4805,26.5888,1.2007
1300,35.4839,2249.0352,26.1401,1.3007
1400,37.9310,2249.3984,26.6400,1.4007
1500,45.1613,2249.3164,27.1612,1.5007
1600,52.1739,2249.4531,27.1342,1.6007
1700,50.0000,2249.6758,27.1750,1.7007
1800,54.1667,2249.4336,26.4844,1.8007
1900,40.9091,2249.6992,25.7842,1.9007
2000,44.0000,2249.7383,25.5471,2.0007
2100,41.3793,2249.5664,25.3021,2.1007
2200,37.5000,2249.2578,24.8276,2.2007
2300,47.8261,2249.6445,24.8143,2.3007
2400,50.0000,2249.5352,24.2001,2.4007
2500,40.0000,2249.4648,23.7114,2.5007
2600,32.0000,2249.2109,23.0681,2.6007
2700,29.1667,2249.4609,22.5150,2.7007
2800,34.6154,2249.0469,22.0675,2.8007
2900,47.6190,2249.6836,21.8286,2.9007
3000,31.0345,2249.4023,21.4869,3.0007
3100,28.5714,2249.9805,20.8789,3.1007
3200,34.4828,2249.2773,20.5372,3.2007
3300,52.6316,2249.2812,20.2728,3.3007
3400,28.1250,2249.3359,20.0127,3.4007
3500,34.4828,2249.5703,19.8585,3.5007
3600,31.5789,2249.6172,19.4751,3.6007
3700,44.4444,2249.1992,19.5294,3.7007
3800,40.0000,2249.1445,19.3934,3.8007
3900,38.8889,2249.4883,19.1885,3.9007
4000,42.8571,2249.1602,18.9731,4.0007
4100,35.0000,2249.3594,18.8171,4.1007
4200,44.4444,2249.1133,18.7134,4.2007
4300,38.4615,2248.9062,18.6126,4.3007
4400,35.0000,2249.4297,18.5116,4.4007
4500,34.6154,2249.7227,18.3773,4.5007
4600,50.0000,2249.6523,18.3575,4.6007
4700,37.5000,2249.7266,18.3043,4.7007
4800,40.9091,2249.5078,18.2739,4.8007
4900,20.6897,2249.2656,18.0161,4.9007
5000,37.9310,2249.3242,17.8376,5.0007
5100,36.3636,2249.3164,17.7367,5.1007
5200,45.4545,2249.6250,17.5806,5.2007
5300,42.3077,2249.2500,17.5959,5.3007
5400,32.0000,2249.3633,17.4321,5.4007
5500,40.7407,2249.3203,17.3635,5.5007
5600,45.8333,2249.3828,17.2288,5.6007
5700,34.6154,2249.3789,17.1647,5.7007
5800,43.4783,2249.2891,17.2067,5.8007
5900,50.0000,2249.2031,17.2795,5.9007
6000,57.1429,2249.2539,17.1834,6.0007
6100,42.8571,2249.4961,17.1493,6.1007
6200,45.0000,2250.0391,17.1190,6.2007
6300,50.0000,2250.2852,16.9875,6.3007
6400,40.0000,2249.9375,16.9956,6.4007
6500,54.5455,2249.3477,16.9227,6.5007
6600,54.1667,2249.4766,16.9266,6.6007
6700,42.3077,2249.3906,16.9232,6.7007
6800,36.3636,2249.2695,16.9517,6.8007
6900,40.7407,2249.2461,17.0091,6.9007
7000,34.6154,2249.3125,17.0732,7.0007
7100,30.7692,2249.3672,16.9680,7.1007
7200,37.5000,2249.9180,16.7841,7.2007
7300,37.5000,2248.9414,16.6745,7.3007
7400,28.0000,2249.1719,16.5780,7.4007
7500,40.0000,2249.2812,16.5043,7.5007
7600,35.7143,2249.3281,16.4319,7.6007
7700,40.9091,2249.6562,16.3552,7.7007
7800,43.4783,2249.2305,16.3244,7.8007
7900,37.5000,2249.4453,16.2195,7.9007
8000,47.0588,2249.5703,16.1145,8.0007
8100,37.0370,2249.6094,16.0260,8.1007
8200,36.0000,2249.7773,15.9357,8.2007
8300,29.4118,2249.5312,15.8051,8.3007
8400,34.6154,2249.3555,15.8138,8.4007
8500,42.3077,2249.4766,15.7812,8.5007
8600,42.3077,2249.4688,15.7500,8.6007
8700,41.1765,2249.2109,15.6849,8.7007
8800,45.0000,2249.5273,15.5886,8.8007
8900,39.1304,2248.9141,15.5573,8.9007
9000,35.0000,2249.4375,15.5217,9.0007
9100,30.0000,2249.0938,15.4371,9.1007
9200,39.1304,2248.8633,15.3997,9.2007
9300,34.6154,2249.1172,15.3509,9.3007
9400,43.4783,2249.0977,15.3188,9.4007
9500,34.7826,2249.1562,15.2735,9.5007
9600,53.8462,2249.3320,15.2161,9.6007
9700,41.9355,2249.1836,15.2980,9.7007
9800,47.8261,2249.7539,15.2836,9.8007
9900,37.5000,2249.4336,15.2987,9.9007
10000,47.8261,2249.1875,15.2603,10.0007
10100,27.7778,2249.5547,15.1850,10.1007
10200,42.1053,2249.5117,15.1329,10.2007
10300,62.5000,2249.3789,15.0831,10.3007
10400,40.7407,2249.2109,15.0826,10.4007
10500,42.8571,2249.4023,15.1121,10.5007
10600,40.9091,2249.4258,15.1448,10.6007
10700,33.3333,2249.2695,15.1157,10.7007
10800,40.0000,2249.4180,15.1260,10.8007
10900,47.6190,2249.1797,15.1623,10.9007
11000,46.1538,2249.0156,15.2172,11.0007
11100,40.7407,2249.4688,15.2617,11.1007
11200,35.0000,2249.7344,15.2414,11.2007
11300,37.0370,2249.3398,15.2043,11.3007
11400,70.5882,2249.3008,15.1620,11.4007
11500,42.3077,2251.2500,15.1332,11.5007
11600,29.1667,2250.9961,15.0774,11.6007
11700,43.4783,2250.9648,15.1057,11.7007
11800,50.0000,2251.2227,15.0697,11.8007
11900,37.0370,2250.9922,15.0405,11.9007
12004,35.4839,2250.9922,15.0124,12.0044
12100,30.0000,2250.8320,14.9408,12.1007
12200,33.3333,2250.7891,14.8880,12.2007
12300,39.2857,2250.9258,14.9002,12.3007
12400,44.4444,2251.0078,14.8586,12.4007
12500,35.0000,2251.3555,14.8188,12.5007
12600,26.4706,2251.1602,14.7691,12.6007
12700,38.8889,2251.0820,14.7396,12.7007
12800,44.4444,2251.1562,14.7652,12.8007
12900,41.6667,2250.8203,14.7869,12.9007
13000,42.8571,2250.9805,14.8123,13.0007
13100,40.7407,2250.7461,14.8396,13.1007
13200,40.0000,2251.0039,14.8392,13.2007
13300,37.5000,2250.8242,14.8234,13.3007
13400,33.3333,2250.9062,14.8332,13.4007
13500,46.1538,2250.8242,14.8282,13.5007
13600,43.4783,2250.9141,14.8325,13.6007
13700,33.3333,2250.8086,14.8262,13.7007
13800,42.3077,2251.2695,14.8196,13.8007
13900,25.0000,2250.9453,14.7682,13.9007
14000,38.4615,2250.6445,14.7593,14.0007
14100,37.5000,2251.0664,14.7649,14.1007
14200,41.3793,2250.9336,14.7942,14.2007
14300,27.7778,2250.9219,14.7783,14.3007
14400,52.9412,2250.7461,14.7401,14.4007
14500,39.1304,2251.3750,14.7103,14.5007
14600,34.7826,2251.5273,14.7331,14.6007
14700,42.8571,2250.7266,14.7876,14.7007
14800,45.8333,2250.7539,14.7725,14.8007
14900,47.3684,2250.7852,14.7715,14.9007
15000,45.0000,2251.0508,14.7527,15.0007
15100,40.0000,2251.8594,14.7302,15.1010
15200,50.0000,2250.4688,14.7739,15.2007
15300,37.0370,2251.2656,14.7806,15.3007
15400,33.3333,2251.1953,14.7282,15.4007
15500,40.0000,2250.9688,14.7616,15.5007
15600,44.4444,2250.9609,14.7402,15.6007
15700,34.6154,2250.9141,14.7014,15.7007
15800,36.0000,2251.3164,14.6785,15.8007
15900,30.4348,2250.9258,14.6208,15.9007
16000,38.4615,2250.9062,14.5780,16.0007
16100,38.8889,2251.0078,14.5511,16.1007
16200,40.7407,2250.6680,14.5187,16.2007
16300,53.8462,2250.9375,14.4407,16.3007
16400,45.4545,2250.9102,14.4369,16.4007
16500,50.0000,2251.0547,14.4030,16.5007
16600,40.0000,2250.6484,14.3899,16.6007
16700,43.4783,2250.8984,14.3941,16.7007
16800,45.8333,2250.6641,14.3927,16.8007
16900,40.0000,2250.5195,14.3746,16.9007
17000,35.7143,2250.3633,14.3367,17.0007
17100,37.5000,2251.0312,14.3437,17.1007
17200,40.9091,2250.7305,14.3310,17.2007
17300,43.4783,2250.5664,14.3494,17.3007
17419,37.0370,2251.1172,14.3281,17.4194
17500,57.1429,2250.7852,14.3088,17.5010
17600,35.0000,2250.7773,14.3022,17.6007
17700,33.3333,2250.9141,14.2808,17.7007
17800,42.3077,2250.8125,14.3348,17.8007
17900,38.4615,2250.7656,14.3422,17.9007
18000,41.6667,2251.1367,14.3409,18.0007
18100,33.3333,2250.9844,14.3461,18.1010
18200,36.0000,2250.7969,14.3418,18.2007
18300,45.0000,2250.7070,14.3591,18.3007
18400,42.8571,2250.8672,14.3627,18.4007
18500,52.0000,2250.7695,14.3748,18.5007
18600,39.1304,2250.5078,14.3583,18.6007
18700,50.0000,2251.4531,14.3347,18.7007
18800,48.1481,2250.8945,14.3884,18.8007
18900,52.3810,2250.6211,14.3830,18.9007
19000,44.4444,2250.6680,14.4541,19.0007
19100,37.5000,2250.7852,14.4786,19.1007
19200,39.2857,2250.7695,14.5099,19.2007
19300,65.2174,2249.1484,14.5183,19.3007
19400,40.0000,2249.0820,14.5047,19.4007
19500,42.8571,2249.3477,14.5191,19.5007
19600,50.0000,2249.1875,14.5357,19.6007
19700,43.7500,2249.4336,14.4936,19.7007
19800,33.3333,2249.1367,14.4889,19.8007
19900,91.6667,2246.7344,14.4634,19.9007
20000,46.4286,2247.0391,14.4461,20.0007
20100,40.0000,2246.8398,14.4033,20.1007
20200,32.0000,2247.0859,14.3913,20.2007
20300,42.8571,2247.3594,14.3980,20.3007
20400,30.4348,2246.9961,14.3823,20.4007
20500,45.0000,2247.3633,14.3363,20.5007
20600,42.8571,2247.1211,14.3089,20.6007
20700,37.5000,2247.7148,14.3154,20.7007
20800,47.8261,2247.4492,14.3074,20.8007
20900,42.3077,2247.1953,14.3244,20.9007
21000,45.0000,2246.8672,14.3348,21.0007
21100,47.3684,2247.0898,14.3253,21.1007
21200,39.1304,2246.6445,14.3691,21.2007
21300,47.6190,2247.0117,14.3935,21.3007
21400,47.0588,2247.0312,14.3763,21.4007
21500,40.7407,2246.8555,14.4055,21.5007
21600,36.0000,2247.0195,14.4086,21.6007
21700,40.7407,2247.0430,14.3942,21.7007
21800,29.0323,2246.8164,14.3903,21.8007
21900,42.3077,2247.1094,14.3817,21.9007
22000,41.6667,2247.2188,14.3859,22.0007
22100,26.6667,2247.0586,14.3759,22.1007
22200,40.9091,2247.4180,14.4030,22.2007
22300,50.0000,2247.2109,14.3684,22.3007
22400,43.4783,2247.0977,14.3860,22.4007
22500,35.0000,2247.2695,14.3612,22.5007
22600,42.3077,2247.0859,14.3923,22.6007
22700,52.3810,2246.8594,14.4108,22.7007
22800,52.3810,2246.9336,14.4234,22.8007
22900,45.4545,2246.6797,14.4390,22.9007
23000,47.8261,2246.8203,14.4547,23.0007
23100,30.4348,2246.7695,14.4498,23.1007
23200,32.2581,2246.8242,14.4285,23.2007
23300,35.7143,2246.7812,14.4298,23.3007
23400,47.6190,2246.7656,14.4274,23.4007
23500,40.7407,2246.5742,14.4325,23.5007
23600,36.3636,2246.8242,14.4233,23.6007
23700,38.4615,2246.5547,14.4205,23.7007
23800,56.2500,2246.4609,14.3893,23.8007
23900,30.0000,2247.0781,14.3666,23.9007
24000,40.0000,2247.0430,14.3421,24.0007
24100,47.0588,2246.8125,14.3208,24.1007
24200,41.1765,2247.5000,14.2859,24.2007
24300,38.4615,2247.1719,14.2846,24.3007
24400,37.5000,2247.4414,14.2818,24.4011
24500,47.8261,2247.3555,14.2920,24.5007
24600,37.5000,2247.2578,14.2906,24.6007
24700,43.3333,2247.1914,14.3057,24.7007
24800,38.8889,2247.1016,14.3041,24.8007
24900,40.0000,2246.8047,14.2990,24.9007
25000,38.0952,2246.7734,14.2848,25.0007
25100,45.0000,2246.8242,14.2729,25.1007
25200,33.3333,2246.7109,14.2838,25.2007
25300,52.6316,2246.7109,14.2822,25.3007
25400,45.0000,2246.6758,14.2946,25.4007
25500,55.5556,2247.1055,14.3046,25.5007
25600,40.0000,2246.9023,14.3359,25.6007
25700,38.8889,2247.1484,14.2801,25.7007
25800,27.7778,2247.1484,14.2248,25.8007
25900,46.6667,2247.1484,14.1698,25.9007
26000,30.7692,2247.3906,14.1153,26.0007
26100,2.9412,2247.3906,14.0613,26.1007
26300,2.0000,2247.3906,13.9543,26.3007
26800,42.1053,2247.6367,13.6940,26.8007
26900,15.1515,2247.6367,13.6431,26.9007
27000,27.0270,2247.8789,13.5925,27.0008
27100,28.9474,2247.8789,13.5424,27.1007
27200,32.4324,2247.8789,13.4926,27.2007
