Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
111,3.7969,2255.6914,10.5851,0.1118
211,40.7407,2255.2695,18.7254,0.2118
311,50.0000,2255.0898,26.0820,0.3118
411,41.3793,2255.2852,26.8951,0.4118
511,37.0370,2255.3164,26.1502,0.5118
611,32.0000,2255.1016,25.6102,0.6118
711,60.8696,2254.9453,25.3771,0.7118
811,40.0000,2255.0547,26.3494,0.8118
911,46.4286,2254.6211,27.9664,0.9118
1011,50.0000,2255.2109,27.5550,1.0118
1111,40.0000,2254.8789,26.5127,1.1118
1211,36.0000,2254.9141,25.9082,1.2118
1311,65.6250,2254.9766,25.1986,1.3118
1411,46.1538,2255.2188,24.3745,1.4118
1511,32.0000,2254.9961,23.8305,1.5118
1611,39.1304,2255.2539,23.2473,1.6118
1711,37.5000,2255.3047,22.6965,1.7118
1811,44.8276,2255.3047,22.5612,1.8118
1911,66.6667,2254.8672,21.9512,1.9118
2011,42.1053,2254.7656,21.3855,2.0118
2111,40.9091,2254.9453,20.8719,2.1118
2211,36.8421,2254.8984,20.3791,2.2118
2311,37.5000,2254.7266,19.8919,2.3118
2411,50.0000,2255.1367,19.6012,2.4118
2511,60.0000,2254.7969,19.2462,2.5118
2611,30.4348,2254.7422,18.8530,2.6118
2711,42.1053,2255.0312,18.6710,2.7118
2811,42.8571,2255.0156,18.5956,2.8118
2911,30.7692,2255.0391,18.4909,2.9118
3011,50.0000,2255.0234,18.1909,3.0118
3111,25.8065,2254.8633,17.8733,3.1118
3211,32.0000,2255.0820,17.6277,3.2118
3311,42.1053,2254.8477,17.3369,3.3118
3411,42.1053,2254.8320,17.2955,3.4118
3511,40.9091,2254.9219,17.2613,3.5118
3612,45.4545,2254.7734,17.2040,3.6123
3711,32.1429,2255.0430,16.8803,3.7118
3811,44.0000,2255.1602,16.9360,3.8118
3911,42.3077,2254.9531,16.9452,3.9118
4011,35.0000,2254.7461,16.7713,4.0118
4111,42.1053,2254.9766,16.6371,4.1118
4211,42.8571,2254.7070,16.5702,4.2118
4311,40.0000,2255.2852,16.4417,4.3118
4411,45.4545,2255.1406,16.4527,4.4118
4511,42.1053,2254.8203,16.3754,4.5118
4611,45.4545,2254.9961,16.4062,4.6118
4711,40.0000,2255.0273,16.3313,4.7118
4811,44.0000,2254.9922,16.4067,4.8118
4911,48.0000,2254.7930,16.4633,4.9118
5011,34.3750,2255.0586,16.3916,5.0118
5111,41.6667,2254.9609,16.3546,5.1118
5211,52.1739,2254.8320,16.5275,5.2118
5311,41.1765,2254.9062,16.5327,5.3118
5411,55.0000,2255.2148,16.5013,5.4118
5511,42.8571,2255.2422,16.4023,5.5118
5611,36.6667,2255.1406,16.3756,5.6118
5711,40.0000,2255.1875,16.3003,5.7118
5811,38.0952,2254.6133,16.2756,5.8118
5911,35.4839,2255.0352,16.2680,5.9118
6011,36.8421,2255.0469,16.1920,6.0118
6111,44.0000,2255.2539,16.0305,6.1118
6211,38.8889,2255.3008,15.8566,6.2118
6311,38.4615,2254.8516,15.7937,6.3118
6411,33.3333,2254.6094,15.7704,6.4118
6511,32.2581,2254.8984,15.6851,6.5118
6611,45.8333,2255.2656,15.5905,6.6118
6711,35.0000,2255.4336,15.4554,6.7119
6811,25.0000,2255.0625,15.3296,6.8118
6911,40.7407,2254.9883,15.3572,6.9118
7011,34.6154,2254.8398,15.3410,7.0118
7111,35.0000,2254.9219,15.2420,7.1118
7211,40.7407,2254.7227,15.1877,7.2118
7311,42.8571,2254.6875,15.1032,7.3118
7411,40.9091,2254.9492,15.1379,7.4118
7511,32.1429,2254.9102,15.1864,7.5118
7611,47.0588,2254.7383,15.1791,7.6118
7711,37.5000,2254.9844,15.0957,7.7118
7811,26.9231,2254.9102,15.0233,7.8118
7911,38.7097,2254.8477,14.9676,7.9119
8011,42.8571,2254.9961,14.9130,8.0118
8111,45.0000,2254.8867,14.8810,8.1118
8211,40.7407,2254.8711,14.9361,8.2118
8311,33.3333,2254.6055,14.9182,8.3118
8411,44.0000,2254.8750,14.9079,8.4118
8511,36.8421,2254.7148,14.8443,8.5118
8611,37.5000,2255.3555,14.8089,8.6118
8711,37.5000,2255.0273,14.8284,8.7118
8811,30.7692,2255.1055,14.7902,8.8118
8911,32.1429,2255.0703,14.7432,8.9118
9011,42.1053,2255.0156,14.7579,9.0118
9111,37.0370,2255.1523,14.7148,9.1118
9211,40.0000,2255.0703,14.7911,9.2118
9311,40.7407,2255.0156,14.8005,9.3118
9411,42.1053,2254.9531,14.8302,9.4118
9511,42.3077,2255.1289,14.8207,9.5118
9611,38.0952,2254.9336,14.7797,9.6118
9711,35.7143,2255.4062,14.7292,9.7118
9811,34.6154,2255.0586,14.6913,9.8118
9911,37.9310,2254.9258,14.6890,9.9118
10011,36.3636,2247.9883,14.7251,10.0118
10111,44.4444,2248.2852,14.6499,10.1118
10212,47.8261,2248.0039,14.6594,10.2124
10311,42.8571,2248.2695,14.5996,10.3119
10411,76.9231,2248.4180,14.5301,10.4118
10511,40.0000,2248.4258,14.4887,10.5118
10611,38.0952,2248.0703,14.4631,10.6118
10711,40.9091,2248.5000,14.4615,10.7118
10811,31.0345,2248.4766,14.4217,10.8118
10911,40.0000,2248.0508,14.3882,10.9118
11011,40.7407,2248.1172,14.3927,11.0118
11111,40.9091,2248.0195,14.3970,11.1118
11211,44.0000,2248.3555,14.4124,11.2118
11311,30.3030,2247.9688,14.4049,11.3118
11411,43.7500,2248.3594,14.3623,11.4118
11511,33.3333,2248.1289,14.3287,11.5118
11611,30.7692,2248.2812,14.2788,11.6118
11711,45.0000,2248.2500,14.2744,11.7118
11811,56.5217,2248.2266,14.2893,11.8118
11911,40.9091,2248.2852,14.3324,11.9118
12011,42.3077,2247.9570,14.3566,12.0118
12111,41.1765,2247.9883,14.3518,12.1118
12211,46.6667,2247.8086,14.2980,12.2118
12311,32.1429,2248.0312,14.2676,12.3118
12411,42.8571,2247.9570,14.2956,12.4118
12511,45.8333,2247.9531,14.3549,12.5118
12611,42.8571,2248.1758,14.3992,12.6118
12711,38.4615,2247.9570,14.4213,12.7118
12811,46.6667,2248.3516,14.4953,12.8118
12911,34.4828,2247.8242,14.4911,12.9118
13011,36.3636,2248.1211,14.5120,13.0118
13111,37.9310,2248.2266,14.5077,13.1118
13211,37.5000,2248.2812,14.5392,13.2118
13311,34.6154,2247.8047,14.5038,13.3118
13411,29.1667,2248.3984,14.4772,13.4118
13511,39.1304,2248.1094,14.4557,13.5118
13611,38.7097,2247.9297,14.4989,13.6118
13711,36.3636,2247.7930,14.4957,13.7118
13811,45.8333,2247.9727,14.4960,13.8118
13911,32.1429,2247.8945,14.4829,13.9118
14011,71.4286,2248.2227,14.4104,14.0118
14111,43.7500,2248.9141,14.3643,14.1118
14211,47.8261,2248.0625,14.3694,14.2119
14311,42.3077,2248.2734,14.3782,14.3118
14412,40.9091,2248.7969,14.3619,14.4122
14511,52.6316,2248.7656,14.3642,14.5118
14611,39.1304,2248.4688,14.3293,14.6118
14711,38.4615,2248.1445,14.3217,14.7118
14829,50.0000,2248.8477,14.2676,14.8302
14911,38.4615,2248.2305,14.3012,14.9118
15011,45.4545,2248.0742,14.3061,15.0118
15111,43.4783,2248.1250,14.2594,15.1118
15211,22.7273,2248.2070,14.2375,15.2118
15311,60.0000,2248.2383,14.2084,15.3118
15411,33.3333,2248.4492,14.2066,15.4118
15511,48.0000,2248.3945,14.2194,15.5118
15611,43.4783,2248.1992,14.2028,15.6118
15711,56.5217,2248.2148,14.2401,15.7118
15811,38.8889,2248.4961,14.1990,15.8118
15911,47.8261,2248.1211,14.2227,15.9118
16011,37.5000,2248.1445,14.2109,16.0118
16111,36.3636,2248.1719,14.1976,16.1118
16211,30.4348,2248.1914,14.1701,16.2118
16311,44.4444,2248.5938,14.1934,16.3118
16411,44.8276,2248.4453,14.2436,16.4118
16511,38.0952,2248.4141,14.2639,16.5118
16611,50.0000,2248.1172,14.2698,16.6118
16711,34.6154,2248.5000,14.2746,16.7118
16811,41.6667,2248.4414,14.2946,16.8118
16911,28.0000,2248.2891,14.2634,16.9118
17011,36.6667,2248.0117,14.2691,17.0118
17111,45.0000,2248.1094,14.2962,17.1118
17211,43.7500,2248.1289,14.2658,17.2118
17311,48.0000,2247.8555,14.2857,17.3118
17411,40.9091,2248.0625,14.2928,17.4118
17511,45.4545,2248.3281,14.2818,17.5118
17611,44.4444,2247.7578,14.2484,17.6119
17711,47.3684,2248.1328,14.2496,17.7118
17811,45.8333,2248.1758,14.2761,17.8118
17911,47.8261,2248.0195,14.2772,17.9118
18011,36.6667,2248.1875,14.2733,18.0118
18111,41.6667,2248.0273,14.2459,18.1118
18211,42.1053,2248.1797,14.2087,18.2118
18311,42.8571,2248.4062,14.1935,18.3118
18411,42.8571,2247.9688,14.1833,18.4118
18511,45.8333,2248.0273,14.1940,18.5118
18611,38.4615,2247.9531,14.2071,18.6118
18711,45.8333,2248.1680,14.2304,18.7118
18811,31.2500,2248.2891,14.1842,18.8118
18911,43.4783,2248.1523,14.1831,18.9118
19011,36.3636,2248.4414,14.1472,19.0118
19111,40.9091,2248.0898,14.1200,19.1118
19211,42.8571,2247.7539,14.1219,19.2118
19311,44.4444,2247.9141,14.1326,19.3118
