Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.78,2260.67,0.00,0.1008
200,34.48,2258.01,19.60,0.2008
300,46.15,2257.46,26.97,0.3008
400,46.15,2257.51,27.56,0.4008
500,50.00,2257.97,27.13,0.5008
600,48.28,2251.48,26.36,0.6008
700,30.00,2251.62,24.92,0.7008
800,50.00,2251.60,25.04,0.8008
900,39.13,2251.40,24.86,0.9008
1000,35.48,2251.26,24.09,1.0008
1100,51.85,2251.91,23.14,1.1008
1200,45.45,2251.56,22.63,1.2008
1300,44.00,2251.79,22.34,1.3008
1400,45.45,2251.56,21.55,1.4008
1500,40.00,2251.27,21.14,1.5008
1600,52.63,2252.12,20.68,1.6008
1700,78.26,2252.23,20.07,1.7008
1800,54.55,2251.68,19.87,1.8008
1900,40.00,2251.55,19.31,1.9008
2000,45.00,2251.67,18.81,2.0008
2100,41.67,2251.56,18.63,2.1008
2200,47.37,2251.22,18.48,2.2008
2300,48.00,2251.41,18.24,2.3008
2400,18.18,2251.47,17.94,2.4008
2500,30.43,2251.59,17.50,2.5008
2600,40.00,2251.57,17.42,2.6008
2700,47.62,2251.69,17.52,2.7008
2800,40.00,2251.60,17.41,2.8008
2900,36.36,2251.58,17.09,2.9008
3000,40.74,2251.54,17.05,3.0008
3100,42.31,2251.62,16.81,3.1008
3200,42.11,2251.27,16.60,3.2008
3300,45.45,2251.30,16.40,3.3008
3400,42.11,2251.73,16.24,3.4008
3500,48.57,2251.53,16.30,3.5008
3600,33.33,2251.67,16.13,3.6008
3700,36.00,2251.66,15.95,3.7008
3800,41.67,2251.46,15.89,3.8008
3900,36.00,2251.36,15.89,3.9008
4000,42.86,2251.29,15.82,4.0008
4100,54.55,2251.34,15.73,4.1008
4200,38.10,2251.98,15.70,4.2008
4300,36.36,2251.69,15.62,4.3008
4400,30.43,2251.43,15.48,4.4008
4500,42.86,2251.35,15.51,4.5008
4600,39.13,2251.69,15.49,4.6008
4700,60.00,2251.67,15.31,4.7008
4800,40.00,2252.01,15.20,4.8008
4900,37.50,2251.65,15.17,4.9008
5000,43.48,2251.86,15.17,5.0008
5100,44.00,2251.88,15.10,5.1008
5200,46.67,2251.53,15.02,5.2008
5300,36.67,2251.89,15.05,5.3008
5400,40.91,2251.62,15.01,5.4008
5500,25.81,2251.39,14.83,5.5008
5600,40.00,2251.51,14.78,5.6008
5700,47.83,2251.47,14.90,5.7008
5800,45.83,2251.66,14.93,5.8008
5900,46.67,2251.50,15.01,5.9008
6000,31.82,2251.68,15.00,6.0008
6100,40.00,2251.83,14.99,6.1008
6200,30.43,2251.53,14.92,6.2008
6300,28.00,2252.44,14.81,6.3008
6400,41.67,2251.80,14.75,6.4008
6500,34.78,2252.17,14.62,6.5008
6600,40.00,2252.14,14.42,6.6008
6700,37.50,2251.86,14.44,6.7008
6800,44.00,2251.78,14.46,6.8008
6900,36.00,2251.75,14.46,6.9008
7000,43.33,2251.48,14.49,7.0008
7100,50.00,2251.93,14.43,7.1008
7201,41.67,2251.40,14.39,7.2013
7300,33.33,2251.68,14.31,7.3008
7400,47.37,2251.57,14.23,7.4008
7500,45.00,2251.41,14.21,7.5008
7600,40.00,2251.26,14.25,7.6008
7700,36.00,2251.75,14.21,7.7008
7800,41.67,2251.51,14.27,7.8008
7900,44.44,2251.55,14.23,7.9008
8008,40.63,2251.70,14.25,8.0090
8100,39.13,2251.37,14.28,8.1008
8200,41.67,2251.36,14.22,8.2008
8300,42.11,2251.65,14.17,8.3008
8400,43.48,2251.60,14.14,8.4008
8500,43.75,2251.47,14.09,8.5008
8600,41.67,2251.58,14.06,8.6008
8700,47.83,2251.95,14.04,8.7008
8800,55.56,2252.11,14.04,8.8008
8900,45.83,2251.93,14.10,8.9010
9000,30.43,2251.60,14.08,9.0008
9100,34.38,2251.85,13.98,9.1008
9200,33.33,2251.64,13.93,9.2008
9300,39.29,2252.12,14.00,9.3008
9400,47.83,2252.14,14.05,9.4008
9500,57.14,2251.58,14.03,9.5008
9600,28.57,2251.39,14.01,9.6008
9700,25.81,2251.70,13.95,9.7008
9800,42.86,2251.48,13.92,9.8008
9900,45.45,2251.56,13.99,9.9008
10000,45.83,2251.53,14.02,10.0008
10100,38.71,2251.64,14.03,10.1008
10200,41.38,2251.72,14.10,10.2008
10300,26.09,2251.71,14.04,10.3008
10400,40.00,2251.64,14.03,10.4008
10500,45.45,2251.57,14.07,10.5008
10600,55.56,2251.62,14.02,10.6008
10700,36.00,2252.18,14.05,10.7008
10800,50.00,2251.59,14.09,10.8008
10900,16.00,2251.79,14.05,10.9008
11000,50.00,2251.54,14.06,11.0008
11100,40.00,2252.07,14.02,11.1008
11200,47.62,2251.48,13.98,11.2008
11300,45.83,2251.79,13.98,11.3008
11400,50.00,2252.04,13.94,11.4008
11500,38.89,2251.69,13.92,11.5008
11600,42.11,2251.57,13.92,11.6008
11700,39.29,2251.46,13.92,11.7008
11800,19.23,2251.78,13.87,11.8008
11900,23.33,2251.64,13.82,11.9008
12000,31.58,2251.48,13.77,12.0008
12100,48.00,2251.49,13.84,12.1008
12200,50.00,2251.42,13.78,12.2008
12300,38.10,2251.45,13.78,12.3008
12400,37.50,2251.46,13.81,12.4008
12500,40.00,2251.67,13.77,12.5008
12605,60.00,2251.67,13.73,12.6059
12700,47.62,2252.62,13.69,12.7008
12800,47.37,2253.67,13.66,12.8008
12900,55.56,2254.95,13.61,12.9008
13000,60.00,2255.68,13.56,13.0008
13100,48.28,2254.82,13.58,13.1008
13200,44.44,2254.73,13.52,13.2008
13300,43.48,2254.92,13.54,13.3008
13400,42.86,2255.47,13.55,13.4008
13500,33.33,2255.47,13.55,13.5008
13600,29.17,2255.38,13.60,13.6008
13700,40.00,2255.44,13.63,13.7008
13800,42.86,2255.55,13.63,13.8008
13900,45.45,2255.11,13.65,13.9008
14000,33.33,2254.92,13.70,14.0008
14100,45.45,2255.16,13.74,14.1008
14200,38.46,2254.62,13.77,14.2008
14300,48.00,2254.95,13.81,14.3008
14400,32.00,2254.84,13.82,14.4008
14500,20.00,2254.77,13.80,14.5008
14600,39.29,2255.02,13.81,14.6008
14700,28.00,2254.85,13.80,14.7008
14800,40.00,2254.93,13.78,14.8008
14900,44.00,2254.89,13.79,14.9008
15000,28.00,2254.98,13.77,15.0008
