Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
102,3.30,2266.37,8.81,0.1027
202,37.04,2263.94,12.72,0.2027
302,50.00,2263.88,22.31,0.3027
402,42.31,2263.50,25.90,0.4027
502,64.00,2263.90,26.42,0.5027
602,52.63,2263.75,26.32,0.6027
702,43.33,2263.88,27.99,0.7027
802,42.86,2257.36,27.71,0.8027
902,37.50,2257.61,26.67,0.9027
1002,32.26,2257.80,25.97,1.0027
1102,62.50,2258.15,25.49,1.1027
1202,42.86,2257.95,24.91,1.2027
1302,40.00,2257.84,24.17,1.3027
1402,45.45,2258.04,23.73,1.4027
1502,41.67,2257.22,23.06,1.5027
1602,42.86,2257.46,22.76,1.6027
1702,68.75,2257.61,21.90,1.7027
1802,44.00,2257.60,21.41,1.8027
1902,40.00,2257.85,20.86,1.9027
2002,30.43,2257.07,20.32,2.0027
2102,33.33,2257.46,19.92,2.1027
2202,44.44,2257.34,19.33,2.2027
2302,45.83,2257.59,18.96,2.3027
2402,47.37,2257.51,18.75,2.4027
2502,29.63,2257.61,18.35,2.5027
2602,25.93,2257.29,17.87,2.6027
2702,45.45,2257.34,17.71,2.7027
2802,40.74,2257.26,17.62,2.8027
2902,47.37,2257.46,17.36,2.9027
3002,40.91,2257.36,17.16,3.0027
3102,35.48,2257.59,17.06,3.1027
3202,39.13,2257.45,17.00,3.2027
3302,30.77,2257.40,16.82,3.3027
3402,43.48,2257.40,16.88,3.4027
3502,36.00,2257.18,16.63,3.5027
3602,47.62,2257.60,16.54,3.6027
3702,35.00,2257.25,16.42,3.7027
3802,40.74,2257.45,16.47,3.8027
3902,40.91,2257.40,16.44,3.9027
4002,36.36,2257.20,16.30,4.0027
4102,45.45,2256.85,16.17,4.1027
4202,47.62,2257.27,16.20,4.2027
4302,28.12,2257.23,16.08,4.3027
4402,28.57,2257.75,15.95,4.4027
4502,41.67,2257.55,15.89,4.5027
4602,40.00,2257.19,15.90,4.6027
4702,40.62,2257.40,15.87,4.7027
4802,44.00,2257.38,15.88,4.8027
4902,47.06,2257.34,15.77,4.9027
5002,39.13,2257.27,15.64,5.0027
5102,50.00,2257.14,15.79,5.1027
5202,40.91,2257.46,15.74,5.2027
5302,33.33,2257.59,15.67,5.3027
5402,41.67,2257.63,15.64,5.4027
5502,40.91,2257.48,15.60,5.5027
5602,40.63,2257.78,15.63,5.6027
5702,41.18,2257.51,15.57,5.7027
5802,38.46,2257.46,15.50,5.8027
5902,40.91,2257.37,15.41,5.9027
6002,35.00,2257.90,15.31,6.0027
6102,36.67,2257.52,15.21,6.1027
6202,21.21,2257.34,15.01,6.2027
6302,30.77,2257.42,14.89,6.3027
6402,32.00,2257.42,14.75,6.4027
6502,47.62,2257.34,14.77,6.5027
6602,39.13,2257.19,14.75,6.6027
6702,24.00,2257.26,14.62,6.7027
6802,40.00,2256.96,14.64,6.8027
6902,39.13,2257.27,14.62,6.9027
7002,44.00,2257.09,14.75,7.0027
7102,52.94,2257.79,14.68,7.1027
7202,30.00,2257.51,14.64,7.2027
7302,47.62,2257.44,14.61,7.3027
7402,40.00,2257.42,14.64,7.4027
7502,34.48,2257.31,14.66,7.5027
7602,42.86,2257.64,14.62,7.6027
