Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.98,2261.41,8.34,0.1005
200,44.00,2260.30,19.18,0.2005
300,50.00,2260.15,26.13,0.3005
400,78.26,2259.48,25.65,0.4005
500,32.26,2259.38,24.24,0.5005
600,45.83,2259.72,24.59,0.6005
700,31.03,2259.44,24.27,0.7005
800,40.00,2253.81,23.80,0.8005
900,40.00,2253.39,24.46,0.9005
1000,66.67,2253.73,25.87,1.0005
1100,33.33,2253.28,24.84,1.1005
1200,44.00,2253.36,25.77,1.2005
1300,42.31,2253.10,25.42,1.3005
1400,33.33,2253.27,24.57,1.4005
1500,42.31,2252.87,24.69,1.5005
1600,54.55,2253.01,23.89,1.6005
1700,45.83,2253.11,23.81,1.7005
1800,48.00,2253.50,23.50,1.8005
1900,45.83,2253.16,23.06,1.9005
2000,34.37,2252.94,22.55,2.0005
2100,41.94,2253.33,22.45,2.1005
2200,38.10,2252.96,22.25,2.2005
2300,45.45,2253.01,22.11,2.3005
2400,41.67,2252.86,22.06,2.4005
2500,22.58,2253.42,21.37,2.5005
2600,45.83,2253.23,21.25,2.6005
2700,32.00,2253.21,20.72,2.7005
2800,45.00,2253.21,20.35,2.8005
2900,41.67,2253.23,20.07,2.9005
3000,30.00,2253.10,19.87,3.0005
3100,25.71,2253.25,19.48,3.1005
3200,33.33,2253.24,19.16,3.2005
3300,29.03,2253.27,18.90,3.3005
3400,37.50,2253.38,18.54,3.4005
3500,41.18,2253.32,18.31,3.5005
3600,34.48,2253.23,18.13,3.6005
3700,35.71,2253.13,18.26,3.7005
3800,38.46,2253.31,18.20,3.8005
3900,38.10,2253.27,18.10,3.9005
4000,44.00,2253.18,18.18,4.0005
4100,40.00,2253.30,18.09,4.1005
4200,31.58,2253.39,17.86,4.2005
4300,40.00,2253.19,17.80,4.3005
4400,45.00,2253.17,17.94,4.4005
4500,47.37,2253.04,17.84,4.5005
4600,44.44,2253.15,17.66,4.6005
4700,50.00,2253.08,17.55,4.7005
4800,40.91,2253.27,17.46,4.8005
4900,50.00,2253.36,17.33,4.9005
5000,42.86,2253.56,17.22,5.0005
5100,39.13,2253.63,17.23,5.1005
5200,57.14,2253.55,17.10,5.2005
5300,33.33,2253.23,16.91,5.3005
5400,38.10,2253.75,16.88,5.4005
5500,43.48,2253.59,16.86,5.5005
5600,38.46,2253.33,16.84,5.6005
5700,47.37,2254.03,16.75,5.7005
5800,45.00,2253.25,16.67,5.8005
5900,37.50,2253.57,16.58,5.9005
6000,48.00,2253.13,16.65,6.0005
6100,29.73,2253.34,16.49,6.1005
6200,34.78,2253.27,16.46,6.2005
6300,32.14,2253.52,16.43,6.3005
6400,47.62,2253.80,16.36,6.4005
6500,46.67,2253.83,16.27,6.5005
6600,36.00,2253.49,16.23,6.6005
6700,29.17,2253.36,16.13,6.7005
6800,50.00,2253.43,16.06,6.8005
6900,47.83,2253.85,16.10,6.9005
7000,56.25,2253.43,15.98,7.0005
7100,39.13,2253.39,15.89,7.1005
7200,39.13,2253.66,15.87,7.2005
7300,41.67,2253.52,15.84,7.3005
7400,32.00,2253.32,15.80,7.4005
7500,28.12,2253.42,15.68,7.5005
7600,40.74,2253.48,15.65,7.6005
7700,29.03,2253.60,15.53,7.7005
7800,35.71,2253.84,15.49,7.8007
7900,21.21,2253.29,15.39,7.9005
8000,37.04,2253.33,15.31,8.0005
8100,35.48,2253.26,15.36,8.1005
8200,41.67,2253.37,15.35,8.2005
8300,47.83,2253.17,15.42,8.3005
8400,47.06,2253.33,15.35,8.4005
8500,32.14,2253.46,15.33,8.5005
8600,28.13,2253.34,15.25,8.6005
8700,30.77,2253.68,15.17,8.7005
8800,27.27,2253.64,15.07,8.8005
8900,40.00,2253.68,14.96,8.9005
9000,24.14,2253.34,14.88,9.0005
9100,40.00,2253.57,14.82,9.1005
9200,42.31,2253.34,14.86,9.2005
9300,36.84,2253.65,14.86,9.3005
9400,50.00,2253.68,14.81,9.4005
9500,43.48,2253.76,14.82,9.5005
9600,42.86,2253.66,14.85,9.6005
9700,17.14,2253.25,14.75,9.7005
9800,34.62,2253.43,14.72,9.8005
9900,38.10,2253.20,14.70,9.9005
10000,35.48,2253.69,14.63,10.0005
10100,40.91,2253.54,14.57,10.1005
10200,33.33,2253.07,14.52,10.2005
10300,37.50,2253.53,14.56,10.3005
10400,45.00,2253.30,14.54,10.4005
10500,36.11,2253.14,14.52,10.5005
10600,35.00,2253.39,14.47,10.6005
10700,38.10,2253.63,14.46,10.7005
10800,52.38,2253.59,14.42,10.8005
10900,40.74,2253.45,14.48,10.9005
11000,30.77,2253.76,14.44,11.0005
11100,33.33,2253.66,14.48,11.1005
11200,44.00,2253.44,14.53,11.2005
11300,50.00,2253.51,14.61,11.3005
11400,36.00,2253.41,14.60,11.4005
11500,33.33,2253.50,14.59,11.5005
11600,22.22,2253.34,14.52,11.6005
11700,31.03,2253.70,14.50,11.7005
11800,52.17,2253.23,14.50,11.8005
11900,36.84,2253.59,14.45,11.9005
12000,47.37,2253.59,14.44,12.0005
12100,35.71,2253.69,14.45,12.1005
12200,45.00,2253.42,14.42,12.2005
12300,32.14,2253.47,14.39,12.3005
12400,38.10,2253.21,14.36,12.4005
12500,40.91,2253.46,14.37,12.5005
12600,50.00,2253.49,14.36,12.6005
12700,36.00,2253.26,14.33,12.7005
12800,32.26,2253.31,14.31,12.8005
12900,39.29,2253.55,14.31,12.9005
13000,45.83,2253.50,14.29,13.0005
13100,27.78,2253.60,14.25,13.1005
13200,44.00,2253.55,14.24,13.2005
13300,38.10,2253.43,14.17,13.3005
13400,24.32,2253.36,14.11,13.4005
13500,41.18,2253.38,14.10,13.5005
13600,40.91,2253.49,14.10,13.6005
13700,37.50,2253.70,14.13,13.7005
13800,47.37,2253.68,14.14,13.8005
13900,41.18,2253.38,14.12,13.9005
14000,31.82,2253.71,14.07,14.0005
14100,40.00,2253.75,14.11,14.1005
14200,41.18,2253.41,14.09,14.2005
14300,43.48,2253.27,14.11,14.3005
14400,47.06,2253.45,14.10,14.4005
14500,40.00,2253.25,14.09,14.5005
14600,34.78,2253.20,14.07,14.6005
14700,45.83,2253.35,14.09,14.7005
14800,36.36,2253.62,14.09,14.8005
14900,27.27,2253.60,14.05,14.9005
15000,34.37,2253.16,14.03,15.0005
15100,28.57,2253.27,14.05,15.1005
15200,31.82,2253.23,14.05,15.2005
15300,47.62,2253.08,14.07,15.3005
15400,31.03,2252.97,14.07,15.4005
15500,40.91,2253.45,14.07,15.5005
15600,45.83,2253.52,14.08,15.6005
15700,41.67,2253.57,14.09,15.7005
15800,34.78,2253.35,14.12,15.8005
15900,42.31,2253.43,14.16,15.9005
16011,31.43,2252.94,14.16,16.0114
16100,25.00,2253.90,14.12,16.1005
16200,32.26,2253.27,14.11,16.2005
16300,40.00,2253.06,14.14,16.3005
16400,40.00,2253.12,14.15,16.4005
16500,37.50,2253.03,14.18,16.5005
16600,36.00,2253.02,14.17,16.6005
16700,39.29,2253.04,14.17,16.7005
16800,28.00,2253.02,14.12,16.8005
16900,35.00,2253.01,14.08,16.9005
17000,27.27,2253.05,14.05,17.0005
17100,50.00,2253.30,14.02,17.1005
17200,42.31,2253.10,14.00,17.2005
17300,40.74,2253.17,14.03,17.3005
17400,40.74,2252.98,14.05,17.4005
17500,41.18,2253.19,14.04,17.5005
17600,32.14,2253.38,14.02,17.6005
17700,50.00,2253.23,14.00,17.7005
17800,44.00,2253.02,14.05,17.8005
17900,40.00,2253.17,14.08,17.9005
18000,33.33,2253.16,14.08,18.0005
18100,40.74,2252.94,14.10,18.1005
18200,42.86,2253.81,14.11,18.2005
18300,43.48,2253.64,14.11,18.3005
18400,38.10,2253.35,14.08,18.4005
18500,42.86,2253.38,14.07,18.5005
18600,37.50,2253.50,14.05,18.6005
18700,41.67,2253.43,14.04,18.7005
18800,28.57,2253.52,14.02,18.8005
18900,46.15,2253.43,14.00,18.9005
19000,47.83,2253.51,13.99,19.0005
19100,44.44,2253.53,13.98,19.1005
19200,37.50,2253.27,13.97,19.2005
19300,37.50,2253.11,13.99,19.3005
19400,21.74,2253.27,13.99,19.4005
19500,36.00,2253.14,13.98,19.5005
19600,42.86,2253.49,14.03,19.6005
19700,45.00,2253.39,14.03,19.7005
19800,55.00,2253.39,14.02,19.8005
19900,82.35,2253.32,13.99,19.9005
20000,60.87,2251.25,14.00,20.0005
20100,39.13,2251.18,13.99,20.1005
20200,50.00,2251.68,14.00,20.2005
20300,47.06,2251.07,13.99,20.3005
20400,70.00,2251.29,14.00,20.4005
20500,42.86,2251.31,13.98,20.5005
20600,27.59,2250.74,13.95,20.6005
20700,36.36,2250.92,13.96,20.7005
20800,26.92,2250.98,13.94,20.8005
20900,42.11,2250.60,13.92,20.9005
21000,53.85,2250.85,13.88,21.0005
21100,52.17,2251.02,13.85,21.1005
21200,40.74,2251.31,13.87,21.2005
21300,38.71,2251.29,13.89,21.3005
21400,50.00,2251.30,13.90,21.4005
21500,52.63,2251.28,13.89,21.5005
21600,60.00,2251.14,13.90,21.6005
21700,50.00,2251.11,13.88,21.7005
21800,31.58,2251.12,13.84,21.8005
21900,39.13,2251.08,13.87,21.9005
22000,40.91,2250.96,13.86,22.0005
22100,47.62,2250.83,13.88,22.1005
22200,45.16,2251.20,13.88,22.2005
22300,36.84,2251.14,13.86,22.3005
22400,38.10,2251.05,13.84,22.4005
22500,39.13,2251.18,13.85,22.5005
22600,41.67,2251.24,13.90,22.6005
22700,47.06,2251.25,13.90,22.7005
22800,41.38,2251.20,13.89,22.8005
22900,50.00,2251.10,13.85,22.9005
23000,45.45,2251.04,13.86,23.0005
23100,32.14,2250.86,13.87,23.1005
23200,50.00,2251.40,13.86,23.2005
23300,41.18,2251.36,13.83,23.3005
23400,47.62,2251.04,13.81,23.4005
23500,30.30,2251.09,13.79,23.5005
23600,31.03,2251.15,13.77,23.6005
23700,41.67,2251.30,13.80,23.7005
23800,50.00,2251.09,13.82,23.8005
23900,42.86,2251.04,13.83,23.9005
24000,43.48,2251.59,13.84,24.0005
24100,33.33,2251.50,13.85,24.1005
24200,21.21,2251.29,13.81,24.2005
24300,39.13,2251.02,13.81,24.3005
24400,39.13,2251.54,13.78,24.4005
24500,41.18,2251.11,13.77,24.5005
24600,45.00,2251.07,13.77,24.6005
24700,61.54,2251.16,13.74,24.7005
24800,37.50,2251.24,13.72,24.8005
24900,38.89,2251.27,13.69,24.9005
25000,36.00,2251.12,13.70,25.0005
25100,43.48,2251.10,13.71,25.1005
25200,40.91,2251.22,13.69,25.2005
25300,42.86,2251.29,13.70,25.3005
25400,43.48,2251.12,13.70,25.4005
25500,47.37,2251.41,13.71,25.5005
25600,33.33,2251.25,13.71,25.6005
25700,38.10,2250.73,13.70,25.7005
25800,40.91,2250.94,13.70,25.8005
25900,42.86,2251.41,13.73,25.9005
26000,25.00,2251.50,13.70,26.0005
26100,48.15,2251.17,13.73,26.1005
26200,26.09,2251.32,13.72,26.2005
26300,40.91,2251.29,13.70,26.3005
26400,46.43,2251.19,13.73,26.4005
26500,41.67,2252.08,13.69,26.5005
26600,45.83,2251.42,13.70,26.6005
26700,35.48,2251.37,13.69,26.7005
26800,40.00,2251.36,13.69,26.8005
26900,38.71,2251.75,13.64,26.9005
27000,27.78,2251.75,13.59,27.0005
27100,30.00,2251.75,13.54,27.1005
27200,28.21,2251.75,13.49,27.2005
27300,27.03,2251.75,13.44,27.3005
27400,27.50,2251.63,13.39,27.4005
27500,27.03,2251.63,13.35,27.5005
27600,25.64,2251.87,13.30,27.6005
27700,38.71,2251.87,13.25,27.7005
27800,27.03,2251.87,13.20,27.8005
27900,30.77,2251.87,13.15,27.9005
28000,24.32,2251.87,13.11,28.0005
28100,28.21,2251.87,13.06,28.1005
28200,28.95,2251.87,13.01,28.2005
28300,27.59,2251.87,12.97,28.3005
28400,30.77,2251.87,12.92,28.4005
28500,27.03,2251.87,12.88,28.5005
28600,26.32,2251.87,12.83,28.6005
28700,28.21,2251.87,12.79,28.7005
28800,28.21,2251.87,12.74,28.8005
28900,27.03,2251.87,12.70,28.9005
29000,24.32,2251.87,12.66,29.0005
29100,28.21,2251.87,12.61,29.1005
29200,26.32,2251.87,12.57,29.2005
29300,28.21,2251.87,12.53,29.3005
