Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.47,2265.87,8.75,0.1006
200,60.71,2265.20,16.70,0.2006
300,31.25,2264.88,19.63,0.3006
400,46.15,2264.70,22.14,0.4006
500,46.15,2265.28,24.23,0.5006
600,39.29,2265.02,25.11,0.6006
700,46.15,2264.62,24.61,0.7006
800,25.81,2264.55,23.69,0.8006
900,28.57,2264.79,22.61,0.9006
1000,37.04,2264.37,22.60,1.0006
1100,52.63,2265.12,21.65,1.1006
1200,40.74,2264.57,21.62,1.2006
1300,73.91,2258.17,20.78,1.3006
1400,40.74,2258.47,20.33,1.4006
1500,38.89,2258.60,19.37,1.5006
1600,52.94,2258.81,18.63,1.6006
1700,21.43,2259.03,17.64,1.7006
1800,29.41,2258.51,17.05,1.8006
1900,79.31,2258.61,16.65,1.9006
2000,52.38,2258.79,16.56,2.0006
2100,41.67,2259.03,16.47,2.1006
2200,39.39,2258.64,16.43,2.2006
2300,30.43,2259.01,16.13,2.3006
2400,37.50,2258.81,15.98,2.4006
2500,60.00,2259.04,15.71,2.5006
2600,34.78,2258.81,15.50,2.6006
2700,33.33,2258.78,15.40,2.7006
2800,39.13,2258.76,15.16,2.8006
2900,31.03,2258.48,15.04,2.9006
3000,40.91,2258.24,14.99,3.0006
3100,52.17,2258.44,14.88,3.1006
3200,37.50,2258.46,14.78,3.2006
3300,43.75,2258.18,14.70,3.3006
3400,45.45,2258.66,14.66,3.4006
3500,43.48,2258.68,14.55,3.5006
3600,40.91,2258.89,14.67,3.6006
3700,52.38,2258.67,14.70,3.7006
3800,41.18,2258.44,14.88,3.8006
3900,52.94,2258.77,14.85,3.9006
4000,37.50,2258.70,14.99,4.0006
4100,38.46,2258.41,14.98,4.1006
4200,44.00,2258.93,15.00,4.2006
4300,30.77,2258.77,14.89,4.3006
4400,42.11,2258.47,14.96,4.4006
4500,40.00,2258.14,14.97,4.5006
4600,38.10,2258.44,14.85,4.6006
4700,43.48,2258.62,14.88,4.7006
4800,40.00,2258.85,14.91,4.8006
4900,68.75,2258.57,14.87,4.9006
5000,40.00,2258.54,14.90,5.0006
5100,31.03,2258.56,14.76,5.1006
5200,36.00,2258.59,14.63,5.2006
5300,38.46,2258.32,14.54,5.3010
5400,29.03,2258.59,14.41,5.4006
5500,52.38,2258.80,14.34,5.5006
5600,41.18,2258.96,14.22,5.6006
5700,43.48,2258.58,14.26,5.7006
5801,50.00,2258.70,14.14,5.8013
5900,42.86,2258.41,14.09,5.9006
6000,43.75,2258.56,13.98,6.0006
6100,57.14,2258.38,13.85,6.1006
6200,37.50,2258.49,13.78,6.2006
6300,40.74,2258.61,13.82,6.3006
6400,42.86,2258.88,13.82,6.4006
6500,45.45,2258.89,13.80,6.5006
6600,50.00,2258.50,13.78,6.6006
6700,56.25,2258.71,13.71,6.7006
6800,50.00,2258.64,13.73,6.8006
6900,42.86,2258.37,13.71,6.9006
7000,34.62,2258.71,13.67,7.0006
7100,35.71,2258.56,13.66,7.1006
7200,29.63,2258.39,13.61,7.2006
7300,44.83,2258.65,13.77,7.3006
7400,39.13,2258.60,13.73,7.4006
7500,40.91,2258.48,13.75,7.5006
7600,28.00,2258.43,13.73,7.6006
7700,37.04,2259.09,13.78,7.7006
7800,40.00,2258.41,13.78,7.8006
7900,42.86,2258.45,13.75,7.9006
8000,40.00,2258.41,13.71,8.0006
8100,30.30,2258.42,13.69,8.1006
8200,30.77,2258.69,13.64,8.2006
8300,34.48,2258.46,13.61,8.3011
8400,23.08,2258.52,13.54,8.4006
8500,48.00,2258.63,13.60,8.5006
8600,43.48,2258.54,13.64,8.6006
8700,40.00,2258.91,13.65,8.7006
8800,52.63,2258.90,13.63,8.8006
8900,32.00,2259.21,13.58,8.9006
9000,58.82,2258.90,13.55,9.0006
9100,45.00,2259.07,13.56,9.1006
9200,37.04,2259.08,13.56,9.2006
9300,40.91,2258.30,13.61,9.3006
9400,45.45,2258.45,13.62,9.4006
9500,43.75,2258.15,13.57,9.5006
9600,28.57,2258.37,13.51,9.6006
9700,33.33,2258.54,13.48,9.7006
9800,58.33,2258.52,13.40,9.8006
9900,40.00,2258.45,13.37,9.9006
10000,44.00,2258.43,13.37,10.0006
10100,41.18,2258.35,13.31,10.1006
10200,27.78,2258.45,13.25,10.2006
10300,28.57,2259.07,13.21,10.3006
10400,37.50,2259.28,13.19,10.4006
10500,30.00,2259.27,13.19,10.5006
10600,28.57,2259.63,13.20,10.6006
10700,45.45,2258.43,13.21,10.7006
10800,41.94,2258.82,13.26,10.8006
10900,57.14,2258.34,13.23,10.9006
11000,40.74,2258.88,13.27,11.0006
11100,34.78,2258.50,13.22,11.1006
11200,36.36,2258.48,13.22,11.2006
11300,40.74,2258.46,13.22,11.3006
11400,34.78,2258.52,13.19,11.4006
11500,48.00,2258.70,13.22,11.5006
11600,47.06,2258.86,13.15,11.6006
11700,38.46,2258.37,13.19,11.7006
11800,44.83,2258.82,13.22,11.8006
11900,42.11,2258.91,13.24,11.9006
12000,42.86,2259.02,13.25,12.0006
12100,50.00,2258.71,13.27,12.1006
12200,37.04,2259.02,13.27,12.2006
12300,28.57,2258.70,13.25,12.3006
12400,32.00,2259.00,13.22,12.4006
12500,23.33,2258.41,13.20,12.5006
12600,34.62,2258.59,13.17,12.6006
12700,37.04,2258.86,13.18,12.7006
12800,39.13,2258.66,13.16,12.8006
12900,38.10,2258.69,13.22,12.9006
13000,34.62,2259.06,13.21,13.0006
13100,39.13,2258.38,13.21,13.1006
13200,60.00,2258.74,13.23,13.2006
13300,50.00,2258.84,13.22,13.3006
13400,36.36,2258.49,13.18,13.4006
13500,45.00,2258.73,13.16,13.5006
13600,42.86,2258.34,13.13,13.6006
13700,30.77,2258.28,13.11,13.7006
13800,36.84,2258.71,13.11,13.8006
13900,53.33,2258.69,13.06,13.9006
14000,50.00,2258.38,13.06,14.0006
14100,40.00,2258.68,13.07,14.1006
14200,38.10,2258.54,13.08,14.2006
14300,42.31,2258.69,13.10,14.3006
14400,47.37,2258.48,13.10,14.4006
14500,33.33,2258.38,13.07,14.5006
14600,43.48,2258.50,13.09,14.6006
14700,33.33,2258.46,13.08,14.7006
14800,41.67,2258.21,13.09,14.8006
14900,35.00,2258.23,13.07,14.9006
15000,45.00,2258.25,13.07,15.0006
15100,45.00,2258.46,13.07,15.1006
15200,53.85,2258.58,13.03,15.2006
15300,45.00,2258.69,13.02,15.3006
15400,41.67,2258.36,13.04,15.4006
15500,55.56,2258.67,13.03,15.5006
15600,47.62,2258.29,13.07,15.6006
15700,45.00,2258.60,13.09,15.7006
15800,36.67,2258.55,13.12,15.8006
15900,42.86,2258.61,13.20,15.9006
16000,52.17,2258.76,13.23,16.0006
16100,47.06,2258.97,13.21,16.1006
16200,45.45,2258.80,13.23,16.2006
16300,47.37,2258.96,13.25,16.3006
16400,32.00,2259.01,13.23,16.4006
16500,32.14,2258.86,13.21,16.5006
16600,42.86,2258.89,13.21,16.6006
16700,35.00,2258.12,13.19,16.7006
16800,40.91,2258.45,13.17,16.8006
16900,42.11,2258.34,13.16,16.9006
17000,45.00,2258.45,13.15,17.0006
17100,50.00,2258.31,13.14,17.1006
17200,39.13,2258.35,13.15,17.2006
17300,37.50,2258.20,13.17,17.3006
17400,34.38,2258.27,13.13,17.4006
17500,36.36,2258.24,13.11,17.5006
17600,48.00,2258.23,13.13,17.6006
17700,34.48,2258.35,13.12,17.7006
17800,38.71,2258.53,13.12,17.8006
17900,44.44,2258.59,13.11,17.9006
18000,47.37,2258.30,13.11,18.0006
18100,42.86,2258.99,13.10,18.1006
18200,40.00,2259.09,13.09,18.2006
18300,27.27,2259.15,13.06,18.3006
18400,42.86,2258.48,13.07,18.4006
18500,50.00,2258.57,13.08,18.5006
