Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
103,3.68,2267.64,9.04,0.1038
203,41.67,2266.50,15.36,0.2038
303,45.83,2266.72,24.80,0.3038
403,52.00,2266.35,27.03,0.4038
503,55.56,2266.62,29.94,0.5038
603,42.31,2260.08,31.17,0.6038
703,66.67,2260.31,30.55,0.7038
803,30.00,2260.14,27.73,0.8038
903,50.00,2260.23,27.86,0.9038
1003,46.15,2259.78,27.90,1.0038
1103,50.00,2260.11,26.78,1.1038
1203,43.48,2259.80,25.12,1.2038
1303,85.71,2259.86,24.15,1.3038
1403,40.74,2259.88,23.51,1.4038
1503,42.86,2260.30,22.93,1.5038
1603,45.45,2260.16,22.55,1.6038
1703,42.86,2260.14,22.22,1.7038
1803,36.00,2259.91,21.74,1.8038
1903,55.00,2259.93,21.25,1.9038
2003,40.00,2259.87,20.83,2.0038
2103,41.67,2259.93,20.69,2.1038
2203,41.18,2259.96,20.33,2.2038
2303,42.31,2260.08,20.22,2.3038
2403,43.48,2259.76,19.89,2.4038
2503,60.00,2259.98,19.41,2.5038
2603,42.86,2260.07,18.91,2.6038
2703,31.03,2259.93,18.65,2.7038
2803,38.46,2259.98,18.52,2.8038
2903,50.00,2260.23,18.27,2.9038
3003,56.25,2260.53,17.97,3.0038
3103,52.38,2260.00,17.90,3.1038
3203,36.84,2260.28,17.67,3.2038
3303,37.50,2260.28,17.58,3.3038
3403,36.00,2260.05,17.44,3.4038
3503,31.03,2260.43,17.23,3.5038
3603,45.45,2259.78,17.11,3.6038
3703,32.14,2259.78,16.94,3.7038
3803,32.14,2259.90,16.82,3.8038
3903,28.57,2259.67,16.60,3.9038
4003,37.50,2260.04,16.66,4.0038
4103,55.56,2259.98,16.55,4.1038
4203,29.17,2259.93,16.43,4.2038
4303,57.14,2259.80,16.19,4.3038
4403,40.91,2259.88,16.17,4.4038
4503,47.37,2259.97,16.03,4.5038
4603,38.10,2259.80,15.84,4.6038
4703,31.82,2259.92,15.70,4.7038
4803,39.13,2259.94,15.67,4.8038
4903,37.93,2259.94,15.63,4.9038
5003,42.86,2260.98,15.55,5.0038
5103,41.67,2260.80,15.45,5.1038
5203,40.00,2260.84,15.35,5.2038
5303,40.91,2261.05,15.31,5.3038
5403,47.83,2259.91,15.25,5.4038
5503,30.43,2260.16,15.10,5.5038
5603,42.86,2260.13,15.08,5.6038
5703,38.46,2259.67,15.12,5.7038
5803,28.57,2260.01,15.03,5.8038
5903,36.67,2259.78,14.99,5.9038
6003,36.36,2259.73,14.92,6.0038
6103,30.77,2260.38,14.84,6.1038
6203,57.14,2259.91,14.74,6.2038
6303,37.50,2259.59,14.73,6.3038
6403,36.84,2259.68,14.73,6.4038
6503,50.00,2259.68,14.86,6.5038
6603,45.00,2259.87,14.92,6.6038
6703,45.45,2259.98,14.96,6.7038
6803,36.00,2259.64,15.01,6.8038
6903,41.67,2259.77,14.97,6.9038
7003,38.46,2259.67,14.97,7.0038
7103,38.89,2259.54,14.92,7.1038
7203,50.00,2259.63,14.94,7.2038
7303,46.15,2259.81,14.93,7.3038
7403,40.91,2259.89,14.95,7.4038
7503,34.62,2259.55,14.93,7.5038
7603,30.00,2259.91,14.89,7.6038
7703,33.33,2259.76,14.84,7.7038
7803,32.14,2259.92,14.76,7.8038
7903,52.94,2259.73,14.69,7.9038
8003,35.29,2259.61,14.60,8.0038
8103,45.00,2259.47,14.60,8.1038
8203,32.00,2259.66,14.53,8.2038
8303,35.00,2260.17,14.58,8.3038
8403,52.17,2260.01,14.64,8.4041
8503,50.00,2260.21,14.53,8.5038
8603,34.48,2260.27,14.45,8.6038
8703,37.04,2260.08,14.35,8.7038
8803,37.50,2259.98,14.28,8.8038
8903,44.83,2260.12,14.29,8.9038
9003,36.36,2259.84,14.24,9.0038
9103,42.11,2260.20,14.22,9.1038
9203,47.37,2259.97,14.24,9.2038
9303,42.86,2259.83,14.23,9.3038
9403,43.48,2259.83,14.31,9.4038
9503,44.00,2260.11,14.32,9.5038
9603,41.94,2260.22,14.34,9.6038
9703,37.50,2259.84,14.28,9.7038
9803,39.13,2259.88,14.26,9.8038
9903,33.33,2260.10,14.32,9.9038
10003,42.86,2259.71,14.38,10.0038
10103,26.47,2259.52,14.33,10.1038
10203,25.00,2260.05,14.26,10.2038
10303,31.43,2259.69,14.20,10.3038
10403,25.81,2260.19,14.15,10.4038
10503,40.63,2259.80,14.17,10.5038
10603,30.00,2260.20,14.15,10.6038
10703,50.00,2259.98,14.11,10.7038
10803,39.29,2260.03,14.12,10.8038
10903,44.00,2260.01,14.14,10.9038
11003,47.06,2259.87,14.13,11.0038
11103,37.50,2259.99,14.17,11.1038
11203,38.46,2260.45,14.18,11.2038
11303,40.00,2260.05,14.22,11.3038
11403,40.91,2259.98,14.20,11.4038
11503,33.33,2259.82,14.17,11.5038
11603,57.89,2260.43,14.13,11.6038
11703,42.86,2259.96,14.12,11.7038
11803,38.89,2260.12,14.10,11.8038
11903,41.67,2260.14,14.07,11.9038
12003,38.10,2259.68,14.10,12.0038
12103,42.86,2259.91,14.08,12.1038
12203,48.15,2259.49,14.09,12.2038
12303,34.78,2259.89,14.06,12.3038
12403,45.45,2259.67,14.06,12.4038
12503,39.13,2259.91,14.10,12.5038
12603,31.82,2260.20,14.06,12.6038
12703,41.67,2260.03,14.05,12.7038
12803,52.38,2260.30,14.01,12.8041
12903,36.84,2260.02,13.96,12.9038
13003,33.33,2260.05,13.94,13.0038
13103,41.67,2260.07,13.94,13.1041
13203,40.00,2259.86,13.99,13.2038
13303,40.91,2259.77,13.97,13.3038
13403,29.17,2260.24,13.93,13.4038
13503,44.00,2259.89,13.98,13.5038
13603,40.91,2259.78,13.98,13.6038
13703,40.91,2260.45,13.97,13.7038
13803,42.86,2260.64,13.98,13.8038
13903,34.78,2260.19,13.96,13.9038
14003,45.00,2259.96,13.95,14.0038
14103,38.46,2259.92,13.96,14.1038
14203,29.63,2260.04,13.95,14.2038
14303,41.38,2260.39,13.97,14.3038
14403,45.45,2259.86,14.00,14.4038
