Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
104,3.65,1494.04,14.75,0.1094
204,60.00,1503.17,20.10,0.2094
304,70.83,1501.35,21.20,0.3094
404,42.31,1502.18,18.91,0.4094
504,73.68,1504.28,16.65,0.5094
604,45.45,1507.44,16.31,0.6094
704,56.25,1506.80,15.53,0.7094
804,37.50,1511.18,15.92,0.8094
904,38.10,1513.94,15.54,0.9094
1004,44.83,1517.60,15.58,1.0094
1104,53.57,1520.61,15.29,1.1094
1204,50.00,1522.44,14.66,1.2094
1304,44.44,1525.20,14.51,1.3094
1404,38.46,1528.87,14.53,1.4094
1504,41.67,1532.56,14.64,1.5094
1604,45.00,1536.00,14.67,1.6094
1704,62.50,1538.77,14.45,1.7094
1804,81.82,1541.06,14.26,1.8094
1904,38.46,1544.26,14.32,1.9094
2004,38.10,1548.66,14.40,2.0094
2104,44.00,1551.64,14.37,2.1094
2204,45.00,1554.41,14.26,2.2094
2304,41.38,1555.55,13.90,2.3094
2404,31.03,1558.78,13.89,2.4094
2504,35.71,1561.52,13.79,2.5094
2604,40.91,1563.81,13.67,2.6094
2704,34.78,1559.66,13.71,2.7094
2804,39.29,1563.54,13.85,2.8094
2904,44.00,1567.70,13.97,2.9094
3004,41.67,1570.92,13.94,3.0094
3104,42.86,1573.90,13.88,3.1094
3204,33.33,1576.66,13.82,3.2094
3304,43.48,1579.43,13.72,3.3094
3404,41.67,1583.34,13.88,3.4094
3504,42.11,1586.32,13.85,3.5094
3604,41.94,1588.42,13.89,3.6094
3704,50.00,1591.43,13.85,3.7094
3804,45.00,1593.97,13.78,3.8094
3904,44.00,1598.12,13.87,3.9094
4004,45.83,1602.50,13.98,4.0094
4104,50.00,1604.58,13.84,4.1094
4204,48.15,1608.71,13.97,4.2094
4304,42.86,1611.93,13.92,4.3094
4404,33.33,1605.89,13.83,4.4094
4504,36.00,1600.29,13.75,4.5094
4604,43.48,1601.64,13.63,4.6094
4704,62.50,1601.34,13.58,4.7094
4804,35.71,1602.24,13.40,4.8094
4904,32.14,1605.00,13.35,4.9094
5004,33.33,1598.49,13.23,5.0094
5104,66.67,1600.32,13.12,5.1094
5204,46.15,1603.24,13.18,5.2094
5304,41.67,1597.41,13.07,5.3094
5404,33.33,1599.70,13.02,5.4094
5504,40.00,1603.83,13.09,5.5094
5604,47.83,1603.23,13.05,5.6094
5704,38.46,1605.92,13.02,5.7094
5804,50.00,1609.21,13.04,5.8094
5904,34.48,1610.51,12.93,5.9094
6004,41.38,1614.17,12.98,6.0094
6104,37.04,1617.58,13.07,6.1094
6204,50.00,1621.92,13.20,6.2094
6304,50.00,1626.30,13.26,6.3094
6404,42.11,1629.28,13.26,6.4094
6504,39.13,1631.57,13.24,6.5094
6604,35.00,1630.16,13.14,6.6094
6704,44.83,1633.29,13.19,6.7094
6804,43.48,1636.54,13.19,6.8094
6904,37.50,1640.20,13.24,6.9094
7004,34.62,1643.40,13.27,7.0094
7104,45.83,1647.99,13.37,7.1094
7204,45.83,1652.55,13.48,7.2094
7304,45.83,1656.93,13.56,7.3094
7404,39.29,1654.62,13.66,7.4094
7504,33.33,1654.02,13.69,7.5094
7604,42.86,1655.01,13.66,7.6094
7704,30.77,1653.81,13.64,7.7094
7804,41.67,1656.57,13.63,7.8094
7904,37.04,1658.82,13.61,7.9094
8004,52.00,1661.25,13.63,8.0094
8104,47.62,1661.93,13.66,8.1094
8204,34.62,1664.64,13.66,8.2094
