Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,3.80,2220.75,7.17,0.1024
201,46.15,2218.56,20.45,0.2024
301,45.45,2221.11,21.14,0.3024
401,30.00,2225.92,21.51,0.4024
501,31.25,2229.37,20.02,0.5024
601,33.33,2229.62,19.37,0.6024
701,35.71,2233.29,18.92,0.7024
801,45.45,2232.62,18.63,0.8024
901,66.67,2232.64,18.37,0.9024
1001,87.50,2237.23,18.59,1.0024
1101,39.13,2241.83,18.76,1.1024
1201,54.55,2246.42,18.83,1.2024
1301,45.45,2239.40,18.49,1.3024
1401,31.82,2234.54,18.41,1.4024
1501,47.37,2236.87,17.74,1.5024
1601,50.00,2223.68,16.94,1.6024
1701,56.52,2174.84,17.22,1.7024
1801,47.62,2154.94,17.03,1.8024
1901,50.00,2157.54,17.14,1.9024
2001,38.10,2160.95,17.16,2.0024
2101,28.57,2162.51,16.77,2.1024
2201,30.56,2164.80,16.41,2.2024
2301,36.36,2166.58,16.27,2.3024
2401,45.00,2168.63,16.03,2.4024
2501,50.00,2172.08,16.00,2.5024
2601,47.62,2163.04,16.01,2.6024
2701,42.31,2166.48,15.97,2.7024
2801,47.62,2168.05,15.87,2.8024
2901,42.86,2169.20,15.91,2.9024
3001,45.83,2171.47,15.82,3.0024
3101,37.50,2173.66,15.82,3.1024
3201,37.50,2175.68,15.69,3.2024
3301,38.10,2176.04,15.43,3.3024
3401,20.00,2177.14,15.17,3.4024
3501,27.59,2178.26,14.93,3.5024
3601,28.00,2179.63,14.69,3.6024
3701,35.71,2180.75,14.46,3.7024
3801,57.14,2171.41,14.47,3.8024
3901,40.00,2172.68,14.37,3.9024
4001,48.00,2164.43,14.48,4.0024
4101,35.00,2166.27,14.31,4.1024
4201,37.50,2167.85,14.15,4.2024
4301,42.11,2170.86,14.13,4.3024
4401,42.86,2171.04,14.19,4.4024
4501,42.31,2174.26,14.18,4.5024
4601,33.33,2177.49,14.18,4.6024
4707,58.82,2146.68,14.03,4.7076
4801,42.86,2073.89,13.95,4.8024
4901,53.85,2000.99,13.97,4.9024
5001,53.33,1982.13,13.85,5.0024
5101,45.45,1983.20,13.77,5.1024
5201,38.89,1984.50,13.74,5.2024
5301,37.04,1986.93,13.77,5.3024
5401,36.00,1985.47,13.72,5.4024
5501,40.91,1981.41,13.61,5.5024
5601,43.48,1983.49,13.52,5.6024
5701,33.33,1985.10,13.39,5.7024
5801,38.10,1986.00,13.42,5.8024
5901,38.10,1988.77,13.38,5.9024
6001,34.62,1989.36,13.30,6.0024
6101,45.45,1992.12,13.27,6.1024
6201,39.13,1992.99,13.31,6.2024
6302,40.00,1990.52,13.27,6.3025
6401,50.00,1994.56,13.32,6.4024
6501,42.31,1998.91,13.43,6.5024
6601,40.00,2003.06,13.48,6.6024
6701,45.45,2006.02,13.49,6.7024
6801,42.11,2001.83,13.49,6.8024
6901,50.00,2005.25,13.52,6.9024
7001,23.33,2004.21,13.41,7.0024
7101,30.77,2006.98,13.38,7.1024
7201,43.33,2003.56,13.43,7.2024
7301,43.48,2006.10,13.45,7.3024
7401,40.00,2007.60,13.44,7.4024
7501,42.86,2008.12,13.46,7.5024
7601,40.74,2009.98,13.36,7.6024
7701,25.00,2011.35,13.28,7.7024
7801,20.83,2012.50,13.17,7.8024
7901,34.62,2014.57,13.10,7.9024
8001,25.81,2016.65,13.04,8.0024
8101,40.00,2012.44,13.06,8.1024
8201,47.83,2014.74,13.03,8.2024
8301,44.00,2015.29,13.09,8.3024
8401,50.00,2013.27,13.11,8.4024
8501,42.31,2017.89,13.18,8.5024
8601,47.83,2020.65,13.17,8.6024
8701,36.00,2023.63,13.17,8.7024
8801,27.59,2024.32,13.07,8.8024
8901,36.67,2017.52,13.11,8.9024
9001,42.86,2020.46,13.12,9.0024
9101,44.44,2024.69,13.20,9.1024
9201,39.13,2022.96,13.28,9.2024
9301,50.00,2024.89,13.29,9.3024
9401,54.55,2027.07,13.30,9.4024
9501,47.62,2029.37,13.27,9.5024
9601,42.31,2029.71,13.28,9.6024
9701,52.94,2033.65,13.31,9.7024
9801,35.00,2035.73,13.26,9.8024
9901,39.13,2037.04,13.29,9.9024
10001,41.67,2038.58,13.29,10.0024
10101,40.91,2041.78,13.29,10.1024
10201,37.50,2037.32,13.33,10.2024
10301,32.26,2039.14,13.28,10.3024
10401,39.13,2042.14,13.27,10.4024
10501,32.14,2044.66,13.26,10.5024
10601,35.29,2042.44,13.16,10.6024
10701,39.13,2044.96,13.15,10.7024
10801,43.48,2048.18,13.17,10.8024
10901,41.67,2049.80,13.19,10.9024
11001,50.00,2048.37,13.21,11.0024
11101,41.38,2051.81,13.23,11.1024
11201,42.11,2054.57,13.21,11.2024
11301,36.36,2056.41,13.18,11.3024
11401,37.04,2051.30,13.20,11.4024
11501,44.00,2051.06,13.22,11.5024
11601,36.00,2052.89,13.17,11.6024
11701,27.59,2054.09,13.13,11.7024
11801,38.10,2055.32,13.11,11.8024
11901,45.00,2058.08,13.10,11.9024
12001,39.13,2060.60,13.10,12.0024
12101,44.44,2063.36,13.07,12.1024
12202,37.04,2066.34,13.09,12.2028
12301,32.14,2068.64,13.06,12.3024
12401,38.46,2070.03,13.00,12.4024
12501,45.45,2067.72,13.00,12.5024
12601,45.00,2065.93,13.02,12.6024
12701,38.10,2068.45,13.00,12.7024
12801,40.00,2071.89,13.03,12.8024
12901,37.50,2074.41,13.01,12.9024
13001,33.33,2075.31,12.95,13.0024
13101,47.62,2078.75,12.96,13.1024
13201,40.00,2082.20,12.98,13.2024
13301,50.00,2086.60,13.02,13.3024
13401,46.15,2090.02,13.04,13.4024
13501,37.50,2086.71,13.03,13.5024
13601,63.16,2089.69,13.03,13.6024
13701,31.03,2092.94,13.02,13.7024
13802,40.00,2095.43,13.02,13.8028
13901,38.10,2097.26,12.99,13.9024
14001,24.32,2099.09,12.95,14.0024
14101,53.33,2093.76,12.93,14.1024
14201,33.33,2085.68,12.91,14.2024
14301,33.33,2089.35,12.94,14.3024
14401,40.00,2091.80,12.94,14.4024
14501,42.11,2094.89,12.97,14.5024
14601,41.67,2098.33,12.98,14.6024
14701,47.83,2100.75,13.01,14.7024
14801,55.56,2103.97,13.02,14.8024
14901,50.00,2106.62,13.05,14.9024
15001,42.11,2109.38,13.03,15.0024
15101,39.29,2111.89,13.02,15.1024
15201,33.33,2103.59,13.03,15.2024
15301,37.93,2107.47,13.06,15.3024
15401,55.56,2098.66,13.13,15.4024
15501,44.00,2100.97,13.13,15.5024
15601,42.31,2103.04,13.10,15.6024
15701,38.10,2105.34,13.08,15.7024
15801,50.00,2106.92,13.04,15.8024
15901,40.91,2109.68,13.04,15.9024
16001,32.14,2110.04,13.01,16.0024
16101,28.57,2112.04,12.97,16.1024
16201,32.14,2113.87,12.94,16.2024
16301,47.62,2115.64,12.94,16.3024
16401,45.00,2118.40,12.94,16.4024
16501,36.84,2120.95,12.92,16.5024
16601,39.29,2123.93,12.93,16.6024
16701,28.13,2125.76,12.90,16.7024
16801,42.86,2121.45,12.95,16.8024
16901,47.62,2122.75,12.96,16.9024
17001,44.00,2124.67,12.97,17.0024
17101,39.13,2121.16,12.99,17.1024
17201,45.83,2124.85,12.99,17.2024
17301,35.71,2127.37,13.00,17.3024
17401,32.14,2130.35,13.00,17.4024
17501,44.44,2129.69,12.99,17.5024
17601,33.33,2134.29,13.03,17.6024
17701,50.00,2127.72,13.06,17.7024
17801,29.03,2131.16,13.07,17.8024
17901,47.83,2134.14,13.07,17.9024
18001,42.86,2135.12,13.08,18.0024
18101,33.33,2137.64,13.08,18.1024
18201,37.93,2137.08,13.11,18.2024
18301,26.92,2140.73,13.12,18.3024
18401,54.17,2145.08,13.15,18.4024
18501,52.38,2148.28,13.16,18.5024
18601,43.33,2150.85,13.21,18.6024
18701,45.45,2149.38,13.22,18.7024
18801,47.83,2153.75,13.24,18.8024
18901,30.77,2155.18,13.25,18.9024
19001,45.83,2150.97,13.27,19.0024
19101,36.36,2152.56,13.24,19.1024
19201,36.00,2156.25,13.25,19.2024
19301,50.00,2159.48,13.25,19.3024
19401,48.15,2164.54,13.30,19.4024
19502,43.48,2162.91,13.29,19.5032
19601,33.33,2163.82,13.24,19.6024
19701,61.11,2164.75,13.20,19.7024
19801,69.23,2166.38,13.16,19.8024
19901,43.48,2169.83,13.16,19.9024
20001,32.14,2171.66,13.15,20.0024
20101,24.14,2173.71,13.13,20.1024
20201,44.44,2176.69,13.12,20.2024
20301,80.95,2174.89,13.10,20.3024
20401,36.36,2175.79,13.06,20.4024
20501,30.00,2169.53,13.02,20.5024
20601,32.14,2163.78,13.03,20.6024
20701,25.81,2165.14,13.00,20.7024
20801,44.00,2167.90,12.99,20.8024
20901,83.33,2168.99,13.01,20.9024
21001,36.00,2171.73,13.01,21.0024
21101,39.13,2173.04,13.01,21.1024
21201,45.00,2176.73,13.03,21.2024
21301,39.29,2176.80,13.07,21.3024
21401,37.50,2178.85,13.06,21.4024
21501,57.14,2181.86,13.05,21.5024
21601,50.00,2179.59,13.05,21.6024
21701,52.94,2176.10,13.04,21.7024
21801,43.48,2179.13,13.07,21.8024
21901,45.83,2182.41,13.07,21.9024
22001,47.62,2185.61,13.09,22.0024
22101,50.00,2187.66,13.07,22.1024
22201,37.50,2190.42,13.06,22.2024
22301,42.86,2190.01,13.07,22.3024
22401,36.00,2192.74,13.07,22.4024
22501,40.91,2197.83,13.11,22.5024
22601,43.48,2203.57,13.16,22.6024
22701,76.92,2197.44,13.14,22.7024
22801,42.31,2198.46,13.18,22.8024
22901,52.63,2200.73,13.18,22.9024
23001,44.00,2204.41,13.19,23.0024
23101,42.86,2208.54,13.21,23.1024
23201,37.50,2211.30,13.20,23.2024
23301,45.83,2214.53,13.21,23.3024
23401,42.11,2212.11,13.20,23.4024
23501,50.00,2201.54,13.20,23.5024
23601,28.00,2202.45,13.18,23.6024
23701,47.83,2205.21,13.17,23.7024
23801,33.33,2207.76,13.16,23.8024
23902,31.82,2208.91,13.12,23.9027
24001,40.00,2210.98,13.10,24.0024
24101,47.37,2214.43,13.11,24.1024
24201,42.31,2216.95,13.11,24.2024
24301,25.00,2219.24,13.09,24.3024
24401,38.46,2213.82,13.10,24.4024
24501,45.83,2215.68,13.08,24.5024
24601,45.00,2213.79,13.09,24.6024
24701,34.78,2214.91,13.09,24.7024
24801,47.37,2217.30,13.08,24.8024
24901,47.62,2217.04,13.09,24.9024
25001,41.67,2220.94,13.10,25.0024
25101,18.52,2219.43,13.06,25.1024
25201,34.78,2221.94,13.06,25.2024
25301,45.83,2223.88,13.08,25.3024
25401,41.67,2225.28,13.05,25.4024
25501,47.83,2228.32,13.08,25.5024
25601,48.15,2224.78,13.10,25.6024
25701,39.13,2227.96,13.10,25.7024
25801,47.37,2230.95,13.09,25.8024
25901,39.13,2234.86,13.11,25.9024
26001,41.67,2226.19,13.12,26.0024
26101,32.26,2224.19,13.16,26.1024
26201,44.00,2228.10,13.19,26.2024
26301,47.62,2232.25,13.21,26.3024
26401,40.00,2235.98,13.22,26.4024
26501,52.94,2235.55,13.21,26.5024
26601,34.78,2237.24,13.21,26.6024
26701,40.91,2240.22,13.21,26.7024
26801,42.86,2242.74,13.20,26.8024
26901,28.00,2244.57,13.19,26.9024
27001,40.91,2246.65,13.17,27.0024
27101,36.36,2251.24,13.19,27.1024
