Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,3.61,2263.30,5.24,0.1003
200,41.38,2258.65,18.99,0.2003
300,39.13,2259.10,21.68,0.3003
400,43.33,2259.29,24.73,0.4003
500,41.67,2258.91,27.08,0.5003
600,46.43,2258.74,27.88,0.6003
700,59.09,2259.47,27.33,0.7003
800,45.83,2259.21,26.26,0.8003
900,37.04,2258.90,25.85,0.9003
1000,44.00,2258.71,24.90,1.0003
1100,40.00,2258.47,23.86,1.1003
1200,41.38,2258.65,23.13,1.2003
1300,78.95,2258.84,21.98,1.3003
1400,39.13,2258.89,21.30,1.4003
1500,50.00,2258.70,20.53,1.5003
1600,40.00,2258.94,20.10,1.6003
1700,35.29,2258.62,19.73,1.7003
1800,37.04,2258.62,19.68,1.8003
1900,80.00,2258.75,19.04,1.9003
2000,19.23,2258.79,18.34,2.0003
2100,47.62,2258.86,18.19,2.1003
2200,36.36,2258.72,17.94,2.2003
2300,41.67,2258.52,18.00,2.3003
2400,42.86,2258.72,17.64,2.4003
2500,40.74,2258.87,17.27,2.5003
2600,44.44,2258.95,17.00,2.6003
2700,27.59,2258.98,16.68,2.7003
2800,41.67,2259.29,16.66,2.8003
2900,41.67,2258.94,16.50,2.9003
3000,44.44,2258.81,16.27,3.0003
3100,55.56,2259.31,16.09,3.1003
3200,43.48,2258.96,16.05,3.2003
3300,25.00,2258.90,15.85,3.3003
3400,34.62,2259.30,15.71,3.4003
3500,29.17,2259.24,15.49,3.5003
3600,45.83,2259.23,15.47,3.6003
3700,42.11,2259.03,15.30,3.7003
3800,27.59,2259.51,15.17,3.8003
3900,42.86,2258.73,15.18,3.9003
4000,35.00,2258.77,15.12,4.0003
4100,41.67,2259.01,15.12,4.1003
4200,41.67,2258.65,15.13,4.2003
4300,45.45,2258.65,14.99,4.3003
4400,50.00,2258.62,14.92,4.4003
4500,30.77,2258.68,15.08,4.5003
4600,47.62,2258.80,15.00,4.6003
4700,27.59,2258.86,14.88,4.7003
4800,47.06,2258.57,14.78,4.8003
4900,44.00,2259.39,14.72,4.9003
5000,29.03,2259.01,14.68,5.0003
5100,34.78,2258.68,14.59,5.1003
5200,40.91,2258.80,14.75,5.2003
5300,24.00,2258.54,14.65,5.3003
5400,39.29,2259.04,14.67,5.4003
5500,47.37,2259.04,14.56,5.5003
5600,27.59,2258.61,14.43,5.6003
5700,34.78,2258.85,14.37,5.7003
5800,42.86,2259.60,14.41,5.8003
5900,42.11,2258.56,14.47,5.9003
6000,45.83,2258.80,14.50,6.0003
6100,39.29,2258.91,14.51,6.1003
6200,38.10,2258.96,14.47,6.2003
6300,41.18,2258.86,14.38,6.3003
6400,31.58,2258.82,14.29,6.4003
6500,50.00,2258.59,14.33,6.5003
6600,33.33,2258.63,14.24,6.6003
6700,47.37,2258.67,14.22,6.7003
6800,36.36,2258.51,14.21,6.8003
6900,44.44,2258.79,14.24,6.9003
7000,45.00,2258.78,14.20,7.0003
7100,41.18,2259.02,14.19,7.1003
7200,44.44,2258.88,14.28,7.2003
7300,40.00,2258.97,14.19,7.3003
7400,16.67,2258.62,14.05,7.4003
7500,29.17,2258.84,13.99,7.5003
7600,32.14,2258.76,14.01,7.6003
7700,52.63,2258.85,14.03,7.7003
7800,35.00,2258.73,14.02,7.8003
7900,36.00,2259.07,13.99,7.9008
8000,33.33,2258.99,13.90,8.0003
8100,38.10,2259.05,13.91,8.1003
8200,44.00,2258.57,13.96,8.2003
8300,50.00,2259.01,13.92,8.3003
8400,38.89,2258.88,13.92,8.4003
8500,52.17,2258.84,13.95,8.5003
8600,42.11,2258.87,13.90,8.6003
8700,40.00,2258.79,14.00,8.7003
8800,41.67,2258.47,14.01,8.8003
8900,46.43,2258.73,14.00,8.9003
9000,38.10,2258.48,13.97,9.0003
9100,41.18,2258.81,13.90,9.1003
9200,37.04,2258.62,13.86,9.2003
9300,29.63,2259.11,13.85,9.3003
9400,40.74,2258.56,13.87,9.4003
9500,54.55,2259.05,13.97,9.5003
9600,35.71,2259.06,14.00,9.6003
9700,57.14,2258.83,13.97,9.7003
9800,45.83,2258.91,14.00,9.8003
9900,52.94,2259.14,13.96,9.9003
10000,51.85,2258.80,13.98,10.0003
10100,34.62,2258.72,13.97,10.1003
10200,48.00,2258.57,14.05,10.2003
10300,45.83,2258.58,14.01,10.3003
10400,52.94,2258.64,13.95,10.4003
10500,36.00,2258.57,13.90,10.5003
10600,56.25,2258.75,13.85,10.6003
10700,35.71,2259.09,13.79,10.7003
10800,36.36,2258.91,13.81,10.8003
10900,37.50,2258.40,13.75,10.9003
11000,31.82,2259.35,13.69,11.0003
11100,34.62,2258.99,13.64,11.1003
11200,34.62,2259.33,13.62,11.2003
11300,34.78,2258.56,13.58,11.3003
11400,38.10,2258.94,13.58,11.4003
11500,40.91,2258.81,13.59,11.5003
11600,47.83,2258.83,13.64,11.6003
11700,41.94,2258.70,13.69,11.7003
11800,44.44,2258.73,13.64,11.8003
11900,45.45,2258.98,13.66,11.9003
12000,45.83,2258.64,13.68,12.0003
12100,36.00,2258.76,13.67,12.1003
12200,52.63,2258.95,13.70,12.2003
12300,47.62,2258.84,13.67,12.3003
12400,41.67,2258.58,13.69,12.4003
12500,41.67,2258.89,13.68,12.5003
12600,37.50,2258.77,13.66,12.6003
12700,33.33,2258.98,13.63,12.7003
12800,40.00,2259.16,13.57,12.8003
12900,42.86,2259.11,13.56,12.9003
13000,35.00,2259.19,13.58,13.0003
13100,39.13,2258.79,13.56,13.1003
13200,36.36,2258.93,13.64,13.2003
13300,36.36,2258.57,13.64,13.3003
13400,47.83,2258.80,13.70,13.4003
13500,28.57,2258.85,13.69,13.5003
13600,32.00,2258.53,13.69,13.6003
13700,48.00,2258.76,13.75,13.7003
13800,44.00,2258.54,13.80,13.8003
13900,33.33,2258.46,13.79,13.9003
14000,36.36,2258.67,13.81,14.0003
14100,45.45,2258.73,13.81,14.1003
14200,39.29,2258.62,13.80,14.2003
14300,36.00,2258.84,13.75,14.3003
14400,35.00,2258.62,13.73,14.4003
14500,34.62,2258.43,13.68,14.5003
14600,26.09,2258.49,13.64,14.6003
14700,26.67,2258.64,13.58,14.7003
14800,30.77,2258.86,13.59,14.8003
14900,38.10,2258.71,13.58,14.9003
15000,47.83,2258.80,13.62,15.0003
15100,37.04,2259.21,13.65,15.1003
15200,36.84,2258.72,13.64,15.2003
15300,37.50,2258.72,13.65,15.3003
15400,39.13,2258.71,13.62,15.4003
15500,44.44,2258.50,13.61,15.5003
15600,38.10,2259.00,13.62,15.6003
15700,38.46,2259.05,13.61,15.7003
15800,40.00,2258.86,13.57,15.8003
15900,53.33,2258.63,13.55,15.9003
16000,50.00,2258.76,13.58,16.0003
16100,52.94,2258.44,13.58,16.1003
16200,42.86,2259.07,13.59,16.2003
16300,40.91,2258.94,13.61,16.3003
16400,46.15,2258.70,13.63,16.4003
16500,52.00,2258.55,13.68,16.5003
16600,46.15,2258.96,13.72,16.6003
16700,42.11,2258.73,13.72,16.7003
16800,47.83,2258.86,13.76,16.8003
16900,34.78,2258.67,13.78,16.9003
17000,33.33,2258.60,13.77,17.0003
17100,44.44,2258.90,13.79,17.1003
17200,53.85,2258.99,13.75,17.2003
17300,37.50,2258.82,13.79,17.3003
17400,38.10,2258.57,13.80,17.4003
17500,39.13,2258.84,13.82,17.5003
17600,32.14,2258.68,13.83,17.6003
17700,27.59,2258.48,13.83,17.7003
17800,38.10,2258.60,13.84,17.8003
17900,47.37,2258.68,13.83,17.9003
18000,32.00,2258.71,13.82,18.0003
18100,33.33,2258.39,13.81,18.1003
18200,41.67,2258.48,13.81,18.2003
18300,16.13,2258.76,13.75,18.3003
18400,36.00,2258.57,13.71,18.4003
18500,40.00,2258.60,13.71,18.5003
18600,30.00,2258.53,13.69,18.6003
18700,38.46,2258.77,13.69,18.7003
18800,34.62,2258.63,13.70,18.8003
18900,39.13,2258.77,13.68,18.9003
19000,42.31,2258.57,13.68,19.0003
19100,43.48,2258.51,13.69,19.1003
19200,37.50,2259.02,13.69,19.2003
19300,40.74,2258.54,13.71,19.3003
19400,39.13,2258.23,13.74,19.4003
19500,53.33,2258.26,13.72,19.5003
19600,44.44,2258.50,13.69,19.6003
19700,30.43,2258.39,13.67,19.7003
19800,42.31,2258.91,13.64,19.8003
19900,57.58,2258.82,13.60,19.9003
20000,71.43,2259.39,13.56,20.0003
20100,66.67,2247.96,13.54,20.1003
20200,65.00,2239.95,13.54,20.2003
20300,73.91,2242.43,13.53,20.3003
20400,77.78,2246.22,13.48,20.4003
20500,67.74,2235.55,13.49,20.5003
20600,81.82,2235.81,13.50,20.6003
20701,68.18,2236.13,13.49,20.7015
20800,93.33,2236.43,13.53,20.8003
20900,90.48,2238.00,13.53,20.9003
21000,86.67,2238.14,13.52,21.0003
21100,72.73,2237.46,13.50,21.1003
21200,77.14,2238.05,13.48,21.2003
21300,80.95,2237.81,13.46,21.3003
21400,35.48,2237.93,13.49,21.4003
21500,45.00,2236.38,13.49,21.5003
21600,38.46,2236.79,13.50,21.6003
21700,35.71,2236.81,13.52,21.7003
21800,41.67,2236.43,13.54,21.8003
21900,39.13,2236.58,13.54,21.9003
22000,50.00,2240.22,13.54,22.0003
22100,40.00,2236.72,13.59,22.1003
22200,45.83,2236.84,13.61,22.2003
22300,43.48,2236.71,13.63,22.3003
22400,38.89,2236.93,13.60,22.4003
22500,37.50,2237.00,13.57,22.5003
22600,52.63,2236.30,13.58,22.6003
22700,36.00,2236.77,13.58,22.7003
22800,44.44,2236.97,13.58,22.8003
22900,37.04,2236.61,13.60,22.9003
23000,47.06,2236.68,13.58,23.0003
23100,45.00,2236.67,13.57,23.1003
23200,40.91,2236.73,13.57,23.2003
23300,40.91,2236.66,13.56,23.3003
23400,40.00,2236.65,13.55,23.4003
23500,42.11,2237.12,13.53,23.5003
23600,55.00,2236.89,13.54,23.6003
23700,35.71,2236.95,13.54,23.7003
23800,42.11,2236.51,13.53,23.8003
23900,34.62,2236.26,13.53,23.9003
24000,40.74,2236.51,13.53,24.0003
24100,38.46,2236.54,13.54,24.1003
24200,42.11,2236.56,13.54,24.2003
24300,55.56,2236.64,13.54,24.3003
24400,45.45,2236.38,13.57,24.4003
24500,40.00,2236.61,13.58,24.5003
24600,40.00,2228.98,13.61,24.6003
24700,35.71,2229.31,13.60,24.7003
24800,39.29,2229.42,13.61,24.8003
24900,33.33,2229.52,13.61,24.9003
25000,41.67,2229.29,13.60,25.0003
25100,39.29,2229.33,13.62,25.1003
25200,52.38,2229.30,13.64,25.2003
25300,50.00,2229.42,13.65,25.3003
25400,41.67,2229.43,13.67,25.4003
25500,37.04,2229.53,13.71,25.5003
25600,48.00,2229.25,13.72,25.6003
25700,41.67,2229.39,13.73,25.7003
25800,50.00,2229.57,13.75,25.8003
25900,40.00,2229.31,13.75,25.9003
26000,55.56,2229.30,13.76,26.0003
26100,50.00,2229.00,13.82,26.1003
26200,35.71,2229.29,13.84,26.2003
26300,42.86,2229.27,13.84,26.3003
26400,40.00,2229.54,13.82,26.4003
26500,36.36,2229.85,13.82,26.5003
26600,43.33,2230.04,13.80,26.6003
26700,27.03,2230.04,13.75,26.7003
26800,30.77,2230.04,13.69,26.8003
26900,25.00,2230.04,13.64,26.9003
27000,27.03,2230.04,13.59,27.0003
27100,28.95,2230.04,13.54,27.1003
27200,28.21,2230.04,13.49,27.2003
27300,25.00,2230.04,13.44,27.3003
27400,28.95,2230.04,13.39,27.4003
27500,28.95,2229.91,13.35,27.5003
27600,24.32,2229.91,13.30,27.6003
27700,28.21,2229.91,13.25,27.7003
27800,25.00,2229.91,13.20,27.8003
27900,28.21,2229.91,13.15,27.9003
28000,24.32,2229.91,13.11,28.0003
28100,28.95,2229.91,13.06,28.1003
28200,26.32,2229.91,13.01,28.2003
28300,26.32,2229.91,12.97,28.3003
28400,26.32,2229.91,12.92,28.4003
28500,27.03,2229.91,12.88,28.5003
28600,28.21,2229.91,12.83,28.6003
28700,24.32,2229.91,12.79,28.7003
28800,26.32,2229.91,12.74,28.8003
28900,26.32,2229.91,12.70,28.9003
29000,26.32,2229.91,12.66,29.0003
