Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,4.05,2271.01,5.17,0.1015
201,56.00,2267.89,14.52,0.2015
301,43.33,2267.70,25.51,0.3015
401,40.00,2267.78,27.61,0.4015
501,42.86,2267.72,29.88,0.5015
601,46.43,2260.78,31.48,0.6015
701,57.14,2260.48,31.61,0.7015
801,30.00,2260.87,30.31,0.8015
901,40.74,2261.00,30.54,0.9015
1001,35.71,2260.82,30.32,1.0015
1101,48.00,2261.10,29.34,1.1015
1201,48.00,2261.15,28.81,1.2015
1301,45.00,2261.39,27.62,1.3015
1401,41.67,2261.09,26.77,1.4015
1501,44.00,2260.96,26.06,1.5015
1601,35.00,2261.01,25.05,1.6015
1701,50.00,2260.77,24.54,1.7015
1801,60.87,2260.95,23.93,1.8015
1901,57.69,2261.25,23.23,1.9015
2001,38.46,2260.88,22.91,2.0015
2101,50.00,2260.83,22.41,2.1015
2201,31.82,2260.55,21.89,2.2015
2301,41.18,2260.76,21.23,2.3015
2401,33.33,2260.59,20.69,2.4015
2501,21.21,2260.73,20.08,2.5015
2601,36.84,2261.13,19.60,2.6015
2701,29.41,2260.68,19.34,2.7015
2801,35.00,2260.80,19.05,2.8015
2901,45.00,2260.91,18.86,2.9015
3001,53.33,2260.82,18.59,3.0015
3101,38.10,2260.95,18.36,3.1015
3201,37.93,2260.79,18.40,3.2015
3301,32.00,2260.81,18.36,3.3015
3401,33.33,2260.91,18.07,3.4015
3501,44.00,2261.50,17.81,3.5015
3601,50.00,2261.15,17.71,3.6015
3701,43.75,2261.00,17.45,3.7015
3801,34.62,2260.79,17.35,3.8015
3901,32.00,2261.00,17.15,3.9015
4001,32.35,2260.80,17.06,4.0015
4101,27.78,2260.91,16.83,4.1015
4201,46.15,2261.01,17.02,4.2015
4301,45.00,2260.93,16.97,4.3019
4401,40.63,2260.82,17.00,4.4015
4501,38.10,2261.24,16.89,4.5015
4601,36.36,2261.05,16.80,4.6015
4701,37.93,2260.88,16.68,4.7015
4801,42.31,2261.07,16.55,4.8015
4901,46.15,2260.84,16.33,4.9015
5001,38.46,2261.02,16.35,5.0015
5101,40.00,2261.41,16.28,5.1015
5201,34.78,2261.09,16.17,5.2015
5301,37.50,2260.96,16.09,5.3015
5401,38.10,2261.10,16.10,5.4015
5501,44.44,2261.22,15.95,5.5015
5601,50.00,2260.95,15.93,5.6015
5701,40.00,2260.92,15.88,5.7015
5801,45.83,2260.97,15.99,5.8015
5901,36.36,2261.20,15.89,5.9015
6001,43.75,2261.16,15.77,6.0015
6101,28.57,2261.28,15.69,6.1015
6201,42.86,2261.33,15.56,6.2015
6301,30.43,2261.13,15.58,6.3015
6401,52.63,2261.30,15.55,6.4015
6501,37.50,2260.91,15.68,6.5015
6601,37.04,2260.85,15.75,6.6015
6701,52.63,2261.41,15.67,6.7015
6801,40.74,2260.98,15.68,6.8015
6901,40.00,2260.96,15.67,6.9015
7001,40.91,2261.10,15.64,7.0015
7101,36.00,2261.06,15.67,7.1015
7201,40.74,2260.75,15.71,7.2015
7301,55.56,2260.90,15.58,7.3015
7401,40.00,2260.99,15.58,7.4015
7501,40.91,2260.99,15.56,7.5015
7601,40.00,2261.25,15.52,7.6015
7701,35.71,2261.18,15.48,7.7015
7801,39.13,2261.12,15.46,7.8015
7901,45.45,2261.10,15.42,7.9015
8001,25.00,2260.99,15.33,8.0015
8101,27.59,2261.11,15.28,8.1015
8201,36.00,2260.90,15.23,8.2015
8301,31.58,2260.96,15.18,8.3015
8401,50.00,2261.23,15.15,8.4015
8501,53.85,2261.34,15.04,8.5018
8601,38.46,2261.14,14.97,8.6015
8701,39.13,2260.69,15.06,8.7015
8801,42.31,2261.33,15.05,8.8015
8901,43.75,2261.03,15.03,8.9015
9001,25.81,2260.83,14.98,9.0015
9101,45.45,2261.22,14.94,9.1015
9201,26.67,2261.06,14.88,9.2015
9301,34.48,2261.47,14.94,9.3015
9401,64.71,2261.73,14.92,9.4015
9501,60.00,2262.02,14.93,9.5015
9601,37.50,2262.01,14.91,9.6015
9701,55.00,2262.23,14.86,9.7015
9801,52.94,2262.11,14.85,9.8015
9901,56.52,2260.92,14.85,9.9015
10001,44.44,2261.34,14.91,10.0015
10101,36.36,2260.95,14.84,10.1015
10201,45.45,2261.07,14.84,10.2015
10301,64.71,2260.78,14.79,10.3017
10401,36.36,2260.76,14.74,10.4015
10501,26.92,2261.04,14.70,10.5019
10601,34.48,2260.55,14.63,10.6015
10701,35.00,2260.62,14.62,10.7015
10801,40.91,2260.59,14.61,10.8015
10901,40.00,2260.74,14.60,10.9015
11001,38.46,2260.64,14.61,11.0015
11101,37.04,2261.04,14.61,11.1018
11201,36.67,2261.04,14.67,11.2015
11301,50.00,2260.82,14.62,11.3015
11401,42.86,2260.94,14.58,11.4015
11501,27.27,2261.07,14.51,11.5015
11601,44.44,2260.55,14.45,11.6019
11701,42.31,2261.00,14.43,11.7015
11801,37.50,2261.39,14.37,11.8015
11901,34.78,2261.44,14.34,11.9015
12001,44.44,2261.07,14.32,12.0015
12101,52.00,2261.23,14.36,12.1015
12201,37.04,2260.90,14.37,12.2015
12301,50.00,2260.61,14.33,12.3015
12401,42.86,2260.93,14.29,12.4015
12501,25.93,2260.88,14.27,12.5015
12601,38.46,2261.12,14.27,12.6015
12701,47.83,2260.76,14.29,12.7015
12801,36.84,2260.70,14.24,12.8015
12901,41.67,2260.56,14.24,12.9015
13001,39.13,2260.89,14.22,13.0015
13101,31.82,2260.91,14.22,13.1015
13201,34.62,2260.71,14.21,13.2015
13301,26.09,2261.17,14.17,13.3015
13401,45.00,2261.01,14.12,13.4015
13501,40.00,2261.01,14.11,13.5015
13601,33.33,2260.56,14.13,13.6015
13701,42.11,2260.79,14.18,13.7015
13801,40.91,2261.52,14.19,13.8015
13901,50.00,2261.31,14.20,13.9015
14001,34.62,2261.05,14.17,14.0015
14101,47.37,2261.12,14.18,14.1015
14201,47.62,2260.86,14.20,14.2015
14301,42.86,2261.04,14.19,14.3015
14401,36.00,2261.00,14.22,14.4015
14501,40.00,2261.06,14.24,14.5015
14601,47.06,2261.10,14.20,14.6015
14701,40.91,2260.74,14.22,14.7015
14801,31.25,2260.94,14.21,14.8015
14901,45.45,2260.81,14.19,14.9015
15001,34.62,2260.99,14.20,15.0015
15108,45.83,2260.77,14.17,15.1089
15201,37.50,2260.82,14.14,15.2015
15301,34.48,2260.54,14.11,15.3015
15401,44.44,2260.92,14.07,15.4015
15501,39.13,2260.82,14.02,15.5015
15601,46.15,2260.45,14.03,15.6015
15701,35.71,2260.78,14.03,15.7015
15801,36.36,2260.74,13.98,15.8015
15901,45.45,2260.58,13.96,15.9015
16001,43.48,2260.53,13.95,16.0015
16101,50.00,2260.98,13.99,16.1015
16201,44.00,2260.90,14.00,16.2015
16301,41.67,2260.76,14.01,16.3015
16401,34.78,2261.19,13.98,16.4015
16501,40.91,2260.84,13.97,16.5015
16601,25.00,2260.36,13.93,16.6015
16701,33.33,2260.68,13.90,16.7015
16801,38.10,2260.71,13.90,16.8015
16901,56.25,2260.96,13.88,16.9015
17002,33.33,2260.73,13.86,17.0026
17101,39.13,2260.84,13.87,17.1015
17201,44.83,2260.46,13.91,17.2015
17301,48.00,2260.66,13.98,17.3015
17401,41.67,2260.82,13.96,17.4015
17501,39.13,2260.42,13.96,17.5015
17601,42.31,2260.68,14.00,17.6015
17701,44.00,2260.66,14.04,17.7015
17801,47.83,2260.56,14.07,17.8015
17901,38.10,2260.80,14.07,17.9015
18001,40.74,2260.79,14.10,18.0015
18101,42.86,2261.21,14.11,18.1015
18201,45.45,2260.90,14.13,18.2015
18301,37.50,2260.80,14.14,18.3015
18401,47.83,2261.00,14.15,18.4015
18501,36.36,2260.46,14.17,18.5015
18601,31.82,2260.84,14.17,18.6015
18701,42.42,2260.76,14.24,18.7015
18801,56.25,2260.82,14.21,18.8015
18901,50.00,2260.85,14.20,18.9015
19001,44.44,2261.00,14.19,19.0015
19101,47.62,2260.80,14.22,19.1015
19201,51.85,2260.93,14.24,19.2015
19301,44.44,2260.43,14.19,19.3015
19401,73.68,2260.82,14.15,19.4015
19501,31.25,2260.75,14.10,19.5015
19601,36.00,2257.05,14.09,19.6015
19701,42.86,2256.99,14.08,19.7015
19801,28.00,2257.06,14.06,19.8015
19901,40.00,2256.93,14.04,19.9015
20001,54.17,2256.68,14.00,20.0015
20101,52.17,2256.91,13.99,20.1015
20201,33.33,2256.60,13.99,20.2015
20301,42.11,2256.72,13.99,20.3015
20401,43.75,2256.74,13.97,20.4015
20501,40.00,2256.75,13.97,20.5015
20601,46.15,2256.96,13.94,20.6015
20701,42.86,2256.81,13.98,20.7015
20801,47.37,2257.09,13.99,20.8015
20901,44.44,2257.09,13.98,20.9015
21001,40.74,2257.14,14.03,21.0015
21101,32.14,2257.53,14.04,21.1015
21201,46.15,2257.57,14.03,21.2015
21301,48.00,2256.52,14.04,21.3015
21401,40.00,2256.96,14.03,21.4015
21501,36.00,2257.07,14.04,21.5015
21601,41.67,2256.73,14.05,21.6015
21701,38.46,2256.82,14.07,21.7015
21801,37.93,2256.73,14.09,21.8015
21901,45.45,2256.99,14.09,21.9015
22001,33.33,2256.77,14.09,22.0015
22101,38.89,2256.68,14.09,22.1015
22201,37.50,2256.64,14.08,22.2015
22301,40.00,2256.98,14.06,22.3015
22401,40.91,2256.91,14.05,22.4015
22501,45.45,2257.10,14.05,22.5015
22601,40.00,2257.10,14.04,22.6015
22701,42.31,2256.82,14.06,22.7015
22801,41.18,2256.70,14.05,22.8015
22901,38.46,2256.71,14.07,22.9015
23004,37.50,2256.59,14.06,23.0048
23101,39.13,2256.48,14.05,23.1015
23201,34.37,2256.57,14.05,23.2015
23301,39.13,2256.78,14.06,23.3015
23401,28.57,2256.93,14.03,23.4015
23501,36.84,2256.72,14.01,23.5015
23601,41.67,2256.96,13.99,23.6015
23701,40.00,2256.97,13.98,23.7015
23801,42.86,2257.02,13.97,23.8015
23901,40.00,2256.82,14.00,23.9015
24001,33.33,2256.78,13.99,24.0015
24101,36.00,2256.86,13.97,24.1015
24201,43.48,2257.48,13.95,24.2015
24301,39.29,2256.98,13.95,24.3015
24401,40.74,2256.98,13.94,24.4015
24501,41.67,2256.63,13.95,24.5015
24601,33.33,2256.96,13.94,24.6015
24701,38.10,2256.92,13.94,24.7015
24801,44.00,2256.62,13.97,24.8015
24901,39.13,2256.71,13.97,24.9015
25001,35.00,2256.52,13.96,25.0015
25101,37.04,2257.04,13.97,25.1015
25201,45.00,2256.93,13.98,25.2015
25301,47.06,2256.90,13.96,25.3015
25401,36.00,2256.89,13.97,25.4015
25501,47.62,2256.91,13.96,25.5015
25601,42.86,2256.68,13.95,25.6015
25701,40.00,2256.95,13.96,25.7015
25801,33.33,2256.95,13.98,25.8015
25901,33.33,2256.91,13.99,25.9015
26001,52.38,2256.92,13.99,26.0015
26101,28.57,2256.50,13.99,26.1015
26201,40.74,2256.71,13.99,26.2015
26301,61.90,2257.38,13.95,26.3015
26401,30.00,2257.38,13.90,26.4015
26501,24.32,2257.38,13.85,26.5015
26601,32.35,2257.38,13.80,26.6015
26701,28.57,2257.38,13.74,26.7015
26801,27.03,2257.38,13.69,26.8015
26901,26.32,2257.38,13.64,26.9015
27001,30.00,2257.38,13.59,27.0015
27101,26.32,2257.38,13.54,27.1015
27201,30.56,2257.38,13.49,27.2015
27301,29.03,2257.38,13.44,27.3015
27401,28.95,2257.38,13.39,27.4015
27501,25.00,2257.38,13.34,27.5015
27601,30.00,2257.38,13.30,27.6015
27701,24.32,2257.38,13.25,27.7015
27801,28.21,2257.38,13.20,27.8015
27901,28.00,2257.38,13.15,27.9015
28001,27.50,2257.38,13.11,28.0015
28101,25.64,2257.38,13.06,28.1015
28201,25.71,2257.38,13.01,28.2015
28301,28.21,2257.38,12.97,28.3015
28401,27.03,2257.38,12.92,28.4015
28501,26.32,2257.38,12.88,28.5015
28601,27.50,2257.38,12.83,28.6015
28701,25.00,2257.38,12.79,28.7015
28801,28.21,2257.38,12.74,28.8015
28901,26.32,2257.38,12.70,28.9015
