Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,4.09,2264.91,9.77,0.1007
200,40.74,2262.36,25.23,0.2007
300,34.38,2262.19,23.98,0.3007
400,33.33,2261.83,23.28,0.4007
501,30.30,2261.70,22.57,0.5012
600,28.00,2261.88,21.25,0.6007
700,37.50,2261.77,20.63,0.7007
800,39.29,2262.02,21.93,0.8007
900,40.74,2261.81,23.38,0.9007
1000,40.00,2261.82,23.76,1.0007
1100,33.33,2261.83,23.66,1.1007
1200,42.31,2261.83,24.23,1.2007
1300,82.61,2261.93,23.83,1.3007
1400,43.48,2261.86,23.21,1.4007
1500,35.71,2262.02,22.84,1.5007
1600,30.77,2262.05,22.64,1.6007
1700,41.67,2261.92,22.00,1.7007
1800,40.00,2261.96,22.16,1.8007
1900,78.26,2261.81,21.65,1.9007
2000,58.82,2261.70,21.05,2.0007
2100,58.82,2261.70,20.46,2.1007
2200,30.77,2261.76,20.03,2.2007
2300,35.00,2261.59,19.54,2.3007
2400,40.00,2261.91,19.13,2.4007
2500,24.00,2261.59,18.49,2.5007
2600,27.59,2261.86,18.24,2.6007
2700,26.67,2261.71,17.86,2.7007
2800,39.13,2261.61,17.53,2.8007
2900,35.00,2261.66,17.30,2.9007
3000,32.00,2262.24,17.23,3.0007
3100,45.83,2261.88,17.16,3.1007
3200,31.03,2261.62,17.02,3.2007
3300,45.83,2261.68,17.19,3.3007
3400,40.91,2261.77,17.04,3.4007
3500,37.50,2261.81,17.09,3.5007
3600,40.00,2262.06,17.07,3.6007
3700,42.11,2262.37,16.89,3.7007
3800,41.67,2261.88,16.89,3.8007
3900,41.67,2261.73,16.89,3.9007
4000,40.74,2261.85,16.79,4.0007
4100,39.13,2261.87,16.73,4.1007
4200,37.50,2261.92,16.68,4.2007
4300,26.09,2261.88,16.43,4.3007
4400,40.00,2261.82,16.35,4.4007
4500,33.33,2261.60,16.21,4.5007
4600,48.00,2261.78,16.15,4.6007
4700,53.33,2261.64,15.98,4.7007
4800,37.04,2261.98,15.88,4.8007
4900,55.00,2261.82,15.73,4.9007
5000,48.15,2262.00,15.63,5.0007
5100,60.00,2262.54,15.43,5.1007
5200,27.27,2263.56,15.35,5.2007
5300,32.00,2263.71,15.25,5.3007
5400,29.63,2263.66,15.21,5.4007
5500,29.03,2263.95,15.05,5.5007
5600,40.00,2264.03,15.00,5.6007
5700,44.44,2263.73,14.95,5.7007
5800,29.17,2264.10,14.82,5.8007
5900,40.91,2261.86,14.75,5.9007
6000,41.67,2261.88,14.75,6.0007
6100,38.46,2262.50,14.61,6.1007
6200,57.89,2262.16,14.56,6.2007
6300,43.48,2261.89,14.64,6.3007
6400,42.86,2261.78,14.69,6.4007
6500,33.33,2261.76,14.68,6.5007
6600,41.67,2261.79,14.63,6.6007
6700,22.58,2261.91,14.46,6.7007
6800,72.22,2261.73,14.43,6.8007
6900,34.62,2262.23,14.34,6.9007
7000,37.04,2261.97,14.34,7.0007
7100,47.06,2261.84,14.28,7.1007
7200,37.50,2261.57,14.26,7.2007
7300,44.00,2261.55,14.27,7.3007
7400,33.33,2261.97,14.22,7.4007
7500,27.59,2262.04,14.18,7.5007
7600,38.46,2261.75,14.20,7.6007
7700,27.59,2261.85,14.11,7.7007
7800,29.63,2262.11,14.08,7.8007
7900,23.08,2262.02,14.02,7.9007
8000,40.00,2261.99,14.00,8.0007
8100,34.62,2261.62,13.98,8.1007
8200,43.48,2261.84,14.04,8.2007
8300,42.86,2261.81,14.07,8.3007
8400,37.50,2261.43,14.08,8.4007
8500,16.67,2261.93,13.96,8.5007
8600,28.00,2261.92,13.85,8.6007
8700,37.04,2261.66,13.81,8.7007
8800,40.00,2261.72,13.78,8.8007
8900,36.36,2261.67,13.75,8.9007
9000,37.50,2261.87,13.71,9.0007
9100,45.00,2261.65,13.64,9.1007
9200,47.06,2261.67,13.55,9.2007
9300,27.59,2262.10,13.52,9.3007
9400,34.78,2261.72,13.52,9.4007
9500,29.03,2262.22,13.47,9.5007
9600,44.44,2261.88,13.45,9.6007
9700,35.71,2261.90,13.42,9.7007
9800,37.04,2261.77,13.36,9.8007
9900,30.77,2261.98,13.32,9.9007
10000,45.45,2261.79,13.28,10.0007
10100,31.82,2261.81,13.27,10.1007
10200,37.50,2261.68,13.25,10.2007
10300,20.00,2261.98,13.17,10.3007
10400,38.10,2261.84,13.16,10.4007
10500,50.00,2262.02,13.19,10.5007
10600,40.00,2261.62,13.17,10.6007
10700,42.86,2261.49,13.19,10.7007
10800,45.00,2261.94,13.25,10.8007
10900,36.00,2261.27,13.28,10.9007
11000,52.63,2261.76,13.29,11.0007
11100,45.83,2261.47,13.37,11.1007
11200,52.38,2261.56,13.42,11.2007
11300,42.11,2262.11,13.42,11.3007
11400,40.00,2261.68,13.40,11.4007
11500,36.00,2261.64,13.41,11.5007
11600,55.00,2262.03,13.38,11.6007
11700,36.36,2261.93,13.38,11.7007
11800,29.17,2261.74,13.38,11.8007
11900,40.62,2261.85,13.39,11.9007
12000,36.00,2262.04,13.36,12.0007
12100,36.36,2262.01,13.35,12.1007
12200,40.91,2261.89,13.35,12.2007
12300,45.45,2261.95,13.34,12.3007
12400,45.45,2262.39,13.30,12.4007
12500,42.11,2262.02,13.30,12.5007
12600,31.03,2261.97,13.28,12.6007
12700,33.33,2261.67,13.26,12.7007
12800,42.11,2261.97,13.19,12.8007
12900,33.33,2261.75,13.16,12.9007
13000,24.14,2261.50,13.11,13.0007
13100,35.48,2261.74,13.13,13.1007
13200,44.44,2261.57,13.14,13.2007
13300,37.50,2261.66,13.11,13.3007
13400,40.00,2261.84,13.11,13.4007
13500,40.00,2262.33,13.10,13.5007
13600,40.00,2261.64,13.10,13.6007
13700,32.14,2261.85,13.11,13.7007
13800,30.43,2261.78,13.07,13.8007
13900,18.75,2255.32,13.02,13.9007
14000,37.50,2255.32,12.97,14.0009
14100,28.00,2255.53,12.95,14.1007
14200,29.63,2255.35,12.92,14.2007
14300,42.11,2255.41,12.90,14.3007
14400,37.50,2255.78,12.90,14.4007
14500,36.84,2255.66,12.89,14.5007
14600,38.10,2255.51,12.83,14.6007
14700,42.11,2255.16,12.82,14.7007
14800,52.94,2255.48,12.81,14.8007
14900,33.33,2255.61,12.77,14.9007
15000,55.56,2255.72,12.81,15.0007
15100,30.77,2255.39,12.80,15.1007
15200,47.37,2255.44,12.79,15.2007
15300,48.00,2255.22,12.84,15.3007
15400,50.00,2255.64,12.81,15.4007
15500,47.83,2255.58,12.85,15.5007
15600,45.83,2255.67,12.84,15.6007
15700,21.87,2255.85,12.81,15.7007
15800,39.29,2255.34,12.81,15.8007
15900,38.89,2255.51,12.81,15.9007
16000,29.41,2255.47,12.78,16.0007
16100,44.44,2255.40,12.78,16.1007
16200,34.62,2255.32,12.76,16.2007
16300,33.33,2255.29,12.74,16.3007
16400,40.00,2255.45,12.70,16.4007
16500,42.86,2255.20,12.67,16.5007
16600,43.48,2255.16,12.62,16.6007
16700,33.33,2255.25,12.58,16.7007
16800,35.29,2255.30,12.55,16.8007
16900,47.62,2255.14,12.55,16.9007
17000,42.11,2255.11,12.53,17.0007
17100,37.04,2255.59,12.58,17.1007
17200,40.91,2255.68,12.56,17.2007
17300,20.00,2256.01,12.52,17.3007
17400,29.03,2255.66,12.47,17.4007
17500,30.43,2255.67,12.45,17.5007
17600,48.00,2256.64,12.45,17.6007
17700,41.18,2255.71,12.43,17.7007
17800,42.11,2255.37,12.43,17.8007
17900,36.00,2255.20,12.44,17.9007
18000,42.31,2255.68,12.45,18.0007
18100,22.58,2255.41,12.42,18.1007
18200,32.00,2255.90,12.40,18.2007
18300,33.33,2255.73,12.39,18.3007
18400,34.62,2255.76,12.38,18.4007
18500,46.15,2255.46,12.42,18.5007
18604,34.62,2255.36,12.41,18.6043
18700,41.18,2255.11,12.38,18.7007
18800,79.17,2255.41,12.38,18.8007
18900,100.00,2255.66,12.40,18.9007
19000,40.00,2255.66,12.42,19.0007
19100,39.13,2255.73,12.46,19.1007
19200,37.50,2255.90,12.47,19.2007
19300,52.63,2255.19,12.47,19.3007
19400,69.23,2255.34,12.50,19.4007
19500,52.00,2255.21,12.49,19.5007
19600,45.83,2254.99,12.50,19.6007
19700,36.00,2255.90,12.51,19.7007
19800,41.18,2255.96,12.50,19.8007
19900,29.63,2255.57,12.49,19.9007
20000,48.00,2255.68,12.46,20.0007
20100,36.36,2255.60,12.44,20.1007
20200,33.33,2255.62,12.44,20.2007
20300,38.71,2255.41,12.45,20.3007
20400,40.74,2255.24,12.51,20.4007
20500,38.89,2255.25,12.48,20.5007
20600,38.10,2255.18,12.44,20.6007
20700,55.56,2255.30,12.45,20.7007
20800,40.91,2255.30,12.42,20.8007
20900,38.10,2255.43,12.40,20.9007
21000,30.43,2255.52,12.39,21.0007
21100,31.82,2255.55,12.40,21.1007
21200,25.93,2255.68,12.38,21.2007
21300,45.83,2255.90,12.37,21.3007
21400,42.11,2255.60,12.37,21.4007
21500,47.06,2255.79,12.38,21.5007
21600,40.91,2255.79,12.40,21.6007
21700,50.00,2255.55,12.44,21.7007
21800,36.00,2255.93,12.44,21.8007
21900,43.75,2255.88,12.41,21.9007
22000,32.00,2255.94,12.42,22.0007
22100,34.78,2255.94,12.43,22.1007
22200,47.06,2256.03,12.41,22.2007
22300,38.46,2255.93,12.44,22.3007
22400,25.00,2255.38,12.42,22.4007
22500,40.00,2255.52,12.42,22.5007
22600,48.00,2255.52,12.47,22.6007
22700,41.67,2255.29,12.47,22.7007
22800,40.00,2255.70,12.52,22.8007
22900,33.33,2255.65,12.52,22.9007
23000,33.33,2255.48,12.51,23.0007
23100,36.00,2255.38,12.52,23.1007
23200,34.48,2255.44,12.51,23.2007
23300,44.44,2255.70,12.53,23.3007
23400,45.45,2255.62,12.53,23.4007
23500,40.74,2255.34,12.54,23.5007
23600,31.58,2255.65,12.53,23.6007
23700,52.63,2255.36,12.50,23.7007
23800,43.48,2256.07,12.51,23.8007
23900,40.00,2255.76,12.50,23.9007
24000,34.62,2255.25,12.50,24.0007
24100,34.78,2255.26,12.52,24.1007
24200,37.93,2255.57,12.53,24.2007
24300,30.77,2255.53,12.53,24.3007
24400,39.29,2255.41,12.56,24.4007
24500,38.71,2255.41,12.58,24.5007
24600,36.00,2255.64,12.56,24.6007
24700,40.91,2255.52,12.54,24.7007
24800,40.74,2255.51,12.56,24.8007
24900,45.00,2255.34,12.56,24.9007
25000,36.00,2255.29,12.56,25.0007
25100,42.86,2255.45,12.56,25.1007
25200,50.00,2255.62,12.54,25.2007
25300,38.89,2255.48,12.54,25.3007
25400,34.78,2255.53,12.54,25.4007
25500,36.36,2255.72,12.53,25.5007
25600,50.00,2255.72,12.51,25.6007
25700,40.00,2255.82,12.50,25.7007
25800,30.77,2255.49,12.49,25.8007
25900,44.00,2255.66,12.51,25.9007
26000,34.78,2255.35,12.51,26.0007
26100,38.46,2255.29,12.51,26.1007
26200,38.10,2255.39,12.51,26.2007
26300,35.00,2255.33,12.49,26.3007
26400,38.46,2255.25,12.53,26.4007
26500,39.13,2255.24,12.54,26.5007
26600,39.13,2255.12,12.56,26.6007
26700,40.00,2255.72,12.55,26.7007
26800,43.48,2255.54,12.57,26.8007
26900,42.31,2255.71,12.61,26.9007
27000,45.45,2255.25,12.62,27.0007
27100,36.00,2255.37,12.65,27.1007
27200,63.64,2255.35,12.65,27.2007
27300,50.00,2255.37,12.64,27.3007
27400,39.13,2255.30,12.63,27.4007
27500,40.91,2255.22,12.64,27.5007
27600,37.04,2255.20,12.69,27.6007
27700,41.67,2255.65,12.70,27.7007
27800,29.03,2255.64,12.68,27.8007
27900,45.45,2255.81,12.69,27.9007
28000,41.67,2256.12,12.70,28.0007
28100,37.50,2255.86,12.73,28.1007
28200,41.67,2255.58,12.74,28.2007
28300,43.48,2255.25,12.75,28.3007
28400,42.11,2255.42,12.74,28.4007
28500,33.33,2255.93,12.73,28.5007
28600,43.48,2255.70,12.73,28.6007
28700,36.00,2255.20,12.72,28.7007
28806,33.33,2255.16,12.71,28.8063
28900,37.04,2255.34,12.70,28.9007
29000,47.06,2255.34,12.65,29.0007
29100,55.56,2255.34,12.61,29.1007
29200,25.00,2255.34,12.57,29.2007
29300,30.77,2255.34,12.53,29.3007
29400,27.03,2255.34,12.48,29.4007
29500,24.32,2255.34,12.44,29.5007
29600,30.77,2255.34,12.40,29.6007
29700,32.14,2255.34,12.36,29.7007
29800,28.95,2255.44,12.32,29.8007
29900,25.00,2255.44,12.27,29.9007
30000,28.95,2255.44,12.23,30.0007
30100,26.32,2255.44,12.19,30.1007
30200,26.32,2255.44,12.15,30.2007
30300,32.14,2255.44,12.11,30.3007
30400,26.32,2255.44,12.07,30.4007
30500,26.32,2255.44,12.03,30.5010
30600,28.21,2255.44,11.99,30.6007
30700,25.00,2255.68,11.95,30.7007
30800,28.21,2255.68,11.92,30.8007
30900,25.00,2255.68,11.88,30.9007
31000,29.27,2255.68,11.84,31.0007
31100,22.86,2255.68,11.80,31.1007
31200,28.21,2255.68,11.76,31.2007
31300,27.50,2255.68,11.73,31.3007
31400,25.00,2255.68,11.69,31.4007
