Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
113,3.92,2257.83,6.64,0.1134
213,44.00,2255.70,23.36,0.2134
313,40.74,2255.68,28.40,0.3134
413,42.31,2255.49,29.66,0.4134
513,46.43,2255.70,31.37,0.5134
613,46.15,2255.46,31.45,0.6134
713,44.00,2255.64,30.65,0.7134
813,40.91,2256.05,29.79,0.8134
913,33.33,2255.50,29.20,0.9134
1013,74.19,2255.82,28.01,1.0134
1113,36.67,2255.62,26.70,1.1134
1213,28.00,2255.80,25.19,1.2134
1313,26.92,2255.60,24.03,1.3134
1413,21.43,2255.71,22.93,1.4134
1513,33.33,2255.43,22.03,1.5134
1613,63.64,2255.41,21.22,1.6134
1713,73.91,2256.08,20.67,1.7134
1813,47.62,2255.49,20.51,1.8134
1913,40.00,2255.61,20.01,1.9134
2013,40.00,2255.53,19.61,2.0134
2113,47.37,2255.75,19.36,2.1134
2213,41.18,2255.50,18.92,2.2134
2313,50.00,2255.71,18.71,2.3134
2413,29.17,2255.78,18.47,2.4134
2513,39.29,2255.86,18.39,2.5134
2613,45.45,2255.97,18.11,2.6134
2713,34.62,2256.07,18.02,2.7134
2813,47.06,2256.28,17.73,2.8134
2913,42.31,2255.46,17.97,2.9134
3013,33.33,2255.70,17.86,3.0134
3113,42.86,2255.84,18.03,3.1134
3213,34.62,2255.75,17.98,3.2134
3313,37.93,2255.79,18.00,3.3134
3413,52.17,2255.84,17.89,3.4134
3513,37.50,2255.85,17.77,3.5134
3613,30.43,2256.05,17.52,3.6134
3713,30.00,2255.88,17.30,3.7134
3813,36.00,2255.92,17.19,3.8134
3913,55.00,2255.50,17.05,3.9134
4013,36.36,2255.78,16.86,4.0134
4113,35.29,2255.59,16.64,4.1134
4213,48.00,2256.01,16.72,4.2134
4313,45.83,2255.47,16.74,4.3134
4413,37.93,2255.80,16.67,4.4134
4513,31.03,2255.58,16.45,4.5134
4613,43.75,2256.08,16.19,4.6134
4713,29.41,2255.91,16.07,4.7134
4813,37.50,2255.30,15.99,4.8134
4913,35.71,2255.72,15.93,4.9134
5013,45.45,2255.78,15.86,5.0134
5113,31.25,2255.77,15.60,5.1134
5213,57.14,2255.83,15.53,5.2134
5313,35.71,2255.71,15.54,5.3134
5413,40.00,2255.50,15.55,5.4134
5513,47.37,2255.73,15.53,5.5134
5613,55.00,2255.90,15.42,5.6134
5713,48.00,2255.52,15.47,5.7134
5813,50.00,2256.12,15.50,5.8134
5913,47.06,2255.57,15.37,5.9134
6013,40.00,2255.76,15.38,6.0134
6113,42.86,2255.94,15.34,6.1134
6213,42.11,2255.90,15.28,6.2134
6313,39.29,2256.06,15.25,6.3134
6413,37.93,2256.02,15.31,6.4134
6513,45.45,2255.91,15.32,6.5134
6613,45.00,2255.74,15.35,6.6134
6713,47.37,2255.61,15.34,6.7134
6813,41.67,2255.68,15.40,6.8134
6913,41.67,2255.86,15.43,6.9134
7013,50.00,2255.64,15.55,7.0134
7113,39.13,2255.61,15.57,7.1134
7213,46.43,2255.59,15.67,7.2134
7313,30.43,2255.33,15.62,7.3134
7413,42.31,2255.58,15.70,7.4134
7513,28.00,2255.58,15.62,7.5134
7613,45.45,2255.48,15.57,7.6134
7713,33.33,2256.05,15.47,7.7134
7813,43.48,2256.07,15.42,7.8134
7913,39.29,2255.72,15.41,7.9134
8013,40.00,2255.89,15.38,8.0134
8113,31.25,2256.11,15.29,8.1134
8213,43.48,2255.98,15.31,8.2134
8313,45.00,2256.04,15.30,8.3134
8413,37.50,2255.68,15.29,8.4134
8513,33.33,2255.64,15.21,8.5134
8613,34.62,2255.86,15.17,8.6134
8718,24.14,2255.61,15.06,8.7185
8813,58.33,2255.98,14.97,8.8134
8913,52.94,2256.36,14.88,8.9134
9013,43.48,2255.80,14.88,9.0134
9113,33.33,2255.40,14.87,9.1134
9213,40.74,2255.99,14.84,9.2134
9313,40.00,2255.42,14.84,9.3134
9413,45.45,2256.00,14.82,9.4134
9513,37.50,2255.59,14.75,9.5134
9613,52.94,2255.72,14.70,9.6134
9713,45.83,2255.93,14.70,9.7134
9813,38.10,2255.81,14.66,9.8134
9913,40.91,2255.81,14.70,9.9134
10013,43.48,2255.68,14.72,10.0134
10113,61.90,2256.01,14.68,10.1134
10213,45.83,2255.48,14.68,10.2134
10313,40.91,2255.62,14.69,10.3134
10413,46.67,2255.99,14.76,10.4134
10513,41.67,2255.73,14.75,10.5134
10613,41.67,2255.80,14.78,10.6134
10713,46.15,2255.61,14.80,10.7134
10813,45.83,2255.61,14.79,10.8134
10913,40.00,2255.56,14.80,10.9134
11013,36.36,2255.75,14.76,11.0134
11113,50.00,2255.77,14.85,11.1134
11213,37.04,2255.29,14.81,11.2134
