Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,3.78,2265.47,10.90,0.1019
201,37.93,2265.75,27.41,0.2019
301,46.15,2265.66,30.40,0.3019
401,48.00,2265.47,28.90,0.4019
501,36.67,2265.58,28.26,0.5019
601,25.00,2265.56,25.78,0.6019
701,25.00,2265.59,24.72,0.7019
801,30.00,2265.74,23.95,0.8019
901,37.04,2265.62,23.06,0.9019
1001,75.00,2259.53,22.58,1.0019
1101,48.48,2259.96,21.61,1.1019
1201,26.09,2259.46,20.29,1.2019
1301,37.04,2259.39,19.69,1.3019
1401,30.77,2259.22,18.90,1.4019
1501,28.57,2259.31,18.13,1.5019
1601,66.67,2259.36,17.74,1.6019
1701,85.71,2259.36,17.10,1.7019
1801,45.45,2259.30,16.82,1.8019
1901,33.33,2259.32,16.87,1.9019
2001,52.94,2259.48,16.91,2.0019
2101,46.43,2258.91,16.81,2.1019
2201,38.10,2259.45,16.58,2.2019
2301,52.94,2259.50,16.17,2.3019
2401,36.36,2259.25,16.09,2.4019
2501,15.15,2259.52,15.67,2.5019
2601,45.83,2259.27,15.62,2.6019
2701,46.67,2259.51,15.46,2.7019
2801,42.86,2259.61,15.29,2.8019
2901,29.17,2259.50,15.28,2.9019
3003,39.13,2259.45,15.05,3.0043
3101,40.91,2259.24,15.13,3.1019
3201,32.26,2259.23,15.00,3.2019
3301,33.33,2259.32,14.83,3.3019
3401,28.57,2259.00,14.65,3.4019
3501,33.33,2259.29,14.74,3.5019
3601,37.93,2259.25,14.78,3.6019
3701,31.03,2258.89,14.75,3.7019
3801,36.00,2259.18,14.76,3.8019
3901,37.50,2259.18,14.85,3.9019
4001,47.62,2259.42,14.77,4.0019
4101,35.00,2259.48,14.56,4.1019
4201,38.89,2259.25,14.50,4.2019
4301,38.10,2259.30,14.41,4.3019
4401,32.00,2259.45,14.36,4.4019
4501,47.37,2259.51,14.27,4.5019
4601,34.78,2259.73,14.14,4.6019
4701,39.13,2259.24,14.08,4.7019
4801,54.55,2259.69,14.08,4.8019
4901,36.00,2259.33,13.99,4.9019
5001,54.55,2259.33,13.81,5.0019
5101,37.50,2259.41,13.67,5.1019
5201,33.33,2259.57,13.54,5.2019
5301,43.33,2259.41,13.53,5.3019
5401,35.48,2259.23,13.54,5.4019
5501,39.13,2259.42,13.47,5.5019
5601,30.77,2259.24,13.43,5.6019
5701,34.78,2259.28,13.33,5.7019
5801,47.06,2259.36,13.21,5.8019
5901,53.33,2259.47,13.08,5.9019
6001,26.92,2259.32,13.00,6.0019
6101,8.11,2259.54,12.81,6.1019
6201,32.14,2259.34,12.73,6.2019
6301,40.91,2259.61,12.77,6.3019
6401,41.94,2259.33,12.90,6.4019
6501,37.50,2259.32,12.94,6.5019
6601,40.91,2259.31,12.92,6.6019
6701,36.36,2259.10,12.88,6.7019
6806,47.62,2259.48,12.93,6.8069
6901,47.06,2259.28,12.94,6.9019
7001,31.82,2259.20,12.99,7.0019
7101,38.71,2259.15,13.07,7.1019
7201,41.67,2259.19,13.16,7.2019
7301,47.62,2259.18,13.18,7.3019
7401,42.86,2259.35,13.24,7.4019
7501,44.83,2259.25,13.36,7.5019
7601,35.00,2259.09,13.34,7.6019
7701,61.54,2259.43,13.22,7.7019
7801,45.45,2259.51,13.26,7.8019
7901,50.00,2259.31,13.29,7.9019
8001,42.11,2259.49,13.29,8.0019
8101,47.83,2259.15,13.37,8.1019
8201,34.78,2259.11,13.36,8.2019
8301,50.00,2259.57,13.31,8.3019
8401,42.86,2259.53,13.29,8.4019
8501,36.84,2259.59,13.26,8.5019
8601,43.48,2259.76,13.27,8.6019
8701,43.48,2259.44,13.32,8.7019
8801,38.46,2259.75,13.25,8.8019
8901,58.82,2259.77,13.18,8.9019
9001,43.48,2259.36,13.17,9.0019
9101,38.46,2259.21,13.17,9.1019
9201,41.67,2259.51,13.18,9.2019
9301,33.33,2259.27,13.15,9.3019
9401,40.74,2259.73,13.17,9.4019
9501,50.00,2259.48,13.10,9.5021
9601,45.45,2259.09,13.16,9.6019
9701,36.36,2259.48,13.13,9.7019
9801,38.46,2259.18,13.09,9.8019
