Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,2.8378,5088.6680,0.0000,0.1019
201,27.0270,5080.3125,17.2139,0.2019
301,30.0000,5080.3711,34.8007,0.3019
401,31.2500,5080.2461,47.8334,0.4019
501,36.6667,5080.0898,54.1367,0.5019
602,35.7143,5080.3008,56.9796,0.6022
701,26.9231,5080.1445,56.8251,0.7019
801,36.6667,5080.3945,58.4633,0.8019
901,37.9310,5080.2383,61.8094,0.9019
1001,36.6667,5080.1445,62.9010,1.0019
1101,36.6667,5080.1758,63.1550,1.1019
1201,35.7143,5080.3945,62.1807,1.2019
1301,38.4615,5080.3945,61.9853,1.3019
1401,40.0000,5080.3945,64.1438,1.4019
1501,36.6667,5080.3633,64.3129,1.5019
1601,37.0370,5080.3945,63.5914,1.6019
1701,34.3750,5080.2383,64.6684,1.7019
1801,33.3333,5080.2383,63.8618,1.8019
1901,36.6667,5080.3633,63.7689,1.9019
2001,33.3333,5080.3945,63.7262,2.0019
2101,34.3750,5080.4258,63.7890,2.1019
2201,33.3333,5080.1133,63.2804,2.2019
2301,35.7143,5080.3945,63.2788,2.3019
2401,28.5714,5080.3945,63.5433,2.4019
2501,32.2581,5080.3945,64.0683,2.5019
2601,37.9310,5080.2070,64.6851,2.6019
2701,36.0000,5080.4258,64.4498,2.7019
2801,35.4839,5080.4570,65.2488,2.8019
2901,37.9310,5080.3945,65.3773,2.9019
3001,33.3333,5080.4258,66.2558,3.0019
3101,33.3333,5080.3633,66.5496,3.1019
3201,38.7097,5080.3945,67.0347,3.2019
3301,33.3333,5080.0820,67.7039,3.3019
3401,39.3939,5080.2070,68.4686,3.4019
3501,35.4839,5080.3945,68.9042,3.5019
3601,33.3333,5080.4258,68.5696,3.6019
3701,34.3750,5080.1445,68.6868,3.7019
3801,27.5862,5080.3945,68.6599,3.8019
3901,38.4615,5080.3945,67.8618,3.9019
4001,35.4839,5080.0820,67.3984,4.0019
4101,33.3333,5080.3945,67.0015,4.1019
4201,36.6667,5080.1445,66.6897,4.2019
4301,38.7097,5080.3945,66.7734,4.3019
