Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,2.5840,5104.4531,0.0000,0.1015
201,28.9474,5104.4531,0.9765,0.2015
301,36.6667,5102.4297,33.4376,0.3015
401,38.7097,5102.5391,52.0085,0.4015
501,33.3333,5102.4141,64.6088,0.5015
601,35.2941,5102.3203,70.9751,0.6015
701,36.6667,5102.4141,74.1242,0.7015
801,37.5000,5102.4766,75.3424,0.8015
901,34.3750,5102.4766,77.9625,0.9015
1001,35.7143,5102.4766,77.6542,1.0015
1101,41.3793,5102.3516,78.6366,1.1015
1201,42.3077,5102.5078,77.1779,1.2015
1301,36.6667,5102.5078,77.4038,1.3015
1401,40.7407,5102.5078,77.3987,1.4015
1501,32.1429,5102.5391,75.4954,1.5015
1601,38.4615,5102.3828,75.5385,1.6015
1701,36.6667,5102.3828,76.5685,1.7015
1801,33.3333,5102.3828,77.9479,1.8015
1901,40.0000,5102.5078,78.6221,1.9015
2001,34.3750,5102.3203,79.2945,2.0015
2101,32.1429,5102.3203,79.4272,2.1015
2201,38.7097,5102.5078,79.7116,2.2015
2301,35.7143,5102.2109,79.4801,2.3015
2401,37.0370,5102.5742,78.1762,2.4015
2501,32.1429,5102.1992,77.6512,2.5015
2601,39.2857,5102.1992,77.1162,2.6015
2701,35.4839,5102.1992,77.3001,2.7015
2801,33.3333,5102.1680,76.8626,2.8015
2901,35.4839,5102.5117,77.1499,2.9015
3001,31.2500,5102.3555,76.8776,3.0015
3101,37.0370,5102.2305,75.9043,3.1015
3201,34.4828,5102.2305,75.4064,3.2015
3301,29.1667,5102.5742,74.3680,3.3015
3401,29.6296,5102.5742,73.2702,3.4015
3501,42.8571,5102.5742,72.0386,3.5015
3601,34.6154,5102.5742,71.2984,3.6015
3701,31.0345,5102.5117,71.1649,3.7015
3801,30.4348,5102.5117,70.2324,3.8015
3901,37.5000,5102.1367,70.0868,3.9015
4001,33.3333,5102.5430,70.1041,4.0015
4101,34.4828,5102.3867,69.8729,4.1015
4201,33.3333,5102.3867,69.3095,4.2015
4301,32.2581,5102.3867,69.1265,4.3015
4401,36.6667,5102.5430,68.7732,4.4015
4501,35.7143,5102.1680,68.8396,4.5015
4601,30.7692,5102.3242,68.6681,4.6015
4701,37.5000,5102.3242,68.6189,4.7015
4801,37.0370,5102.5117,68.7082,4.8015
4901,32.3529,5102.5430,68.7304,4.9015
5001,35.2941,5102.5430,69.3971,5.0015
5101,36.6667,5102.5430,69.6458,5.1015
5201,37.9310,5102.5430,69.7684,5.2015
5301,40.7407,5102.5352,69.6885,5.3015
5401,33.3333,5102.5039,69.4509,5.4015
