Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,2.49,5061.25,0.00,0.1021
201,36.00,5061.25,0.00,0.2021
301,33.33,5054.86,21.82,0.3021
401,34.38,5054.86,48.10,0.4021
501,38.71,5054.57,60.23,0.5021
601,32.26,5054.57,62.39,0.6021
701,39.39,5054.67,63.51,0.7021
801,52.38,5054.61,60.97,0.8021
901,35.71,5054.79,61.20,0.9021
1001,34.78,5054.79,60.24,1.0021
1101,39.39,5054.79,63.15,1.1021
1201,30.00,5054.48,63.43,1.2021
1301,42.31,5055.00,61.94,1.3021
1401,39.13,5054.48,61.65,1.4021
1501,40.00,5054.48,62.66,1.5021
1601,36.67,5054.70,63.80,1.6021
1701,33.33,5054.76,63.25,1.7021
1801,38.71,5054.76,64.21,1.8021
1901,40.00,5054.76,63.75,1.9021
2001,34.62,5054.57,62.90,2.0021
2101,34.62,5054.57,61.59,2.1021
2201,31.03,5054.57,60.77,2.2021
2301,41.67,5054.86,59.84,2.3021
2401,27.59,5054.86,59.58,2.4021
2501,25.00,5054.86,58.79,2.5021
2601,36.67,5054.48,58.70,2.6021
2701,35.48,5054.48,59.40,2.7021
2801,36.11,5054.79,60.11,2.8021
2901,37.93,5054.82,60.61,2.9021
3001,40.00,5054.48,61.02,3.0021
3101,40.74,5054.82,61.22,3.1021
3201,36.67,5054.64,61.40,3.2021
3301,32.14,5054.64,61.24,3.3021
3401,40.74,5054.79,61.03,3.4021
3501,34.48,5054.61,60.71,3.5021
3601,37.04,5054.82,60.76,3.6021
3701,34.62,5054.54,60.72,3.7021
3801,35.48,5054.76,60.95,3.8021
3901,33.33,5054.45,61.12,3.9021
4001,36.67,5054.64,61.24,4.0021
4101,28.00,5054.64,61.21,4.1021
4201,43.33,5054.64,61.64,4.2021
4301,38.46,5054.51,61.23,4.3021
4401,36.36,5054.64,60.94,4.4021
4501,35.71,5054.79,61.13,4.5021
4601,36.67,5054.61,61.53,4.6021
4701,37.93,5054.64,61.51,4.7021
