Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,2.28,5054.41,0.00,0.1015
201,31.43,5046.55,2.36,0.2015
301,35.48,5046.78,46.48,0.3015
401,39.29,5046.78,55.64,0.4015
501,38.89,5046.62,72.71,0.5015
601,41.94,5046.62,76.97,0.6015
701,42.31,5046.41,74.78,0.7015
801,65.62,5046.78,73.26,0.8015
901,36.11,5046.75,77.27,0.9015
1001,37.93,5046.75,78.13,1.0015
1101,36.11,5046.50,79.48,1.1015
1201,35.29,5046.53,81.84,1.2015
1301,42.86,5046.81,82.67,1.3015
1401,64.71,5046.69,78.03,1.4015
1501,30.77,5046.69,75.18,1.5015
1601,35.71,5046.69,73.36,1.6015
1701,38.71,5046.50,72.95,1.7015
1801,30.00,5046.50,71.79,1.8015
1901,40.63,5046.66,71.53,1.9015
2001,42.31,5046.75,70.08,2.0015
2101,34.62,5046.75,69.17,2.1015
2201,38.24,5046.75,69.56,2.2015
2301,35.71,5046.59,69.11,2.3015
2401,37.50,5046.53,70.08,2.4015
2501,40.74,5047.00,69.77,2.5015
2601,35.71,5046.45,70.02,2.6015
2701,36.67,5046.75,70.20,2.7015
2801,34.48,5046.75,70.25,2.8015
2901,37.04,5046.75,69.69,2.9015
3001,36.67,5046.75,69.62,3.0015
3101,40.00,5046.56,69.96,3.1015
3201,37.93,5046.59,70.70,3.2015
3301,41.38,5046.44,70.69,3.3015
3401,35.71,5046.75,70.73,3.4015
3501,36.67,5046.75,71.02,3.5015
3601,37.93,5046.81,70.87,3.6015
3701,37.93,5046.44,70.45,3.7015
3801,32.26,5046.78,70.82,3.8015
3901,31.03,5046.44,70.80,3.9015
4001,37.50,5046.44,71.12,4.0015
4101,33.33,5046.59,72.11,4.1015
4201,37.04,5046.59,71.98,4.2015
4301,36.36,5046.59,72.03,4.3015
4401,33.33,5046.75,71.26,4.4015
4501,35.71,5046.75,70.85,4.5015
4601,40.00,5046.78,70.40,4.6015
4701,29.41,5046.66,70.27,4.7015
4801,36.11,5046.78,71.15,4.8015
4901,35.48,5046.41,70.82,4.9015
5001,37.93,5046.78,71.13,5.0015
5101,36.67,5046.59,70.95,5.1015
5201,37.93,5046.77,71.07,5.2017
5301,34.38,5046.77,71.09,5.3015
5401,37.93,5046.77,71.14,5.4015
5501,32.26,5046.48,71.20,5.5015
5601,38.46,5046.40,70.81,5.6015
5701,32.26,5046.75,71.14,5.7015
5801,39.29,5046.75,71.02,5.8015
5901,25.93,5046.59,70.57,5.9015
6001,39.39,5046.75,70.62,6.0015
6101,33.33,5046.75,70.16,6.1015
6201,33.33,5046.56,69.75,6.2015
6301,36.67,5046.62,69.65,6.3015
6401,32.26,5046.62,69.58,6.4015
6501,33.33,5046.62,69.38,6.5015
6601,44.44,5046.78,69.15,6.6015
6701,36.67,5046.75,69.58,6.7015
6801,30.30,5046.59,69.81,6.8015
6901,34.48,5046.75,69.85,6.9015
7001,35.71,5046.75,69.84,7.0015
7101,34.48,5046.59,69.78,7.1015
7201,36.67,5046.71,69.52,7.2017
7301,33.33,5046.71,69.48,7.3015
7401,35.29,5046.71,69.65,7.4015
7501,28.57,5046.53,69.40,7.5015
7601,39.29,5046.53,69.15,7.6015
7701,33.33,5046.75,68.89,7.7015
7801,35.48,5046.75,68.90,7.8015
7901,34.62,5046.56,68.69,7.9015
8001,33.33,5046.78,68.50,8.0015
8101,41.38,5046.78,68.51,8.1015
8201,33.33,5046.81,68.58,8.2015
8301,37.93,5046.75,68.72,8.3015
8401,33.33,5046.59,68.56,8.4015
8501,34.48,5046.62,68.47,8.5015
8601,33.33,5046.65,68.38,8.6015
8701,34.48,5046.65,68.35,8.7015
8801,35.48,5046.75,68.50,8.8015
8901,33.33,5046.56,68.62,8.9015
9001,34.37,5046.56,68.61,9.0015
9101,37.93,5046.50,68.67,9.1015
9201,32.00,5046.62,68.54,9.2015
9301,32.26,5046.62,68.61,9.3015
9401,35.48,5046.46,68.68,9.4015
9501,38.71,5046.43,68.87,9.5015
9601,36.36,5046.62,69.04,9.6015
9701,35.48,5046.81,69.24,9.7015
9801,34.48,5046.43,69.29,9.8015
9901,35.48,5046.81,69.60,9.9015
10001,34.37,5046.59,69.85,10.0015
