Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,4.88,5074.22,0.00,0.1006
200,27.78,5074.22,2.21,0.2006
300,35.29,5072.27,38.94,0.3006
400,36.67,5072.27,53.69,0.4006
500,34.37,5072.23,63.65,0.5006
600,39.39,5072.27,67.68,0.6006
700,54.55,5072.45,63.11,0.7006
800,72.73,5072.36,63.91,0.8006
900,29.63,5072.36,61.23,0.9006
1000,35.71,5072.36,60.32,1.0006
1100,38.46,5072.36,58.57,1.1006
1200,37.04,5072.36,57.68,1.2006
1300,60.87,5072.30,54.86,1.3006
1400,33.33,5072.52,53.17,1.4006
1500,30.43,5072.39,52.97,1.5006
1600,36.67,5072.39,53.07,1.6006
1700,37.93,5072.39,54.01,1.7006
1800,39.29,5072.39,55.17,1.8006
1900,84.00,5072.30,54.62,1.9006
2000,46.67,5072.36,55.08,2.0006
2100,34.38,5072.20,56.15,2.1006
2200,36.67,5072.20,56.32,2.2006
2300,23.53,5072.39,56.10,2.3006
2400,36.67,5072.23,56.49,2.4006
2500,46.15,5072.23,56.13,2.5006
2600,38.46,5072.23,55.39,2.6006
2700,56.25,5072.23,53.65,2.7006
2800,34.78,5072.39,53.12,2.8006
2900,38.71,5072.42,53.54,2.9006
3000,33.33,5072.42,53.14,3.0006
3100,42.86,5072.39,53.38,3.1006
3200,33.33,5072.20,52.83,3.2006
3300,21.43,5072.05,52.61,3.3006
3400,30.77,5072.42,52.46,3.4006
3500,40.62,5072.42,53.42,3.5006
3600,34.62,5072.42,53.72,3.6006
3700,44.44,5072.39,53.59,3.7006
3800,29.03,5072.27,53.99,3.8006
3900,31.25,5072.48,54.18,3.9006
4000,37.50,5072.20,54.00,4.0006
4100,33.33,5072.42,54.37,4.1006
4200,38.24,5072.05,55.16,4.2006
4300,39.29,5072.39,55.11,4.3006
4400,35.48,5072.39,55.41,4.4006
4500,24.24,5072.39,54.82,4.5006
4600,37.50,5072.39,55.07,4.6006
4700,37.93,5072.39,55.13,4.7006
4800,37.50,5072.23,54.84,4.8006
4900,39.29,5072.39,54.94,4.9006
5000,36.67,5072.08,55.23,5.0006
5100,35.48,5072.11,55.45,5.1006
5200,32.26,5072.23,55.73,5.2006
5300,35.29,5072.04,56.33,5.3006
5400,33.33,5072.38,56.47,5.4006
5500,41.38,5072.41,56.74,5.5006
5600,36.67,5072.45,57.25,5.6006
5700,35.48,5072.20,57.57,5.7006
5800,30.77,5072.38,57.35,5.8006
5900,33.33,5072.26,57.97,5.9006
6000,36.36,5072.26,58.09,6.0006
6100,30.43,5072.07,57.58,6.1006
6200,32.00,5072.07,57.23,6.2006
6300,37.04,5072.26,57.13,6.3006
6400,38.46,5072.07,57.04,6.4006
6500,37.50,5072.38,56.96,6.5006
6600,40.74,5072.35,56.83,6.6006
6700,37.93,5072.16,56.88,6.7006
6800,32.00,5072.45,56.90,6.8006
6900,35.71,5072.45,57.11,6.9006
7000,34.62,5072.45,57.33,7.0006
7100,36.67,5072.45,57.63,7.1006
7200,34.62,5072.07,57.95,7.2006
7300,46.15,5072.07,57.95,7.3006
7400,35.48,5072.45,58.12,7.4006
7500,34.38,5072.38,58.29,7.5006
7600,35.71,5072.41,58.47,7.6006
7700,41.67,5072.26,58.17,7.7006
7800,32.26,5072.29,58.02,7.8006
7900,32.14,5072.29,57.65,7.9006
8000,31.03,5072.38,57.50,8.0006
8100,28.13,5072.38,57.31,8.1006
8200,33.33,5072.38,57.42,8.2006
8300,34.48,5072.23,57.47,8.3006
8400,32.14,5072.04,57.40,8.4006
8500,37.04,5072.38,57.28,8.5006
8600,37.04,5072.23,57.17,8.6006
8700,41.38,5072.23,57.35,8.7006
8800,35.71,5072.23,57.54,8.8006
8900,42.31,5072.45,57.48,8.9006
9000,35.71,5072.26,57.57,9.0006
9100,37.93,5072.35,57.60,9.1006
9200,34.29,5072.41,57.99,9.2006
9300,28.57,5072.32,57.98,9.3006
9400,41.38,5072.16,58.18,9.4006
9500,29.41,5072.16,58.33,9.5006
9600,30.30,5072.13,58.44,9.6006
9700,40.00,5072.29,58.06,9.7006
9800,35.48,5072.20,58.20,9.8006
9900,20.00,5072.26,58.02,9.9006
10000,36.67,5072.26,58.11,10.0006
10100,33.33,5072.26,58.27,10.1006
10200,36.67,5072.26,58.37,10.2006
10300,34.48,5072.53,58.36,10.3006
10400,34.48,5072.38,58.47,10.4006
10500,38.46,5072.19,58.48,10.5006
10600,30.56,5072.06,58.85,10.6006
10700,32.00,5072.06,58.81,10.7006
10800,35.48,5072.44,59.10,10.8006
10900,38.46,5072.44,58.82,10.9006
11000,37.04,5072.44,58.66,11.0006
11100,34.48,5072.28,58.64,11.1006
11200,34.62,5072.41,58.66,11.2006
11300,34.48,5072.06,58.64,11.3006
11400,35.71,5072.06,58.67,11.4006
11500,31.25,5072.19,58.59,11.5006
11600,29.63,5072.38,58.54,11.6006
11700,22.58,5072.38,58.32,11.7006
11800,36.67,5072.22,58.41,11.8006
11900,31.25,5072.28,58.50,11.9006
12000,33.33,5072.22,58.52,12.0006
12100,44.00,5072.22,58.39,12.1006
12200,34.62,5072.22,58.29,12.2006
12300,35.71,5072.44,58.39,12.3006
12400,41.38,5072.06,58.51,12.4006
12500,32.00,5072.03,58.45,12.5006
12600,33.33,5072.41,58.47,12.6006
12700,46.43,5072.22,58.48,12.7006
12800,30.00,5072.22,58.54,12.8006
12900,31.25,5072.38,58.61,12.9006
13000,30.77,5072.19,58.51,13.0006
13100,39.29,5072.41,58.59,13.1006
13200,25.81,5072.41,58.79,13.2006
13300,37.04,5072.18,58.66,13.3006
13400,33.33,5072.40,58.86,13.4006
13500,29.41,5072.21,58.88,13.5006
13600,36.67,5072.03,59.08,13.6006
13700,33.33,5072.21,59.34,13.7006
13800,32.26,5072.21,59.54,13.8006
13900,37.93,5072.40,59.51,13.9006
14000,36.67,5072.37,59.66,14.0006
14100,34.48,5072.21,59.55,14.1006
14200,26.92,5072.28,59.39,14.2006
14300,33.33,5072.28,59.26,14.3006
14400,29.03,5072.28,59.22,14.4006
14500,44.00,5072.25,59.19,14.5006
14600,34.62,5072.25,59.06,14.6006
14700,33.33,5072.15,59.10,14.7006
14800,32.00,5072.37,59.05,14.8006
14900,38.71,5072.37,59.05,14.9006
15000,33.33,5072.37,59.15,15.0006
15100,34.48,5072.18,59.08,15.1006
15200,36.67,5072.34,58.97,15.2006
15300,20.00,5072.33,58.79,15.3006
15400,33.33,5072.33,58.80,15.4006
15500,29.03,5072.14,58.95,15.5006
15600,42.31,5072.14,58.95,15.6006
15700,37.04,5072.11,58.92,15.7006
15800,34.48,5072.08,58.94,15.8006
15900,35.71,5072.36,58.96,15.9006
16000,37.04,5072.21,58.93,16.0006
16100,28.57,5072.21,58.82,16.1006
16200,31.03,5072.39,58.89,16.2006
16300,38.71,5072.11,58.94,16.3006
16400,31.25,5072.33,58.98,16.4006
16500,34.38,5072.18,59.04,16.5006
16600,34.48,5072.39,59.12,16.6006
16700,38.24,5072.39,59.43,16.7006
16800,35.71,5072.21,59.48,16.8006
16900,30.00,5072.02,59.49,16.9006
17000,35.71,5072.36,59.62,17.0006
17100,27.59,5072.02,59.51,17.1006
17200,37.93,5072.39,59.62,17.2006
17300,36.67,5072.39,59.72,17.3006
17400,34.62,5072.21,59.72,17.4006
17500,39.29,5072.02,59.63,17.5006
17600,35.71,5072.39,59.51,17.6006
17700,30.00,5072.43,59.49,17.7006
17800,36.36,5072.27,59.50,17.8006
17900,36.67,5072.27,59.52,17.9006
18000,34.78,5072.27,59.46,18.0006
18100,30.00,5072.24,59.41,18.1006
18200,30.77,5072.27,59.36,18.2006
18300,30.77,5072.27,59.29,18.3006
18400,33.33,5072.33,59.30,18.4006
18500,31.03,5072.36,59.26,18.5006
18600,31.25,5072.36,59.29,18.6006
18700,32.14,5072.14,59.22,18.7006
18800,30.43,5072.36,59.11,18.8006
