Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
100,2.43,3207.03,76.61,0.1002
200,38.24,3222.47,104.65,0.2002
300,28.00,3222.50,86.27,0.3002
400,37.50,3230.41,85.51,0.4002
500,37.04,3242.12,80.27,0.5002
600,73.33,3249.75,76.64,0.6002
700,40.74,3250.03,74.89,0.7002
800,36.36,3257.54,74.89,0.8002
900,35.48,3265.38,76.27,0.9002
1000,34.48,3268.49,74.69,1.0002
1100,35.71,3272.11,73.04,1.1002
1200,62.96,3280.11,71.40,1.2002
1300,42.31,3287.71,71.72,1.3002
1400,36.67,3295.09,72.12,1.4002
1500,33.33,3303.19,72.92,1.5002
1600,41.38,3318.97,74.20,1.6002
1700,35.48,3326.62,75.39,1.7002
1800,50.00,3337.70,72.98,1.8002
1900,32.26,3338.28,73.69,1.9002
2000,34.37,3346.52,74.28,2.0002
2100,35.48,3353.60,73.96,2.1002
2200,37.50,3361.69,72.87,2.2002
2300,41.67,3363.60,72.05,2.3002
2400,42.86,3368.21,71.30,2.4002
2500,40.00,3382.33,72.22,2.5002
2600,37.93,3385.29,72.42,2.6002
2700,34.62,3389.19,71.54,2.7002
2800,38.46,3392.57,70.68,2.8002
2900,37.04,3398.51,70.16,2.9002
3000,44.83,3404.51,70.03,3.0002
3100,34.48,3411.40,69.92,3.1002
3200,37.93,3419.25,68.99,3.2002
3300,30.77,3419.00,67.69,3.3002
3400,37.04,3433.00,67.21,3.4002
3500,37.93,3433.00,66.80,3.5002
3600,34.78,3432.75,65.68,3.6002
3700,34.48,3439.64,65.21,3.7002
3800,37.04,3446.22,64.89,3.8002
3900,37.93,3454.41,64.50,3.9002
4000,36.00,3458.03,64.38,4.0002
4100,36.36,3466.22,64.58,4.1002
4200,48.00,3473.88,64.23,4.2002
4300,31.03,3477.50,64.27,4.3002
4400,32.14,3481.72,63.92,4.4002
4500,33.33,3489.29,64.00,4.5002
4600,41.94,3497.50,64.32,4.6002
4700,32.00,3497.50,63.91,4.7002
4800,46.43,3497.90,63.86,4.8002
