Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,1.24,5118.46,0.00,0.1013
201,26.32,5118.46,3.02,0.2013
301,36.36,5118.04,36.47,0.3013
401,32.26,5118.19,49.48,0.4013
501,44.44,5118.16,50.00,0.5013
601,47.83,5117.85,46.64,0.6013
701,28.57,5117.85,44.17,0.7013
801,33.33,5117.85,44.51,0.8013
901,33.33,5118.23,44.79,0.9013
1001,35.48,5118.16,46.34,1.0013
1101,39.13,5118.16,45.74,1.1013
1201,37.93,5118.01,47.17,1.2013
1301,34.48,5118.01,48.46,1.3013
1401,35.48,5117.85,49.09,1.4013
1501,39.29,5118.20,50.21,1.5013
1601,48.39,5118.20,48.15,1.6013
1701,44.44,5117.82,47.18,1.7013
1801,35.48,5118.16,49.90,1.8013
1901,40.00,5118.16,51.31,1.9013
2001,33.33,5118.10,52.84,2.0013
2101,35.48,5118.10,54.82,2.1013
2201,37.14,5117.85,57.73,2.2013
2301,33.33,5118.10,59.92,2.3013
2401,35.29,5118.16,61.52,2.4013
2501,40.00,5117.88,63.07,2.5013
2601,35.48,5117.98,63.29,2.6013
2701,34.48,5117.98,63.62,2.7013
2801,38.24,5117.88,65.35,2.8013
2901,37.93,5118.13,64.67,2.9013
3001,33.33,5118.13,65.06,3.0013
3101,38.71,5117.95,65.78,3.1013
3201,37.50,5118.20,67.24,3.2013
3301,38.24,5117.91,68.32,3.3013
3401,34.29,5118.16,69.53,3.4013
3501,42.86,5118.01,69.34,3.5013
3601,34.48,5118.01,69.80,3.6013
3701,41.38,5118.01,69.90,3.7013
3801,40.74,5118.16,69.40,3.8013
3901,38.71,5118.16,69.71,3.9013
4001,33.33,5117.78,69.36,4.0013
4101,34.48,5117.78,68.61,4.1013
4201,38.24,5118.16,68.45,4.2013
4301,29.63,5118.16,67.93,4.3013
4401,35.29,5117.78,67.69,4.4013
4501,36.67,5118.40,67.73,4.5013
4601,39.29,5117.94,67.60,4.6013
4701,69.57,5117.91,66.80,4.7013
4801,72.00,5118.00,66.16,4.8013
4901,35.48,5118.00,66.09,4.9013
5001,38.46,5118.13,65.92,5.0013
5101,33.33,5117.97,65.63,5.1013
5201,36.67,5118.13,65.73,5.2013
5301,33.33,5118.13,65.76,5.3013
5401,34.48,5117.94,65.72,5.4013
5501,35.71,5118.16,65.70,5.5013
5601,37.04,5118.16,65.77,5.6013
5701,35.71,5118.16,65.83,5.7013
5801,38.24,5118.04,66.30,5.8013
5901,36.67,5117.82,66.32,5.9013
6001,38.71,5118.16,66.63,6.0013
6101,42.31,5118.13,66.38,6.1013
6201,36.36,5117.94,67.04,6.2013
6301,37.93,5118.13,67.27,6.3013
6401,32.35,5117.97,67.55,6.4013
6501,40.00,5118.04,67.71,6.5013
