Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
101,14.94,5132.48,0.00,0.1018
201,64.71,5132.48,11.39,0.2018
301,38.46,5123.83,27.07,0.3018
401,33.33,5124.14,44.00,0.4018
501,61.54,5124.08,48.43,0.5018
601,31.25,5123.89,53.18,0.6018
701,29.03,5124.11,57.65,0.7018
801,37.50,5123.92,58.90,0.8018
901,34.48,5123.92,60.60,0.9018
1001,33.33,5124.17,65.14,1.0018
1101,64.29,5124.23,65.23,1.1018
1201,37.04,5123.86,66.37,1.2018
1301,34.48,5124.11,66.76,1.3018
1401,34.48,5124.11,68.00,1.4018
1501,37.93,5124.11,68.15,1.5018
1601,34.48,5124.11,68.93,1.6018
1701,35.71,5123.98,69.25,1.7018
1801,37.93,5123.98,68.74,1.8018
1901,37.50,5123.98,69.42,1.9018
2001,33.33,5123.79,68.78,2.0018
2101,35.71,5123.95,68.87,2.1018
2201,35.48,5123.79,68.94,2.2018
2301,37.93,5124.14,68.64,2.3018
2401,31.03,5124.11,68.43,2.4018
2501,33.33,5124.11,68.30,2.5018
2601,34.48,5123.95,68.35,2.6018
2701,38.10,5124.07,66.71,2.7018
2801,27.27,5123.79,65.72,2.8018
2901,33.33,5123.79,64.69,2.9018
3001,29.03,5123.79,64.12,3.0018
3101,31.25,5123.79,63.61,3.1018
3201,37.50,5124.38,63.04,3.2018
3301,32.00,5124.38,62.57,3.3018
3401,34.48,5124.11,62.32,3.4018
3501,30.77,5124.11,61.99,3.5018
3601,40.74,5124.11,61.71,3.6018
3701,34.48,5124.11,62.05,3.7018
3801,33.33,5124.11,62.16,3.8018
3901,35.71,5124.14,62.46,3.9018
4001,34.38,5124.14,63.40,4.0018
4101,35.71,5123.95,63.14,4.1018
4201,38.71,5123.95,63.20,4.2018
4301,35.48,5124.11,63.48,4.3018
4401,35.48,5123.92,64.04,4.4018
4501,34.38,5123.92,64.41,4.5018
4601,37.50,5124.08,64.72,4.6018
4701,35.48,5124.11,65.11,4.7018
4801,35.71,5124.11,64.83,4.8018
4901,35.71,5123.95,65.23,4.9018
5001,37.93,5123.98,65.19,5.0018
5101,35.48,5123.98,65.57,5.1018
5201,31.03,5124.14,66.20,5.2018
5301,41.18,5123.98,66.79,5.3018
5401,30.00,5123.86,66.78,5.4018
5501,32.26,5123.86,66.90,5.5018
5601,36.67,5123.86,66.87,5.6018
5701,38.71,5123.98,67.08,5.7018
5801,38.46,5123.98,66.50,5.8018
5901,28.57,5123.98,66.03,5.9018
6001,37.93,5123.82,65.65,6.0018
6101,19.44,5123.82,65.16,6.1018
6201,30.77,5123.79,64.76,6.2018
6301,25.00,5123.95,65.01,6.3018
6401,35.29,5123.98,65.02,6.4018
6501,34.48,5123.95,64.81,6.5018
6601,28.57,5124.10,64.64,6.6018
6701,29.03,5123.88,64.56,6.7018
6801,35.48,5123.91,64.33,6.8018
6901,33.33,5123.91,64.30,6.9018
7001,30.77,5123.91,64.11,7.0018
7101,36.67,5124.10,63.95,7.1018
7201,40.74,5123.91,63.80,7.2018
7301,32.00,5123.91,63.61,7.3018
7401,36.36,5124.13,63.80,7.4018
7501,37.93,5124.13,63.61,7.5018
7601,32.14,5124.13,63.71,7.6018
7701,40.00,5124.10,63.69,7.7018
7801,30.00,5124.10,63.62,7.8018
7901,32.35,5124.10,63.88,7.9018
8001,32.14,5124.10,64.09,8.0018
8101,34.37,5124.13,64.34,8.1018
8201,36.36,5124.10,64.64,8.2018
8301,40.00,5124.10,64.95,8.3018
8401,34.38,5123.95,65.22,8.4018
8501,36.36,5123.79,65.50,8.5018
8601,40.00,5124.13,65.76,8.6018
8701,33.33,5124.13,66.05,8.7018
8801,34.29,5124.13,66.39,8.8018
8901,37.04,5124.16,66.50,8.9018
9001,35.48,5124.10,66.51,9.0018
9101,39.29,5123.95,66.42,9.1018
9201,34.37,5123.95,66.39,9.2018
9301,37.50,5123.76,66.43,9.3018
9401,33.33,5124.10,66.31,9.4018
9501,38.46,5124.10,66.16,9.5018
9601,40.63,5124.04,66.20,9.6018
9701,26.47,5124.04,66.07,9.7018
9801,38.46,5124.04,65.96,9.8018
9901,38.71,5124.04,66.05,9.9018
10001,39.29,5123.85,66.13,10.0018
10101,36.00,5123.79,66.02,10.1018
10201,34.62,5124.01,65.67,10.2018
10301,68.18,5123.91,65.40,10.3018
10401,35.48,5124.13,65.46,10.4018
10501,31.03,5124.10,65.40,10.5018
10601,37.50,5124.13,65.21,10.6018
10701,33.33,5123.93,65.23,10.7018
10801,33.33,5123.93,65.12,10.8018
10901,34.62,5124.09,65.09,10.9018
11001,30.30,5124.12,65.20,11.0018
11101,34.48,5123.93,65.17,11.1018
11201,32.14,5124.09,65.25,11.2018
11301,35.29,5124.12,65.53,11.3018
11401,39.29,5123.96,65.49,11.4018
11501,31.25,5124.09,65.71,11.5018
11601,37.50,5124.09,65.89,11.6018
11701,30.77,5124.09,65.80,11.7018
11801,33.33,5124.09,65.95,11.8018
11901,34.38,5123.93,66.06,11.9018
12001,34.48,5123.77,66.01,12.0018
12101,34.48,5123.77,65.99,12.1018
12201,30.30,5123.77,65.85,12.2018
12301,30.00,5123.77,65.71,12.3018
12401,36.67,5124.12,65.67,12.4018
12501,35.48,5123.90,65.69,12.5018
12601,40.00,5124.18,65.58,12.6018
12701,29.03,5124.08,65.55,12.7018
12801,32.26,5124.08,65.51,12.8018
12901,39.29,5124.08,65.48,12.9018
13001,31.03,5123.89,65.43,13.0018
13101,41.94,5124.08,65.44,13.1018
13201,40.00,5124.08,65.58,13.2018
13301,23.53,5123.93,65.49,13.3018
13401,32.26,5124.11,65.56,13.4018
13501,31.43,5124.11,65.62,13.5018
13601,33.33,5124.05,65.64,13.6018
13701,36.67,5124.05,65.73,13.7018
13801,34.48,5124.08,65.76,13.8018
13901,34.37,5124.08,65.78,13.9018
14001,31.25,5124.11,65.76,14.0018
14101,33.33,5123.77,65.70,14.1018
14201,36.67,5123.77,65.74,14.2018
14301,34.37,5124.08,65.93,14.3018
14401,37.93,5123.89,65.98,14.4018
14501,29.03,5123.89,66.10,14.5018
14601,36.67,5124.08,66.26,14.6018
14701,33.33,5124.08,66.29,14.7018
14801,34.48,5123.77,66.23,14.8018
14901,36.67,5124.14,66.23,14.9018
15001,32.14,5124.14,66.23,15.0018
15101,20.59,5124.14,66.06,15.1018
15201,36.67,5124.11,66.20,15.2018
15301,34.62,5124.05,66.04,15.3018
15401,30.43,5124.08,65.86,15.4018
15501,34.38,5124.08,65.78,15.5018
15601,35.48,5124.08,65.79,15.6018
15701,32.14,5124.08,65.80,15.7018
15801,29.63,5124.07,65.72,15.8018
15901,37.04,5124.07,65.65,15.9018
16001,30.00,5123.89,65.71,16.0018
16101,39.29,5123.89,65.70,16.1018
16201,35.71,5124.11,65.76,16.2018
16301,37.04,5123.89,65.76,16.3018
16401,37.93,5124.11,65.87,16.4018
16501,33.33,5123.92,65.94,16.5018
16601,35.48,5123.92,65.92,16.6018
16701,34.62,5124.04,65.85,16.7018
16801,30.00,5124.14,65.91,16.8018
16901,25.81,5124.14,65.82,16.9018
17001,34.48,5123.70,65.70,17.0018
17101,35.71,5124.07,65.71,17.1018
17201,36.67,5124.07,65.72,17.2018
17301,33.33,5123.92,65.79,17.3018
17401,36.36,5124.07,65.80,17.4018
17501,35.48,5124.07,65.89,17.5018
17601,35.48,5124.07,66.10,17.6018
17701,33.33,5123.92,66.11,17.7018
17801,35.48,5123.92,66.11,17.8018
17901,40.00,5123.92,66.06,17.9018
18001,32.26,5124.07,66.16,18.0018
18101,35.71,5124.07,66.27,18.1018
18201,33.33,5124.07,66.37,18.2018
18301,39.29,5124.07,66.38,18.3018
18401,37.93,5124.11,66.46,18.4018
18501,30.30,5124.11,66.47,18.5018
18601,35.71,5124.11,66.41,18.6018
18701,22.86,5124.11,66.23,18.7018
18801,34.37,5123.92,66.25,18.8018
18901,35.48,5124.11,66.24,18.9018
19001,26.67,5124.11,66.19,19.0018
19101,31.03,5123.73,66.10,19.1018
19201,37.50,5123.89,66.17,19.2018
19301,31.25,5124.04,66.24,19.3018
19401,36.36,5124.11,66.30,19.4018
19501,33.33,5124.11,66.30,19.5018
19601,33.33,5123.89,66.41,19.6018
19701,39.29,5124.11,66.36,19.7018
19801,33.33,5124.11,66.32,19.8018
19901,36.67,5123.92,66.33,19.9018
20001,35.71,5123.92,66.30,20.0018
