Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
102,2.22,5058.49,0.00,0.1025
202,66.67,5058.49,0.47,0.2025
302,38.24,5050.65,32.97,0.3025
402,31.03,5050.46,45.10,0.4025
502,75.00,5050.47,44.74,0.5025
602,42.31,5050.78,48.79,0.6025
702,40.74,5050.50,51.94,0.7025
802,36.67,5050.34,52.72,0.8025
902,31.03,5050.53,54.70,0.9025
1002,35.48,5050.71,55.74,1.0025
1102,47.83,5050.62,53.80,1.1025
1202,34.62,5050.62,54.97,1.2025
1302,33.33,5050.68,55.72,1.3025
1402,36.36,5050.56,57.09,1.4025
1502,48.28,5050.59,57.42,1.5025
1602,32.14,5050.75,57.73,1.6025
1702,59.26,5050.37,56.94,1.7025
1802,28.57,5050.37,56.52,1.8025
1902,37.93,5050.75,56.94,1.9025
2002,34.48,5050.56,56.50,2.0025
2102,37.50,5050.62,56.63,2.1025
2202,36.67,5050.62,57.01,2.2025
2302,36.67,5050.71,57.42,2.3025
2402,31.03,5050.71,57.87,2.4025
2502,36.67,5050.71,59.44,2.5025
2602,31.03,5050.68,59.80,2.6025
2702,36.36,5050.71,60.71,2.7025
2802,36.67,5050.71,61.39,2.8025
2902,36.67,5050.56,61.40,2.9025
3002,36.00,5050.56,61.26,3.0025
3102,36.67,5050.71,61.68,3.1025
3202,36.67,5050.71,62.82,3.2025
3302,34.48,5050.71,62.83,3.3025
3402,36.67,5050.68,63.13,3.4025
3502,37.04,5050.53,63.11,3.5025
3602,37.93,5050.75,62.88,3.6025
3702,37.04,5050.53,62.95,3.7025
3802,35.71,5050.56,62.99,3.8025
3902,32.26,5050.56,62.38,3.9025
4002,42.11,5050.56,61.63,4.0025
4102,35.71,5050.62,61.32,4.1025
4202,40.74,5050.62,61.31,4.2025
4302,35.48,5050.71,61.31,4.3025
4402,32.14,5050.75,61.17,4.4025
4502,39.29,5050.75,61.25,4.5025
4602,36.00,5050.75,61.14,4.6025
4702,38.46,5050.59,61.26,4.7025
4802,35.48,5050.59,61.51,4.8025
4902,37.50,5050.59,61.62,4.9025
5002,39.29,5050.75,61.60,5.0025
5102,37.04,5050.58,61.47,5.1025
5202,33.33,5050.58,61.11,5.2025
5302,35.71,5050.58,61.25,5.3025
5402,35.71,5050.68,61.25,5.4025
5502,34.62,5050.49,61.02,5.5025
5602,33.33,5050.40,61.12,5.6025
5702,42.86,5050.40,61.08,5.7025
5802,34.48,5050.74,61.09,5.8025
5902,32.00,5050.74,61.11,5.9025
6002,37.93,5050.52,61.22,6.0025
6102,36.67,5050.74,61.59,6.1025
6202,33.33,5050.37,61.80,6.2025
6302,36.36,5050.71,62.25,6.3025
6402,34.48,5050.71,62.52,6.4025
6502,35.71,5050.71,62.73,6.5025
6602,40.74,5050.71,62.99,6.6025
6702,39.29,5050.74,62.91,6.7025
6802,32.14,5050.59,63.13,6.8025
6902,36.67,5050.59,63.31,6.9025
7002,45.00,5050.43,62.74,7.0025
7102,31.03,5050.74,62.59,7.1025
7202,34.48,5050.55,62.38,7.2025
7302,36.00,5050.55,62.21,7.3025
7402,41.38,5050.71,62.01,7.4025
7502,37.50,5050.34,62.17,7.5025
7602,29.63,5050.71,62.19,7.6025
7702,40.62,5050.71,62.40,7.7025
7802,39.13,5050.40,62.22,7.8025
7902,38.71,5050.74,62.33,7.9025
8002,40.00,5050.74,62.58,8.0025
8102,41.94,5050.77,62.77,8.1025
8202,33.33,5050.59,62.77,8.2025
8302,38.71,5050.71,62.92,8.3025
8402,35.48,5050.71,63.01,8.4025
8502,40.00,5050.71,63.22,8.5025
8602,35.48,5050.52,63.40,8.6025
8702,33.33,5050.71,63.50,8.7025
8802,41.94,5050.59,63.63,8.8025
8902,34.48,5050.59,63.69,8.9025
9002,39.13,5050.77,63.49,9.0025
9102,36.67,5050.52,63.48,9.1025
9202,33.33,5050.80,63.51,9.2025
9302,35.48,5050.80,63.82,9.3025
9402,37.93,5050.71,63.96,9.4025
9502,37.93,5050.71,64.16,9.5025
9602,38.46,5050.52,64.17,9.6025
9702,38.71,5050.71,64.28,9.7025
9802,29.63,5050.71,64.30,9.8025
9902,40.74,5050.71,64.14,9.9025
10002,25.93,5050.71,63.95,10.0025
10102,36.67,5050.77,64.02,10.1025
10202,39.29,5050.59,63.93,10.2025
10302,37.50,5050.59,64.07,10.3025
10402,39.29,5050.52,63.97,10.4025
10502,43.48,5050.71,63.86,10.5025
10602,36.67,5050.55,63.94,10.6025
10702,37.50,5050.59,64.06,10.7025
10802,35.48,5050.59,64.27,10.8025
10902,40.00,5050.71,64.35,10.9025
11002,36.67,5050.71,64.54,11.0025
11102,40.00,5050.39,64.53,11.1025
11202,37.93,5050.61,64.59,11.2025
11302,32.14,5050.61,64.58,11.3025
11402,39.29,5050.61,64.57,11.4027
11502,34.48,5050.58,64.55,11.5025
11602,35.48,5050.70,64.64,11.6025
11702,36.67,5050.73,64.68,11.7025
11802,36.67,5050.73,64.81,11.8025
11902,34.48,5050.73,64.74,11.9025
12002,39.29,5050.73,64.71,12.0025
12102,37.50,5050.39,65.03,12.1025
12202,37.93,5050.39,65.08,12.2025
12302,34.48,5050.70,65.11,12.3025
12402,35.71,5050.73,65.19,12.4025
12502,37.04,5050.73,65.17,12.5025
12602,34.38,5050.54,65.41,12.6025
12702,35.71,5050.76,65.47,12.7025
12802,32.26,5050.73,65.60,12.8025
12902,29.63,5050.54,65.35,12.9025
13002,37.50,5050.54,65.25,13.0025
13102,32.14,5050.67,65.13,13.1025
13202,37.93,5050.73,65.07,13.2025
13302,37.50,5050.54,65.12,13.3025
13402,30.77,5050.73,65.01,13.4025
13502,37.93,5050.73,65.01,13.5025
13602,35.48,5050.76,65.08,13.6025
13702,37.93,5050.73,65.09,13.7025
13802,35.71,5050.70,64.92,13.8025
13902,36.00,5050.70,64.89,13.9025
14002,35.71,5050.70,64.92,14.0025
14102,33.33,5050.54,64.91,14.1025
14202,32.26,5050.70,64.95,14.2025
14302,37.93,5050.70,65.06,14.3025
14402,31.03,5050.54,65.07,14.4025
14502,35.71,5050.54,65.03,14.5025
14602,32.14,5050.70,65.00,14.6025
14702,36.67,5050.51,65.02,14.7025
14802,35.48,5050.36,65.19,14.8025
14902,40.00,5050.67,65.30,14.9025
15002,35.71,5050.67,65.31,15.0025
15102,38.89,5050.73,65.67,15.1025
15202,36.67,5050.54,65.79,15.2025
15302,35.48,5050.69,65.83,15.3025
15402,36.67,5050.69,65.97,15.4025
15502,38.71,5050.54,66.16,15.5025
15602,37.04,5050.75,66.21,15.6025
15702,35.48,5050.79,66.33,15.7025
15802,36.67,5050.41,66.39,15.8025
15902,32.14,5050.72,66.24,15.9025
16002,38.46,5050.54,66.00,16.0025
16102,33.33,5050.54,65.73,16.1025
16202,37.93,5050.54,65.64,16.2025
16302,36.00,5050.72,65.51,16.3025
16402,34.62,5050.69,65.48,16.4025
16502,36.11,5050.75,65.55,16.5025
16602,38.10,5050.75,65.41,16.6025
16702,31.43,5050.75,65.59,16.7025
16802,34.29,5050.54,65.80,16.8025
16902,33.33,5050.50,65.92,16.9025
17002,35.48,5050.72,65.97,17.0025
17102,34.38,5050.69,66.16,17.1025
17202,32.26,5050.44,66.21,17.2025
17302,34.62,5050.69,66.18,17.3025
17402,39.29,5050.69,66.17,17.4025
17502,36.67,5050.69,66.06,17.5025
17602,37.50,5050.69,66.09,17.6025
17702,37.93,5050.69,66.08,17.7025
17802,33.33,5050.69,65.98,17.8025
17902,40.74,5050.50,66.01,17.9025
18002,32.26,5050.50,66.02,18.0025
18102,40.00,5050.54,66.07,18.1025
18202,40.00,5050.75,66.26,18.2025
18302,28.57,5050.60,66.26,18.3025
18402,41.38,5050.60,66.24,18.4025
18502,31.03,5050.60,66.28,18.5025
18602,37.93,5050.60,66.42,18.6025
18702,36.67,5050.60,66.47,18.7025
18802,38.71,5050.41,66.55,18.8025
18902,32.14,5050.75,66.48,18.9025
19002,27.59,5050.63,66.41,19.0025
19102,37.93,5050.63,66.38,19.1025
19202,37.04,5050.63,66.31,19.2025
19302,37.93,5050.66,66.28,19.3025
19402,36.00,5050.66,66.19,19.4025
19502,37.50,5050.66,66.17,19.5025
19602,35.71,5050.75,66.16,19.6025
19702,35.71,5050.75,66.15,19.7025
19802,37.50,5050.69,66.32,19.8025
19902,36.67,5050.69,66.41,19.9025
20002,40.63,5050.50,66.54,20.0025
20102,36.67,5050.57,66.58,20.1025
20202,35.71,5050.69,66.58,20.2025
20302,36.67,5050.69,66.65,20.3025
20402,35.71,5050.50,66.56,20.4025
20502,34.48,5050.50,66.54,20.5025
20602,37.50,5050.38,66.41,20.6025
20702,35.71,5050.69,66.40,20.7025
20802,34.48,5050.69,66.40,20.8025
20902,37.04,5050.57,66.34,20.9025
21002,27.59,5050.57,66.30,21.0025
21102,34.62,5050.68,66.27,21.1025
21202,35.48,5050.68,66.33,21.2025
21302,40.00,5050.75,66.38,21.3025
21402,37.50,5050.71,66.46,21.4025
21502,32.00,5050.53,66.37,21.5025
21602,37.93,5050.53,66.41,21.6025
21702,38.71,5050.53,66.60,21.7025
21802,32.26,5050.34,66.58,21.8025
21902,36.36,5050.65,66.61,21.9025
22002,38.71,5050.65,66.62,22.0025
