Elapsed(ms),CPU(%),Memory(MB),Throughput(MB/s),ConnDuration(s)
102,1.13,5068.56,0.00,0.1022
202,27.03,5068.25,5.19,0.2022
302,36.67,5068.15,24.85,0.3022
402,35.71,5068.34,34.36,0.4022
502,61.54,5070.12,33.78,0.5022
602,41.67,5068.44,40.01,0.6022
702,39.29,5068.44,43.57,0.7022
802,37.93,5068.44,48.87,0.8022
902,33.33,5068.44,50.88,0.9022
1002,37.50,5068.44,54.11,1.0022
1102,54.17,5068.50,52.97,1.1022
1202,39.29,5068.41,54.14,1.2022
1302,38.46,5068.41,54.34,1.3022
1402,33.33,5068.41,55.38,1.4022
1502,36.67,5068.41,56.97,1.5022
1602,33.33,5068.47,57.56,1.6022
1702,60.00,5068.47,56.36,1.7022
1802,55.00,5068.28,54.67,1.8022
1902,33.33,5068.28,54.73,1.9022
2002,32.26,5068.19,54.94,2.0022
2102,31.03,5068.44,55.28,2.1022
2202,40.62,5068.44,56.54,2.2022
2302,40.00,5068.44,56.21,2.3022
2402,33.33,5068.44,57.33,2.4022
2502,37.50,5068.44,58.65,2.5022
2602,34.37,5068.44,59.62,2.6022
2702,33.33,5068.44,60.33,2.7022
2802,37.04,5068.44,60.36,2.8022
2902,50.00,5068.44,59.77,2.9022
3002,51.61,5068.44,58.25,3.0022
3102,46.15,5068.28,57.30,3.1022
3202,35.48,5068.44,57.96,3.2022
3302,38.71,5068.28,58.30,3.3022
3402,35.71,5068.09,58.47,3.4022
3502,37.04,5068.47,58.26,3.5022
3602,39.13,5068.28,57.33,3.6022
3702,31.03,5068.50,57.76,3.7022
3802,38.71,5068.50,58.49,3.8022
3902,33.33,5068.44,58.60,3.9022
4002,38.71,5068.28,59.10,4.0022
4102,41.38,5068.12,59.13,4.1022
4202,29.17,5068.47,58.56,4.2022
4302,34.48,5068.47,58.35,4.3022
4402,35.71,5068.44,58.59,4.4022
4502,36.67,5068.44,58.76,4.5022
4602,30.77,5068.44,58.48,4.6022
4702,34.48,5068.25,58.47,4.7022
4802,34.48,5068.47,58.42,4.8022
4902,34.38,5068.47,58.83,4.9022
5002,34.62,5068.44,58.87,5.0022
5102,35.48,5068.31,59.33,5.1022
5202,36.11,5068.47,60.22,5.2022
5302,35.71,5068.22,60.04,5.3022
5402,30.00,5068.22,59.47,5.4022
5502,37.04,5068.22,59.52,5.5022
5602,36.11,5068.28,60.39,5.6022
5702,37.04,5068.49,60.51,5.7022
5802,32.26,5068.49,60.67,5.8022
5902,39.29,5068.34,60.88,5.9022
6002,40.00,5068.34,61.08,6.0022
6102,33.33,5068.37,61.43,6.1022
6202,33.33,5068.24,61.75,6.2022
6302,35.48,5068.49,62.12,6.3022
6402,34.62,5068.49,62.27,6.4022
6502,42.31,5068.43,62.16,6.5022
6602,34.37,5068.43,62.56,6.6022
6702,37.93,5068.43,62.91,6.7022
6802,31.03,5068.24,63.24,6.8022
6902,38.71,5068.46,63.47,6.9022
7002,35.48,5068.27,64.05,7.0022
7102,38.46,5068.24,63.90,7.1022
7202,33.33,5068.24,63.62,7.2022
7302,38.46,5068.46,63.46,7.3022
7402,37.04,5068.05,63.25,7.4022
7502,35.48,5068.49,63.31,7.5022
7602,28.00,5068.49,62.94,7.6022
7702,37.93,5068.15,62.83,7.7022
7802,37.04,5068.39,62.66,7.8022
7902,36.67,5068.39,62.73,7.9022
8002,48.00,5068.39,62.61,8.0022
8102,29.41,5068.21,62.69,8.1022
8202,33.33,5068.21,62.73,8.2022
8302,40.74,5068.18,62.72,8.3022
8402,34.48,5068.46,62.85,8.4022
8502,34.37,5068.08,62.98,8.5022
8602,31.25,5068.43,63.19,8.6022
8702,35.48,5068.43,63.32,8.7022
8802,33.33,5068.43,63.40,8.8022
8902,41.38,5068.43,63.54,8.9022
9002,40.91,5068.43,63.24,9.0022
9102,31.03,5068.43,63.24,9.1022
9202,39.39,5068.05,63.18,9.2022
9302,34.62,5068.24,63.16,9.3022
9402,39.29,5068.24,63.29,9.4022
9502,35.71,5068.73,63.23,9.5022
9602,38.71,5068.23,63.43,9.6022
9702,29.03,5068.08,63.67,9.7022
9802,38.46,5068.42,63.59,9.8022
9902,37.04,5068.42,63.49,9.9022
10002,37.04,5068.27,63.46,10.0022
10102,38.46,5068.30,63.55,10.1022
10202,40.00,5068.30,63.94,10.2022
10302,35.48,5068.30,64.28,10.3022
10402,38.71,5068.30,64.34,10.4022
10502,35.48,5068.45,64.53,10.5022
10602,39.13,5068.45,64.28,10.6022
10702,37.93,5068.13,64.16,10.7022
10802,52.63,5068.51,63.74,10.8022
10902,33.33,5068.41,63.59,10.9022
11002,34.62,5068.26,63.49,11.0022
11102,40.00,5068.50,63.47,11.1022
11202,40.74,5068.45,63.54,11.2022
11302,40.00,5068.26,63.48,11.3022
11402,33.33,5068.42,63.49,11.4022
11502,39.29,5068.42,63.49,11.5022
11602,35.48,5068.42,63.71,11.6022
11702,36.67,5068.42,63.86,11.7022
11802,37.50,5068.07,64.18,11.8022
11902,42.86,5068.45,64.41,11.9022
12002,31.82,5068.07,64.20,12.0022
12102,32.26,5068.42,64.41,12.1022
12202,36.84,5068.48,64.81,12.2022
12302,40.00,5068.45,65.03,12.3022
12402,30.77,5068.42,64.95,12.4022
12502,35.48,5068.23,64.93,12.5022
12602,40.91,5068.20,64.72,12.6022
12702,35.48,5068.20,64.77,12.7022
12802,33.33,5068.20,64.99,12.8022
12902,33.33,5068.20,65.14,12.9022
13002,37.93,5068.48,65.32,13.0022
13102,37.93,5068.29,65.35,13.1022
13202,38.71,5068.41,65.56,13.2022
13302,38.71,5068.41,65.61,13.3022
13402,36.00,5068.45,65.52,13.4022
13502,35.71,5068.45,65.32,13.5022
13602,34.62,5068.45,65.18,13.6022
13702,47.83,5068.41,64.96,13.7022
13802,32.14,5068.23,64.83,13.8022
13902,35.00,5068.23,64.56,13.9022
14002,32.14,5068.23,64.32,14.0022
14102,47.06,5068.76,63.91,14.1022
14202,33.33,5068.20,63.76,14.2022
14302,37.93,5068.23,63.64,14.3022
14402,38.46,5068.45,63.54,14.4022
14502,32.26,5068.45,63.47,14.5022
14602,36.67,5068.41,63.54,14.6022
14702,43.33,5068.45,63.69,14.7022
14802,33.33,5068.45,63.80,14.8022
14902,38.71,5068.41,63.83,14.9022
15002,50.00,5068.23,63.82,15.0022
15102,40.62,5068.16,63.95,15.1022
15202,37.93,5068.48,64.06,15.2022
15302,37.93,5068.26,64.00,15.3022
15402,33.33,5068.26,63.83,15.4022
15502,37.04,5068.41,63.73,15.5022
15602,38.10,5068.41,63.52,15.6022
15702,36.00,5068.41,63.49,15.7022
15802,37.93,5068.41,63.56,15.8022
15902,36.67,5068.06,63.75,15.9022
16002,41.94,5068.25,63.92,16.0022
16102,37.50,5068.19,64.14,16.1022
16202,41.67,5068.41,64.09,16.2022
16302,34.48,5068.25,64.10,16.3022
16402,39.39,5068.41,64.22,16.4022
16502,36.67,5068.41,64.37,16.5022
16602,37.14,5068.44,64.58,16.6022
16702,38.46,5068.41,64.45,16.7022
16802,43.48,5068.41,64.34,16.8022
16902,32.14,5068.44,64.32,16.9022
17002,40.74,5068.44,64.23,17.0022
17102,40.00,5068.44,64.05,17.1022
17202,39.29,5068.44,63.95,17.2022
17302,34.37,5068.44,63.86,17.3022
17402,35.29,5068.25,63.59,17.4022
17502,37.50,5068.44,63.44,17.5022
17602,32.14,5068.44,63.41,17.6022
17702,33.33,5068.38,63.34,17.7022
17802,34.48,5068.41,63.39,17.8022
17902,37.93,5068.41,63.42,17.9022
18002,40.00,5068.12,63.27,18.0022
18102,40.63,5068.28,63.39,18.1022
18202,36.11,5068.44,63.57,18.2022
18302,34.62,5068.44,63.57,18.3022
18402,37.50,5068.47,63.69,18.4022
18502,37.50,5068.47,63.88,18.5022
18602,40.00,5068.31,63.82,18.6022
18702,35.48,5068.31,63.98,18.7022
18802,36.36,5068.44,64.13,18.8022
18902,36.11,5068.41,64.32,18.9022
19002,32.35,5068.41,64.45,19.0022
19102,37.93,5068.41,64.50,19.1022
19202,33.33,5068.09,64.42,19.2022
19302,33.33,5068.47,64.47,19.3022
19402,33.33,5068.59,64.66,19.4022
19502,33.33,5068.28,64.88,19.5022
19602,37.14,5068.25,65.23,19.6022
19702,35.48,5068.44,65.32,19.7022
19802,34.48,5068.44,65.38,19.8022
19902,38.24,5068.38,65.57,19.9022
20002,38.71,5068.38,65.64,20.0022
20102,29.17,5068.41,65.62,20.1022
20202,39.29,5068.41,65.60,20.2022
20302,34.38,5068.25,65.71,20.3022
20402,45.45,5068.41,65.58,20.4022
20502,33.33,5068.41,65.60,20.5022
